,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,cojubim-1_i-1,,cojubim,1_i,waza,waza,w a z a,,Duran2000,1_i-A,,^ w a z a $,default,w a z a,a w z
1,kitemoka-1_i-1,,kitemoka,1_i,waja,waja,w a j a,,CrequiMontfortRivet1913,1_i-A,,^ w a j a $,default,w a y a,a w y
2,more-1_i-1,,more,1_i,waʒ̟a,waʒ̟a,w a ʒ̟ a,,Angenot2002;Leigue1957,1_i-A,,^ w a ʒ̟ a $,default,w a Z a,Z a w
3,orowin-1_i-1,,orowin,1_i,wataʔ,wataʔ,w a t a ʔ,,Birchall2016;deFranca2002,1_i-A,,^ w a t a ʔ $,default,w a t a 7,7 a t w
4,tapakura-1_i-1,,tapakura,1_i,waja,waja,w a j a,,CrequiMontfortRivet1913,1_i-A,,^ w a j a $,default,w a y a,a w y
5,tora-1_i-1,,tora,1_i,waza,waza,w a z a,,Nimuendaju1925;Nimuendaju1923,1_i-A,,^ w a z a $,default,w a z a,a w z
6,urupa-1_i-1,,urupa,1_i,wata,wata,w a t a,,Nimuendaju1925,1_i-A,,^ w a t a $,default,w a t a,a t w
7,wanyam-1_i-1,,wanyam,1_i,wataʔ,wataʔ,w a t a ʔ,,Ribeiro1998;Hanke1975,1_i-A,,^ w a t a ʔ $,default,w a t a 7,7 a t w
8,wari-1_i-1,,wari,1_i,wataʔ,wataʔ,w a t a ʔ,,EverettKern1997;Kern1996,1_i-A,,^ w a t a ʔ $,default,w a t a 7,7 a t w
9,cojubim-2_yousg-1,,cojubim,2_yousg,um,um,u m,,Duran2000,2_yousg-A,,^ u m $,default,u m,m u
10,kitemoka-2_yousg-1,,kitemoka,2_yousg,ahum,ahum,a h u m,,CrequiMontfortRivet1913,2_yousg-A,,^ a h u m $,default,a h u m,a h m u
11,more-2_yousg-1,,more,2_yousg,momra,momra,m o m r a,,Angenot2002;Leigue1957,2_yousg-A,,^ m o m r a $,default,m o m r a,a m o r
12,orowin-2_yousg-1,,orowin,2_yousg,wym,wym,w y m,,Birchall2016;deFranca2002,2_yousg-A,,^ w y m $,default,w i m,i m w
13,tapakura-2_yousg-1,,tapakura,2_yousg,awimo,awimo,a w i m o,,CrequiMontfortRivet1913,2_yousg-A,,^ a w i m o $,default,a w i m o,a i m o w
14,tora-2_yousg-1,,tora,2_yousg,webm,webm,w e b m,,Nimuendaju1925;Nimuendaju1923,2_yousg-A,,^ w e b m $,default,w e b m,b e m w
15,urupa-2_yousg-1,,urupa,2_yousg,vim,vim,v i m,,Nimuendaju1925,2_yousg-A,,^ v i m $,default,v i m,i m v
16,wanyam-2_yousg-1,,wanyam,2_yousg,im,im,i m,,Ribeiro1998;Hanke1975,2_yousg-A,,^ i m $,default,i m,i m
17,wari-2_yousg-1,,wari,2_yousg,wum,wum,w u m,,EverettKern1997;Kern1996,2_yousg-A,,^ w u m $,default,w u m,m u w
18,kitemoka-3_he-1,,kitemoka,3_he,ariko,ariko,a r i k o,,CrequiMontfortRivet1913,3_he-A,,^ a r i k o $,default,a r i k o,a i k o r
19,more-3_he-1,,more,3_he,korari,korari,k o r a r i,,Angenot2002;Leigue1957,3_he-A,,^ k o r a r i $,default,k o r a r i,a i k o r
20,orowin-3_he-1,,orowin,3_he,woriko,woriko,w o r i k o,,Birchall2016;deFranca2002,3_he-A,,^ w o r i k o $,default,w o r i k o,i k o r w
21,tapakura-3_he-1,,tapakura,3_he,arikahu,arikahu,a r i k a h u,,CrequiMontfortRivet1913,3_he-A,,^ a r i k a h u $,default,a r i k a h u,a h i k r u
22,tora-3_he-1,,tora,3_he,wariko,wariko,w a r i k o,,Nimuendaju1925;Nimuendaju1923,3_he-A,,^ w a r i k o $,default,w a r i k o,a i k o r w
23,urupa-3_he-1,,urupa,3_he,okain,okain,o k a i n,,Nimuendaju1925,3_he-A,,^ o k a i n $,default,o k a i n,a i k n o
24,wanyam-3_he-1,,wanyam,3_he,arukwan,arukwan,a r u k w a n,,Ribeiro1998;Hanke1975,3_he-A,,^ a r u kw a n $,default,a r u k w a n,a k n r u w
25,wari-3_he-1,,wari,3_he,wiriko,wiriko,w i r i k o,,EverettKern1997;Kern1996,3_he-A,,^ w i r i k o $,default,w i r i k o,i k o r w
26,kitemoka-4_we-1,,kitemoka,4_we,watʃe,watʃe,w a tʃ e,,CrequiMontfortRivet1913,4_we-A,,^ w a tʃ e $,default,w a tS e,a e tS w
27,more-4_we-1,,more,4_we,watiʔ,watiʔ,w a t i ʔ,,Angenot2002;Leigue1957,4_we-A,,^ w a t i ʔ $,default,w a t i 7,7 a i t w
28,orowin-4_we-1,,orowin,4_we,wariʔ,wariʔ,w a r i ʔ,,Birchall2016;deFranca2002,4_we-A,,^ w a r i ʔ $,default,w a r i 7,7 a i r w
29,tapakura-4_we-1,,tapakura,4_we,wajahu,wajahu,w a j a h u,,CrequiMontfortRivet1913,4_we-A,,^ w a j a h u $,default,w a y a h u,a h u w y
30,tora-4_we-1,,tora,4_we,wazati,wazati,w a z a t i,,Nimuendaju1925;Nimuendaju1923,4_we-A,,^ w a z a t i $,default,w a z a t i,a i t w z
31,urupa-4_we-1,,urupa,4_we,wari,wari,w a r i,,Nimuendaju1925,4_we-A,,^ w a r i $,default,w a r i,a i r w
32,wanyam-4_we-1,,wanyam,4_we,wari,wari,w a r i,,Ribeiro1998;Hanke1975,4_we-A,,^ w a r i $,default,w a r i,a i r w
33,wari-4_we-1,,wari,4_we,wariʔ,wariʔ,w a r i ʔ,,EverettKern1997;Kern1996,4_we-A,,^ w a r i ʔ $,default,w a r i 7,7 a i r w
34,more-5_youpl-1,,more,5_youpl,wura,wura,w u r a,,Angenot2002;Leigue1957,5_youpl-A,,^ w u r a $,default,w u r a,a r u w
35,orowin-5_youpl-1,,orowin,5_youpl,fuʔ,fuʔ,f u ʔ,,Birchall2016;deFranca2002,5_youpl-A,,^ f u ʔ $,default,f u 7,7 f u
36,tora-5_youpl-1,,tora,5_youpl,wihu,wihu,w i h u,,Nimuendaju1925;Nimuendaju1923,5_youpl-A,,^ w i h u $,default,w i h u,h i u w
37,wari-5_youpl-1,,wari,5_youpl,wahuʔ,wahuʔ,w a h u ʔ,,EverettKern1997;Kern1996,5_youpl-A,,^ w a h u ʔ $,default,w a h u 7,7 a h u w
38,orowin-6_they-1,,orowin,6_they,worikoko,worikoko,w o r i k o k o,,Birchall2016;deFranca2002,6_they-A,,^ w o r i k o k o $,default,w o r i k o k o,i k o r w
39,tora-6_they-1,,tora,6_they,wariko bap,wariko bap,w a r i k o + b a p,,Nimuendaju1925;Nimuendaju1923,6_they-A,,^ w a r i k o + b a p $,default,w a r i k o  b a p, a b i k o p r w
40,wari-6_they-1,,wari,6_they,wirikoko,wirikoko,w i r i k o k o,,EverettKern1997;Kern1996,6_they-A,,^ w i r i k o k o $,default,w i r i k o k o,i k o r w
41,more-6_they-1,,more,6_they,omapu,omapu,o m a p u,,Angenot2002;Leigue1957,6_they-B,,^ o m a p u $,default,o m a p u,a m o p u
42,tapakura-6_they-1,,tapakura,6_they,aʃiri,aʃiri,a ʃ i r i,,CrequiMontfortRivet1913,6_they-C,,^ a ʃ i r i $,default,a S i r i,S a i r
43,more-7_whowhat-1,,more,7_whowhat,ati,ati,a t i,,Angenot2002;Leigue1957,7_whowhat-A,,^ a t i $,default,a t i,a i t
44,orowin-7_whowhat-1,,orowin,7_whowhat,ati,ati,a t i,,Birchall2016;deFranca2002,7_whowhat-A,,^ a t i $,default,a t i,a i t
45,more-7_whowhat-2,,more,7_whowhat,tikow,tikow,t i k o w,,Angenot2002;Leigue1957,7_whowhat-B,,^ t i k o w $,default,t i k o w,i k o t w
46,tora-7_whowhat-1,,tora,7_whowhat,teokaj,teokaj,t e o k a j,,Nimuendaju1925;Nimuendaju1923,7_whowhat-B,,^ t e o k a j $,default,t e o k a y,a e k o t y
47,wari-7_whowhat-1,,wari,7_whowhat,kaɲ,kaɲ,k a ɲ,,EverettKern1997;Kern1996,7_whowhat-B,,^ k a ɲ $,default,k a 5,5 a k
48,orowin-8_many-1,,orowin,8_many,mijaʔ,mijaʔ,m i j a ʔ,,Birchall2016;deFranca2002,8_many-A,,^ m i j a ʔ $,default,m i y a 7,7 a i m y
49,tora-8_many-1,,tora,8_many,jab,jab,j a b,,Nimuendaju1925;Nimuendaju1923,8_many-A,,^ j a b $,default,y a b,a b y
50,wari-8_many-1,,wari,8_many,mija,mija,m i j a,,EverettKern1997;Kern1996,8_many-A,,^ m i j a $,default,m i y a,a i m y
51,cojubim-8_many-1,,cojubim,8_many,napa,napa,n a p a,,Duran2000,8_many-B,,^ n a p a $,default,n a p a,a n p
52,more-8_many-1,,more,8_many,napa,napa,n a p a,,Angenot2002;Leigue1957,8_many-B,,^ n a p a $,default,n a p a,a n p
53,orowin-8_many-2,,orowin,8_many,napa,napa,n a p a,,Birchall2016;deFranca2002,8_many-B,,^ n a p a $,default,n a p a,a n p
