ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
maloh-1_hand-1,,maloh,1_hand,taŋan,t.a.ŋ.a.n,t a ŋ a n,,Greenhill2008,,false,^ t . a . ŋ . a . n $,default
merinamalagasy-1_hand-1,,merinamalagasy,1_hand,tanana,t.a.n.a.n.a,t a n a n a,,Greenhill2008,,false,^ t . a . n . a . n . a $,default
thao-1_hand-1,,thao,1_hand,rima,r.i.m.a,r i m a,,Greenhill2008,,false,^ r . i . m . a $,default
palauan-1_hand-1,,palauan,1_hand,cʰim,cʰ.i.m,cʰ i m,,Greenhill2008,,false,^ cʰ . i . m $,default
tunjung-1_hand-1,,tunjung,1_hand,aŋaʔ,a.ŋ.a.ʔ,a ŋ a ʔ,,Greenhill2008,,false,^ a . ŋ . a . ʔ $,default
baree-1_hand-1,,baree,1_hand,pale,p.a.l.e,p a l e,,Greenhill2008,,false,^ p . a . l . e $,default
iban-1_hand-1,,iban,1_hand,taŋan,t.a.ŋ.a.n,t a ŋ a n,,Greenhill2008,,false,^ t . a . ŋ . a . n $,default
iban-1_hand-2,,iban,1_hand,jari,j.a.r.i,j a r i,,Greenhill2008,,false,^ j . a . r . i $,default
berawanlongterawan-1_hand-1,,berawanlongterawan,1_hand,tisu,t.i.s.u,t i s u,,Greenhill2008,,false,^ t . i . s . u $,default
berawanlongterawan-1_hand-2,,berawanlongterawan,1_hand,isu,i.s.u,i s u,,Greenhill2008,,false,^ i . s . u $,default
hanunoo-1_hand-1,,hanunoo,1_hand,kamaŋ,k.a.m.a.ŋ,k a m a ŋ,,Greenhill2008,,false,^ k . a . m . a . ŋ $,default
wuna-1_hand-1,,wuna,1_hand,lima,l.i.m.a,l i m a,,Greenhill2008,,false,^ l . i . m . a $,default
tetum-1_hand-1,,tetum,1_hand,liman,l.i.m.a.n,l i m a n,,Greenhill2008,,false,^ l . i . m . a . n $,default
mailu-1_hand-1,,mailu,1_hand,ima,i.m.a,i m a,,Greenhill2008,,false,^ i . m . a $,default
tsou-1_hand-1,,tsou,1_hand,mucu,m.u.c.u,m u c u,,Greenhill2008,,false,^ m . u . c . u $,default
nias-1_hand-1,,nias,1_hand,taŋa,t.a.ŋ.a,t a ŋ a,,Greenhill2008,,false,^ t . a . ŋ . a $,default
centralamis-1_hand-1,,centralamis,1_hand,kamaj,k.a.m.a.j,k a m a j,,Greenhill2008,,false,^ k . a . m . a . j $,default
chamorro-1_hand-1,,chamorro,1_hand,kanːai,k.a.nː.a.i,k a nː a i,,Greenhill2008,,false,^ k . a . nː . a . i $,default
banoni-1_hand-1,,banoni,1_hand,numa,n.u.m.a,n u m a,,Greenhill2008,,false,^ n . u . m . a $,default
singhi-1_hand-1,,singhi,1_hand,toŋan,t.o.ŋ.a.n,t o ŋ a n,,Greenhill2008,,false,^ t . o . ŋ . a . n $,default
maloh-2_left-1,,maloh,2_left,kajoko,k.a.j.o.k.o,k a j o k o,,Greenhill2008,,false,^ k . a . j . o . k . o $,default
merinamalagasy-2_left-1,,merinamalagasy,2_left,havia,h.a.v.i.a,h a v i a,,Greenhill2008,,true,^ h . a . v . i . a $,default
palauan-2_left-1,,palauan,2_left,katur,k.a.t.u.r,k a t u r,,Greenhill2008,,false,^ k . a . t . u . r $,default
tunjung-2_left-1,,tunjung,2_left,ulaj,u.l.a.j,u l a j,,Greenhill2008,,false,^ u . l . a . j $,default
