,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,maloh-1_hand-1,,maloh,1_hand,taŋan,t.a.ŋ.a.n,t a ŋ a n,,Greenhill2008,,False,^ t . a . ŋ . a . n $,default,t a N a n,N a n t
1,merinamalagasy-1_hand-1,,merinamalagasy,1_hand,tanana,t.a.n.a.n.a,t a n a n a,,Greenhill2008,,False,^ t . a . n . a . n . a $,default,t a n a n a,a n t
2,thao-1_hand-1,,thao,1_hand,rima,r.i.m.a,r i m a,,Greenhill2008,,False,^ r . i . m . a $,default,r i m a,a i m r
3,palauan-1_hand-1,,palauan,1_hand,cʰim,cʰ.i.m,cʰ i m,,Greenhill2008,,False,^ cʰ . i . m $,default,Th~ i m,Th~ i m
4,tunjung-1_hand-1,,tunjung,1_hand,aŋaʔ,a.ŋ.a.ʔ,a ŋ a ʔ,,Greenhill2008,,False,^ a . ŋ . a . ʔ $,default,a N a 7,7 N a
5,baree-1_hand-1,,baree,1_hand,pale,p.a.l.e,p a l e,,Greenhill2008,,False,^ p . a . l . e $,default,p a l e,a e l p
6,iban-1_hand-1,,iban,1_hand,taŋan,t.a.ŋ.a.n,t a ŋ a n,,Greenhill2008,,False,^ t . a . ŋ . a . n $,default,t a N a n,N a n t
7,iban-1_hand-2,,iban,1_hand,jari,j.a.r.i,j a r i,,Greenhill2008,,False,^ j . a . r . i $,default,y a r i,a i r y
8,berawanlongterawan-1_hand-1,,berawanlongterawan,1_hand,tisu,t.i.s.u,t i s u,,Greenhill2008,,False,^ t . i . s . u $,default,t i s u,i s t u
9,berawanlongterawan-1_hand-2,,berawanlongterawan,1_hand,isu,i.s.u,i s u,,Greenhill2008,,False,^ i . s . u $,default,i s u,i s u
10,hanunoo-1_hand-1,,hanunoo,1_hand,kamaŋ,k.a.m.a.ŋ,k a m a ŋ,,Greenhill2008,,False,^ k . a . m . a . ŋ $,default,k a m a N,N a k m
11,wuna-1_hand-1,,wuna,1_hand,lima,l.i.m.a,l i m a,,Greenhill2008,,False,^ l . i . m . a $,default,l i m a,a i l m
12,tetum-1_hand-1,,tetum,1_hand,liman,l.i.m.a.n,l i m a n,,Greenhill2008,,False,^ l . i . m . a . n $,default,l i m a n,a i l m n
13,mailu-1_hand-1,,mailu,1_hand,ima,i.m.a,i m a,,Greenhill2008,,False,^ i . m . a $,default,i m a,a i m
