ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_hand,hand,1277,HAND,1
2_left,left,244,LEFT,2
3_right,right,1019,RIGHT,3
4_legfoot,leg/foot,2098,FOOT OR LEG,4
5_towalk,to walk,1443,WALK,5
6_roadpath,road/path,2457,PATH OR ROAD,6
7_tocome,to come,1446,COME,7
8_toturn,to turn,1588,TURN,8
9_toswim,to swim,1439,SWIM,9
10_dirty,dirty,1230,DIRTY,10
11_dust,dust,2,DUST,11
12_skin,skin,763,SKIN,12
13_back,back,1291,BACK,13
14_belly,belly,1251,BELLY,14
15_bone,bone,1394,BONE,15
16_intestines,intestines,1991,INTESTINES,16
17_liver,liver,1224,LIVER,17
18_breast,breast,1402,BREAST,18
19_shoulder,shoulder,1482,SHOULDER,19
20_toknowbeknowledgeable,"to know, be knowledgeable",1410,KNOW (SOMETHING),20
21_tothink,to think,2271,THINK,21
22_tofear,to fear,1419,FEAR (BE AFRAID),22
23_blood,blood,946,BLOOD,23
24_head,head,1256,HEAD,24
25_neck,neck,1333,NECK,25
26_hair,hair,1040,HAIR,26
27_nose,nose,1221,NOSE,27
28_tobreathe,to breathe,1407,BREATHE,28
29_tosniffsmell,"to sniff, smell",1586,SMELL (PERCEIVE),29
30_mouth,mouth,674,MOUTH,30
31_tooth,tooth,1380,TOOTH,31
32_tongue,tongue,1205,TONGUE,32
33_tolaugh,to laugh,1355,LAUGH,33
34_tocry,to cry,1839,CRY,34
35_tovomit,to vomit,1278,VOMIT,35
36_tospit,to spit,1440,SPIT,36
37_toeat,to eat,1336,EAT,37
38_tochew,to chew,321,CHEW,38
39_tocook,to cook,1100,COOK (SOMETHING),39
40_todrink,to drink,1401,DRINK,40
41_tobite,to bite,1403,BITE,41
42_tosuck,to suck,1421,SUCK,42
43_ear,ear,1247,EAR,43
44_tohear,to hear,1408,HEAR,44
45_eye,eye,1248,EYE,45
46_tosee,to see,1409,SEE,46
47_toyawn,to yawn,1028,YAWN,47
48_tosleep,to sleep,1585,SLEEP,48
49_toliedown,to lie down,215,LIE DOWN,49
50_todream,to dream,1920,DREAM (SOMETHING),50
51_tosit,to sit,1416,SIT,51
52_tostand,to stand,1442,STAND,52
53_personhumanbeing,person/human being,683,PERSON,53
54_manmale,man/male,2106,MALE PERSON,54
55_womanfemale,woman/female,2105,FEMALE PERSON,55
56_child,child,2099,CHILD,56
57_husband,husband,1200,HUSBAND,57
