,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Khispi-1_1sg-1,,Khispi,1_1sg,ga,ga,g a,,Bodt2019,,,,,g a,a g
1,Duhumbi-1_1sg-1,,Duhumbi,1_1sg,ga,ga,g a,,Bodt2019,,,,,g a,a g
2,Khoina-1_1sg-1,,Khoina,1_1sg,guː,guː,g uː,,Bodt2019,,,,,g u,g u
3,Jerigaon-1_1sg-1,,Jerigaon,1_1sg,guː,guː,g uː,,Bodt2019,,,,,g u,g u
4,Khoitam-1_1sg-1,,Khoitam,1_1sg,guː,guː,g uː,,Bodt2019,,,,,g u,g u
5,Rahung-1_1sg-1,,Rahung,1_1sg,guː,guː,g uː,,Bodt2019,,,,,g u,g u
6,Rupa-1_1sg-1,,Rupa,1_1sg,guː,guː,g uː,,Bodt2019,,,,,g u,g u
7,Shergaon-1_1sg-1,,Shergaon,1_1sg,guː,guː,g uː,,Bodt2019,,,,,g u,g u
8,Khispi-2_2plexcl-1,,Khispi,2_2plexcl,na+lu,na+lu,n a + l u,,Bodt2019,,,,,n a  l u, a l n u
9,Duhumbi-2_2plexcl-1,,Duhumbi,2_2plexcl,na+ɹ,na+ɹ,n a + ɹ,,Bodt2019,,,,,n a  r, a n r
10,Rahung-2_2plexcl-1,,Rahung,2_2plexcl,na+ryː,na+ryː,n a + r yː,,Bodt2019,,,,,n a  r i, a i n r
11,Rupa-2_2plexcl-1,,Rupa,2_2plexcl,naː+bluŋ,naː+bluŋ,n aː + b l u ŋ,,Bodt2019,,,,,n a  b l u N, N a b l n u
12,Shergaon-2_2plexcl-1,,Shergaon,2_2plexcl,naː+bluŋ,naː+bluŋ,n aː + b l u ŋ,,Bodt2019,,,,,n a  b l u N, N a b l n u
13,Khispi-3_2plincl-1,,Khispi,3_2plincl,nal+tʰe,nal+tʰe,n a + l + tʰ e,,Bodt2019,,,,,n a  l  th~ e, a e l n th~
14,Duhumbi-3_2plincl-1,,Duhumbi,3_2plincl,naɹ+tʰeˀ,naɹ+tʰeˀ,n a + ɹ + tʰ eˀ,,Bodt2019,,,,,n a  r  th~ e, a e n r th~
15,Khoina-3_2plincl-1,,Khoina,3_2plincl,na+tʰik,na+tʰik,n a + tʰ i k,,Bodt2019,,,,,n a  th~ i k, a i k n th~
16,Jerigaon-3_2plincl-1,,Jerigaon,3_2plincl,na+tʰik,na+tʰik,n a + tʰ i k,,Bodt2019,,,,,n a  th~ i k, a i k n th~
17,Khoitam-3_2plincl-1,,Khoitam,3_2plincl,na+tʰɛk,na+tʰɛk,n a + tʰ ɛ k,,Bodt2019,,,,,n a  th~ E k, E a k n th~
18,Rahung-3_2plincl-1,,Rahung,3_2plincl,na+tʰɛk,na+tʰɛk,n a + tʰ ɛ k,,Bodt2019,,,,,n a  th~ E k, E a k n th~
19,Rupa-3_2plincl-1,,Rupa,3_2plincl,naː+tʰik,naː+tʰik,n aː + tʰ i k,,Bodt2019,,,,,n a  th~ i k, a i k n th~
20,Shergaon-3_2plincl-1,,Shergaon,3_2plincl,naː+tʰik,naː+tʰik,n aː + tʰ i k,,Bodt2019,,,,,n a  th~ i k, a i k n th~
21,Khispi-4_2sg-1,,Khispi,4_2sg,naŋ,naŋ,n a ŋ,,Bodt2019,,,,,n a N,N a n
22,Duhumbi-4_2sg-1,,Duhumbi,4_2sg,naŋ,naŋ,n a ŋ,,Bodt2019,,,,,n a N,N a n
23,Khoina-4_2sg-1,,Khoina,4_2sg,naŋ,naŋ,n a ŋ,,Bodt2019,,,,,n a N,N a n
24,Jerigaon-4_2sg-1,,Jerigaon,4_2sg,naŋ,naŋ,n a ŋ,,Bodt2019,,,,,n a N,N a n
25,Khoitam-4_2sg-1,,Khoitam,4_2sg,naŋ,naŋ,n a ŋ,,Bodt2019,,,,,n a N,N a n
26,Rahung-4_2sg-1,,Rahung,4_2sg,naŋ,naŋ,n a ŋ,,Bodt2019,,,,,n a N,N a n
27,Rupa-4_2sg-1,,Rupa,4_2sg,naŋ,naŋ,n a ŋ,,Bodt2019,,,,,n a N,N a n
28,Shergaon-4_2sg-1,,Shergaon,4_2sg,naŋ,naŋ,n a ŋ,,Bodt2019,,,,,n a N,N a n
29,Khispi-5_3sg-1,,Khispi,5_3sg,wuj,wuj,w ui,,Bodt2019,,,,,w ui,ui w
30,Duhumbi-5_3sg-1,,Duhumbi,5_3sg,wɔj,wɔj,w ɔi,,Bodt2019,,,,,w oi,oi w
31,Khoina-5_3sg-1,,Khoina,5_3sg,laŋ+waː,laŋ+waː,l a ŋ + w aː,,Bodt2019,,,,,l a N  w a, N a l w
32,Jerigaon-5_3sg-1,,Jerigaon,5_3sg,waː,waː,w aː,,Bodt2019,,,,,w a,a w
