,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Kkhalqabad1-i-1,,Kkhalqabad1,i,mʲen,mʲen,mʲ e n,,Mennecier2016,,,^mʲ e n$,default,my~ e n,e my~ n
1,Kkhalqabad1-animal-1,,Kkhalqabad1,animal,hajwɒn,hajwɒn,h a j w ɒ n,,Mennecier2016,,,^h a jw ɒ n$,default,h a y w o n,a h n o w y
2,Kkhalqabad1-ashes-1,,Kkhalqabad1,ashes,kʉl,kʉl,k ʉ l,,Mennecier2016,,,^k ʉ l$,default,k 3 l,3 k l
3,Kkhalqabad1-autumn-1,,Kkhalqabad1,autumn,gʉz̥,gʉz̥,g ʉ z̥,,Mennecier2016,,,^g ʉ z̥$,default,g 3 z,3 g z
4,Kkhalqabad1-back-1,,Kkhalqabad1,back,arqa,arqa,a r q a,,Mennecier2016,,,^a r q a$,default,a r q a,a q r
5,Kkhalqabad1-bad-1,,Kkhalqabad1,bad,ʒaman,ʒaman,ʒ a m a n,,Mennecier2016,,,^ʒ a m a n$,default,Z a m a n,Z a m n
6,Kkhalqabad1-bark-1,,Kkhalqabad1,bark,qaβɨq,qaβɨq,q a β ɨ q,,Mennecier2016,,,^q a β ɨ q$,default,q a b 3 q,3 a b q
7,Kkhalqabad1-belly-1,,Kkhalqabad1,belly,qarɨn,qarɨn,q a r ɨ n,,Mennecier2016,,,^q a r ɨ n$,default,q a r 3 n,3 a n q r
8,Kkhalqabad1-big-1,,Kkhalqabad1,big,ʉlken,ʉlken,ʉ l k e n,,Mennecier2016,,,^ʉ l k e n$,default,3 l k e n,3 e k l n
9,Kkhalqabad1-bird-1,,Kkhalqabad1,bird,qʊs,qʊs,q ʊ s,,Mennecier2016,,,^q ʊ s$,default,q u s,q s u
10,Kkhalqabad1-black-1,,Kkhalqabad1,black,qara,qara,q a r a,,Mennecier2016,,,^q a r a$,default,q a r a,a q r
11,Kkhalqabad1-blood-1,,Kkhalqabad1,blood,qan,qan,q a n,,Mennecier2016,,,^q a n$,default,q a n,a n q
12,Kkhalqabad1-bone-1,,Kkhalqabad1,bone,sʉjøk,sʉjøk,s ʉ j ø k,,Mennecier2016,,,^s ʉ j ø k$,default,s 3 y e k,3 e k s y
13,Kkhalqabad1-breast-1,,Kkhalqabad1,breast,kukrøk,kukrøk,k u k r ø k,,Mennecier2016,,,^k u k r ø k$,default,k u k r e k,e k r u
14,Kkhalqabad1-butterfly-1,,Kkhalqabad1,butterfly,gʊbʲelʲɛk,gʊbʲelʲɛk,g ʊ bʲ e lʲ ɛ k,,Mennecier2016,,,^g ʊ bʲ e lʲ ɛ k$,default,g u by~ e ly~ E k,E by~ e g k ly~ u
15,Kkhalqabad1-child-1,,Kkhalqabad1,child,bala,bala,b a l a,,Mennecier2016,,,^b a l a$,default,b a l a,a b l
16,Kkhalqabad1-cloud-1,,Kkhalqabad1,cloud,bʊlt,bʊlt,b ʊ l t,,Mennecier2016,,,^b ʊ l t$,default,b u l t,b l t u
17,Kkhalqabad1-cold-1,,Kkhalqabad1,cold,sʊːq,sʊːq,s ʊː q,,Mennecier2016,,,^s ʊː q$,default,s u q,q s u
18,Kkhalqabad1-correct-1,,Kkhalqabad1,correct,drs,drs,d r s,,Mennecier2016,,,^d rs$,default,d r s,d r s
19,Kkhalqabad1-day-1,,Kkhalqabad1,day,kʉn,kʉn,k ʉ n,,Mennecier2016,,,^k ʉ n$,default,k 3 n,3 k n
20,Kkhalqabad1-dirty-1,,Kkhalqabad1,dirty,patas,patas,p a t a s,,Mennecier2016,,,^p a t a s$,default,p a t a s,a p s t
21,Kkhalqabad1-dog-1,,Kkhalqabad1,dog,it,it,i t,,Mennecier2016,,,^i t$,default,i t,i t
22,Kkhalqabad1-dry-1,,Kkhalqabad1,dry,qurɣaq,qurɣaq,q u r ɣ a q,,Mennecier2016,,,^q u r ɣ a q$,default,q u r x a q,a q r u x
23,Kkhalqabad1-dull-1,,Kkhalqabad1,dull,wʉtpɪs,wʉtpɪs,w ʉ t p ɪ s,,Mennecier2016,,,^w ʉ t p ɪ s$,default,w 3 t p i s,3 i p s t w
24,Kkhalqabad1-dust-1,,Kkhalqabad1,dust,ʃaŋ,ʃaŋ,ʃ a ŋ,,Mennecier2016,,,^ʃ a ŋ$,default,S a N,N S a
25,Kkhalqabad1-ear-1,,Kkhalqabad1,ear,qulaq,qulaq,q u l a q,,Mennecier2016,,,^q u l a q$,default,q u l a q,a l q u
26,Kkhalqabad1-earth-1,,Kkhalqabad1,earth,ʒʲer,ʒʲer,ʒʲ e r,,Mennecier2016,,,^ʒʲ e r$,default,Zy~ e r,Zy~ e r
27,Kkhalqabad1-egg-1,,Kkhalqabad1,egg,majik,majik,m a j i k,,Mennecier2016,,,^m a j i k$,default,m a y i k,a i k m y
28,Kkhalqabad1-eye-1,,Kkhalqabad1,eye,kwøz̥,kwøz̥,k w ø z̥,,Mennecier2016,,,^kw ø z̥$,default,k w e z,e k w z
29,Kkhalqabad1-far-1,,Kkhalqabad1,far,ɒlɜs,ɒlɜs,ɒ l ɜ s,,Mennecier2016,,,^ɒ l ɜ s$,default,o l 3 s,3 l o s
30,Kkhalqabad1-fat-1,,Kkhalqabad1,fat,maj,maj,m a j,,Mennecier2016,,,^m a j$,default,m a y,a m y
31,Kkhalqabad1-father-1,,Kkhalqabad1,father,akʲe,akʲe,a kʲ e,,Mennecier2016,,,^a kʲ e$,default,a ky~ e,a e ky~
32,Kkhalqabad1-feather-1,,Kkhalqabad1,feather,pær,pær,p æ r,,Mennecier2016,,,^p æ r$,default,p E r,E p r
33,Kkhalqabad1-fire-1,,Kkhalqabad1,fire,ʒaːlən,ʒaːlən,ʒ aː l ə n,,Mennecier2016,,,^ʒ aː l ə n$,default,Z a l 3 n,3 Z a l n
34,Kkhalqabad1-fish-1,,Kkhalqabad1,fish,balɜq,balɜq,b a l ɜ q,,Mennecier2016,,,^b a l ɜ q$,default,b a l 3 q,3 a b l q
35,Kkhalqabad1-five-1,,Kkhalqabad1,five,bʲes,bʲes,bʲ e s,,Mennecier2016,,,^bʲ e s$,default,by~ e s,by~ e s
36,Kkhalqabad1-flower-1,,Kkhalqabad1,flower,gʉl,gʉl,g ʉ l,,Mennecier2016,,,^g ʉ l$,default,g 3 l,3 g l
37,Kkhalqabad1-fog-1,,Kkhalqabad1,fog,tuman,tuman,t u m a n,,Mennecier2016,,,^t u m a n$,default,t u m a n,a m n t u
38,Kkhalqabad1-forest-1,,Kkhalqabad1,forest,tɔɣɔj,tɔɣɔj,t ɔ ɣ ɔ j,,Mennecier2016,,,^t ɔ ɣ ɔ j$,default,t o x o y,o t x y
39,Kkhalqabad1-four-1,,Kkhalqabad1,four,tørt,tørt,t ø r t,,Mennecier2016,,,^t ø r t$,default,t e r t,e r t
