,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Tariana-Chacon-2019-220-85_four-1,,Tariana,Chacon-2019-220-85_four,~kehkunĩpɛ,kehkunĩpɛ,k e h k u n ĩ p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,k e h k u n i* p E,E e h i* k n p u
1,Moliwene-Chacon-2019-220-85_four-1,,Moliwene,Chacon-2019-220-85_four,koadaka,koadaka,k o a d a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,k o a d a k a,a d k o
2,Mauliene-Chacon-2019-220-85_four-1,,Mauliene,Chacon-2019-220-85_four,koadáka,koadáka,k o a d a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,k o a d a k a,a d k o
3,Kumadene1-Chacon-2019-220-85_four-1,,Kumadene1,Chacon-2019-220-85_four,koehponĩpɛ,koehponĩpɛ,k o e h p o n ĩ p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,k o e h p o n i* p E,E e h i* k n o p
4,Name-Chacon-2019-220-85_four-1,,Name,Chacon-2019-220-85_four,kuatroda,kuatroda,k u a t ɾ o d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,k u a t r o d a,a d k o r t u
5,Oho-Chacon-2019-220-85_four-1,,Oho,Chacon-2019-220-85_four,kuatroda,kuatroda,k u a t ɾ o d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,k u a t r o d a,a d k o r t u
6,Kumadene2-Chacon-2019-220-85_four-1,,Kumadene2,Chacon-2019-220-85_four,kwadakawda,kwadakawda,kʷ a d a k a w d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,kw~ a d a k a w d a,a d k kw~ w
7,Werekena-Chacon-2019-220-85_four-1,,Werekena,Chacon-2019-220-85_four,kwatɾʊ,kwatɾʊ,kʷ a t ɾ ʊ,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,kw~ a t r u,a kw~ r t u
8,Aha-Chacon-2019-220-85_four-1,,Aha,Chacon-2019-220-85_four,likuadaːka,likuadaːka,l i k u a d aː k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,l i k u a d a k a,a d i k l u
9,Ehe-Chacon-2019-220-85_four-1,,Ehe,Chacon-2019-220-85_four,likuadaːka,likuadaːka,l i k u a d aː k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,l i k u a d a k a,a d i k l u
10,Waliperi-Chacon-2019-220-85_four-1,,Waliperi,Chacon-2019-220-85_four,ɽikoadaka,ɽikoadaka,ɽ i k o a d a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,r i k o a d a k a,a d i k o r
11,Hohoodene-Chacon-2019-220-85_four-1,,Hohoodene,Chacon-2019-220-85_four,ɽikoɛpaka,ɽikoɛpaka,ɽ i k o ɛ p a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,r i k o E p a k a,E a i k o p r
12,Name-Chacon-2019-220-151_people-1,,Name,Chacon-2019-220-151_people,a’pada,a’pada,a p a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a p a d a,a d p
13,Werekena-Chacon-2019-220-151_people-1,,Werekena,Chacon-2019-220-151_people,j̃amaɾi,j̃amaɾi,j̃ a m a ɾ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,y* a m a r i,a i m r y*
14,Tariana-Chacon-2019-220-151_people-1,,Tariana,Chacon-2019-220-151_people,maɾikɪ,maɾikɪ,m a ɾ i k ɪ,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,m a r i k i,a i k m r
15,Waliperi-Chacon-2019-220-151_people-1,,Waliperi,Chacon-2019-220-151_people,naːwiki,naːwiki,n aː w i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n a w i k i,a i k n w
16,Ehe-Chacon-2019-220-151_people-1,,Ehe,Chacon-2019-220-151_people,naike,naike,n a i k e,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n a i k e,a e i k n
17,Kowaidakenai-Chacon-2019-220-151_people-1,,Kowaidakenai,Chacon-2019-220-151_people,naike,naike,n a i k e,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n a i k e,a e i k n
18,Aha-Chacon-2019-220-151_people-1,,Aha,Chacon-2019-220-151_people,naiki,naiki,n a i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n a i k i,a i k n
19,Kumadene2-Chacon-2019-220-151_people-1,,Kumadene2,Chacon-2019-220-151_people,naiki,naiki,n a i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n a i k i,a i k n
20,Mauliene-Chacon-2019-220-151_people-1,,Mauliene,Chacon-2019-220-151_people,naiki,naiki,n a i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n a i k i,a i k n
21,Oho-Chacon-2019-220-151_people-1,,Oho,Chacon-2019-220-151_people,naiki,naiki,n a i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n a i k i,a i k n
22,Moliwene-Chacon-2019-220-151_people-1,,Moliwene,Chacon-2019-220-151_people,najki,najki,n a j k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n a y k i,a i k n y
23,Hohoodene-Chacon-2019-220-151_people-1,,Hohoodene,Chacon-2019-220-151_people,newiki,newiki,n e w i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n e w i k i,e i k n w
24,Dzawinai-Chacon-2019-220-151_people-1,,Dzawinai,Chacon-2019-220-151_people,newiki,newiki,n e w i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n e w i k i,e i k n w
25,Ehe-Chacon-2019-220-104_here-1,,Ehe,Chacon-2019-220-104_here,aːha,aːha,aː h a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a h a,a h
26,Kumadene2-Chacon-2019-220-104_here-1,,Kumadene2,Chacon-2019-220-104_here,aːhi,aːhi,aː h i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a h i,a h i
27,Aha-Chacon-2019-220-104_here-1,,Aha,Chacon-2019-220-104_here,ahaite,ahaite,a h a i t e,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a h a i t e,a e h i t
28,Hohoodene-Chacon-2019-220-104_here-1,,Hohoodene,Chacon-2019-220-104_here,aijahã,aijahã,a i j a h ã,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a i y a h a*,a a* h i y
29,Mauliene-Chacon-2019-220-104_here-1,,Mauliene,Chacon-2019-220-104_here,ajahã,ajahã,a j a h ã,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a y a h a*,a a* h y
30,Moliwene-Chacon-2019-220-104_here-1,,Moliwene,Chacon-2019-220-104_here,ajahɐ̃,ajahɐ̃,a j a h ɐ̃,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a y a h a*,a a* h y
31,Waliperi-Chacon-2019-220-104_here-1,,Waliperi,Chacon-2019-220-104_here,ajahɐ̃,ajahɐ̃,a j a h ɐ̃,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a y a h a*,a a* h y
32,Name-Chacon-2019-220-104_here-1,,Name,Chacon-2019-220-104_here,ajahe,ajahe,a j a h e,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a y a h e,a e h y
33,Tariana-Chacon-2019-220-104_here-1,,Tariana,Chacon-2019-220-104_here,haĩm̥adenukiuhakəni,haĩm̥adenukiuhakəni,h a ĩ mʰ a d e n u k i u h a k ə n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,h a i* mh~ a d e n u k i u h a k 3 n i,3 a d e h i i* k mh~ n u
34,Oho-Chacon-2019-220-104_here-1,,Oho,Chacon-2019-220-104_here,lipedza,lipedza,l i p e dz a,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,l i p e dz a,a dz e i l p
35,Werekena-Chacon-2019-220-104_here-1,,Werekena,Chacon-2019-220-104_here,wɐnihi,wɐnihi,w ɐ n i h i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,w a n i h i,a h i n w
36,Ehe-Chacon-2019-220-119_know-1,,Ehe,Chacon-2019-220-119_know,aːnʰeketi,aːnʰeketi,aː nʰ e k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,a nh~ e k e t i,a e i k nh~ t
37,Waliperi-Chacon-2019-220-119_know-1,,Waliperi,Chacon-2019-220-119_know,nuahemi,nuaheni,n u a h e n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,,,,n u a h e n i,a e h i n u
