,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Barasano-41-feminine-1,,Barasano,41-feminine,go,g.o,g o,,Chacon2014,,,^ g . o $,default,g o,g o
1,Desano-41-feminine-1,,Desano,41-feminine,go,g.o,g o,,Chacon2014,,,^ g . o $,default,g o,g o
2,Karapan-41-feminine-1,,Karapan,41-feminine,o,o,o,,Chacon2014,,,^ o $,default,o,o
3,Koreguahe-41-feminine-1,,Koreguahe,41-feminine,o,o,o,,Chacon2014,,,^ o $,default,o,o
4,Kubeo-41-feminine-1,,Kubeo,41-feminine,ko,k.o,k o,,Chacon2014,,,^ k . o $,default,k o,k o
5,Maihiki-41-feminine-1,,Maihiki,41-feminine,o,o,o,,Chacon2014,,,^ o $,default,o,o
6,Piratapuyo-41-feminine-1,,Piratapuyo,41-feminine,ko,k.o,k o,,Chacon2014,,,^ k . o $,default,k o,k o
7,Sekoya-41-feminine-1,,Sekoya,41-feminine,o,o,o,,Chacon2014,,,^ o $,default,o,o
8,Siona-41-feminine-1,,Siona,41-feminine,go,g.o,g o,,Chacon2014,,,^ g . o $,default,g o,g o
9,Tukano-41-feminine-1,,Tukano,41-feminine,go,g.o,g o,,Chacon2014,,,^ g . o $,default,g o,g o
10,Wanano-41-feminine-1,,Wanano,41-feminine,ko,k.o,k o,,Chacon2014,,,^ k . o $,default,k o,k o
11,Prototucanoan-41-feminine-1,,Prototucanoan,41-feminine,*-kʔo,kʔ.o,kˀ o,,Chacon2014,,,^ kʔ . o $,default,k o,k o
12,Barasano-88-non3rdanimateperson-1,,Barasano,88-non3rdanimateperson,bɨ,b.ɨ,b ɨ,,Chacon2014,,,^ b . ɨ $,default,b 3,3 b
13,Desano-88-non3rdanimateperson-1,,Desano,88-non3rdanimateperson,bɨ,b.ɨ,b ɨ,,Chacon2014,,,^ b . ɨ $,default,b 3,3 b
14,Kubeo-88-non3rdanimateperson-1,,Kubeo,88-non3rdanimateperson,wɨ,w.ɨ,w ɨ,,Chacon2014,,,^ w . ɨ $,default,w 3,3 w
15,Sekoya-88-non3rdanimateperson-1,,Sekoya,88-non3rdanimateperson,wɨ,w.ɨ,w ɨ,,Chacon2014,,,^ w . ɨ $,default,w 3,3 w
16,Siona-88-non3rdanimateperson-1,,Siona,88-non3rdanimateperson,wɨ,w.ɨ,w ɨ,,Chacon2014,,,^ w . ɨ $,default,w 3,3 w
17,Tukano-88-non3rdanimateperson-1,,Tukano,88-non3rdanimateperson,pɨ,p.ɨ,p ɨ,,Chacon2014,,,^ p . ɨ $,default,p 3,3 p
18,Prototucanoan-88-non3rdanimateperson-1,,Prototucanoan,88-non3rdanimateperson,*-pʔɨ,pʔ.ɨ,pˀ ɨ,,Chacon2014,,,^ pʔ . ɨ $,default,p 3,3 p
19,Barasano-1-3rdpersonmasculine-1,,Barasano,1-3rdpersonmasculine,~bi,m.ĩ,m ĩ,,Chacon2014,,,^ m . ĩ $,default,m i*,i* m
20,Desano-1-3rdpersonmasculine-1,,Desano,1-3rdpersonmasculine,~bi,m.ĩ,m ĩ,,Chacon2014,,,^ m . ĩ $,default,m i*,i* m
21,Kubeo-1-3rdpersonmasculine-1,,Kubeo,1-3rdpersonmasculine,bi,b.i,b i,,Chacon2014,,,^ b . i $,default,b i,b i
22,Sekoya-1-3rdpersonmasculine-1,,Sekoya,1-3rdpersonmasculine,pi,p.i,p i,,Chacon2014,,,^ p . i $,default,p i,i p
23,Tukano-1-3rdpersonmasculine-1,,Tukano,1-3rdpersonmasculine,~bi,m.ĩ,m ĩ,,Chacon2014,,,^ m . ĩ $,default,m i*,i* m
24,Prototucanoan-1-3rdpersonmasculine-1,,Prototucanoan,1-3rdpersonmasculine,*-pi,p.i,p i,,Chacon2014,,,^ p . i $,default,p i,i p
25,Barasano-19-casenonnominatvie-1,,Barasano,19-casenonnominatvie,re,r.e,ɾ e,,Chacon2014,,,^ r . e $,default,r e,e r
26,Desano-19-casenonnominatvie-1,,Desano,19-casenonnominatvie,de,d.e,d e,,Chacon2014,,,^ d . e $,default,d e,d e
27,Karapan-19-casenonnominatvie-1,,Karapan,19-casenonnominatvie,re,r.e,ɾ e,,Chacon2014,,,^ r . e $,default,r e,e r
28,Koreguahe-19-casenonnominatvie-1,,Koreguahe,19-casenonnominatvie,re,r.e,ɾ e,,Chacon2014,,,^ r . e $,default,r e,e r
29,Kubeo-19-casenonnominatvie-1,,Kubeo,19-casenonnominatvie,de,d.e,d e,,Chacon2014,,,^ d . e $,default,d e,d e
30,Maihiki-19-casenonnominatvie-1,,Maihiki,19-casenonnominatvie,de,d.e,d e,,Chacon2014,,,^ d . e $,default,d e,d e
31,Piratapuyo-19-casenonnominatvie-1,,Piratapuyo,19-casenonnominatvie,re,r.e,ɾ e,,Chacon2014,,,^ r . e $,default,r e,e r
32,Sekoya-19-casenonnominatvie-1,,Sekoya,19-casenonnominatvie,re,r.e,ɾ e,,Chacon2014,,,^ r . e $,default,r e,e r
33,Siona-19-casenonnominatvie-1,,Siona,19-casenonnominatvie,re,r.e,ɾ e,,Chacon2014,,,^ r . e $,default,r e,e r
34,Tanimuka-19-casenonnominatvie-1,,Tanimuka,19-casenonnominatvie,re,r.e,ɾ e,,Chacon2014,,,^ r . e $,default,r e,e r
35,Tukano-19-casenonnominatvie-1,,Tukano,19-casenonnominatvie,re,r.e,ɾ e,,Chacon2014,,,^ r . e $,default,r e,e r
36,Wanano-19-casenonnominatvie-1,,Wanano,19-casenonnominatvie,re,r.e,ɾ e,,Chacon2014,,,^ r . e $,default,r e,e r
37,Prototucanoan-19-casenonnominatvie-1,,Prototucanoan,19-casenonnominatvie,*-tʔe,tʔ.e,tˀ e,,Chacon2014,,,^ tʔ . e $,default,t e,e t
38,Barasano-76-locative-1,,Barasano,76-locative,do,d.o,d o,,Chacon2014,,,^ d . o $,default,d o,d o
39,Desano-76-locative-1,,Desano,76-locative,do,d.o,d o,,Chacon2014,,,^ d . o $,default,d o,d o
40,Karapan-76-locative-1,,Karapan,76-locative,do,d.o,d o,,Chacon2014,,,^ d . o $,default,d o,d o
41,Kubeo-76-locative-1,,Kubeo,76-locative,~do,n.õ,n õ,,Chacon2014,,,^ n . õ $,default,n o*,n o*
42,Maihiki-76-locative-1,,Maihiki,76-locative,do,d.o,d o,,Chacon2014,,,^ d . o $,default,d o,d o
43,Piratapuyo-76-locative-1,,Piratapuyo,76-locative,do,d.o,d o,,Chacon2014,,,^ d . o $,default,d o,d o
44,Sekoya-76-locative-1,,Sekoya,76-locative,ro,r.o,ɾ o,,Chacon2014,,,^ r . o $,default,r o,o r
45,Siona-76-locative-1,,Siona,76-locative,ro,r.o,ɾ o,,Chacon2014,,,^ r . o $,default,r o,o r
46,Tukano-76-locative-1,,Tukano,76-locative,do,d.o,d o,,Chacon2014,,,^ d . o $,default,d o,d o
47,Wanano-76-locative-1,,Wanano,76-locative,do,d.o,d o,,Chacon2014,,,^ d . o $,default,d o,d o
48,Prototucanoan-76-locative-1,,Prototucanoan,76-locative,*-tʔo,tʔ.o,tˀ o,,Chacon2014,,,^ tʔ . o $,default,t o,o t
49,Barasano-107-snake-1,,Barasano,107-snake,~aja,ã.ɲ.ã,ã ɲ ã,,Chacon2014,,,^ ã . ɲ . ã $,default,a* 5 a*,5 a*
50,Desano-107-snake-1,,Desano,107-snake,~aja,ã.ɲ.ã,ã ɲ ã,,Chacon2014,,,^ ã . ɲ . ã $,default,a* 5 a*,5 a*
51,Karapan-107-snake-1,,Karapan,107-snake,~aja,ã.ɲ.ã,ã ɲ ã,,Chacon2014,,,^ ã . ɲ . ã $,default,a* 5 a*,5 a*
