,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CU,asjp_forms,asjp_segs
0,LencaSalvador-1_agua-1,,LencaSalvador,1_agua,wal,wal,w a l,,Constenla2005,1,,^ w a l $,LencaSalvador,a,w a l,a l w
1,LencaHonduras-1_agua-1,,LencaHonduras,1_agua,was,was,w a s,,Constenla2005,1,,^ w a s $,LencaHonduras,a,w a s,a s w
2,Cacaopera-1_agua-1,,Cacaopera,1_agua,li,li,l i,,Constenla2005,2,,^ l i $,Cacaopera,b,l i,i l
3,Mayangna-1_agua-1,,Mayangna,1_agua,was,was,w a s,,Constenla2005,1,,^ w a s $,Mayangna,a,w a s,a s w
4,Ulwa-1_agua-1,,Ulwa,1_agua,was,was,w a s,,Constenla2005,1,,^ w a s $,Ulwa,a,w a s,a s w
5,Miskito-1_agua-1,,Miskito,1_agua,li,li,l i,,Constenla2005,2,,^ l i $,Miskito,b,l i,i l
6,Pech-1_agua-1,,Pech,1_agua,àsò,àsò,à/a s ò/o,,Constenla2005,3,,^ à s ò $,Pech,,a a s o o,a o s
7,Rama-1_agua-1,,Rama,1_agua,si:,si:,s iː,,Constenla2005,4,,^ s i: $,Rama,c,s i,i s
8,MalekuJaika-1_agua-1,,MalekuJaika,1_agua,ti:,ti:,t iː,,Constenla2005,4,,^ t i: $,MalekuJaika,c,t i,i t
9,Boruca-1_agua-1,,Boruca,1_agua,díʔ,díʔ,d í/i ʔ,,Constenla2005,4,,^ d í ʔ $,Boruca,c,d i i 7,7 d i
10,Bribri-1_agua-1,,Bribri,1_agua,dǐʔ,dǐʔ,d ǐ/i ʔ,,Constenla2005,4,,^ d ǐ ʔ $,Bribri,c,d i i 7,7 d i
11,Cabecar-1_agua-1,,Cabecar,1_agua,díkɺʊ́,díkɺʊ́,d í/i k ɺ ʊ́/ʊ,,Constenla2005,4,,^ d í k ɺ ʊ́ $,Cabecar,c,d i i k L u u,L d i k u
12,Teribe-1_agua-1,,Teribe,1_agua,dí,dí,d í/i,,Constenla2005,4,,^ d í $,Teribe,c,d i i,d i
13,Ngabere-1_agua-1,,Ngabere,1_agua,ɲɤ,ɲɤ,ɲ ɤ,,Constenla2005,4,,^ ɲ ɤ $,Ngabere,c,5 o,5 o
14,Buglere-1_agua-1,,Buglere,1_agua,tʃi,tʃi,tʃ i,,Constenla2005,4,,^ tʃ i $,Buglere,c,tS i,i tS
15,Dorasque-1_agua-1,,Dorasque,1_agua,yi,yi,j i,,Constenla2005,4,,^ y i $,Dorasque,c,y i,i y
16,SanBlasKuna-1_agua-1,,SanBlasKuna,1_agua,ti:,ti:,t iː,,Constenla2005,4,,^ t i: $,SanBlasKuna,c,t i,i t
17,Cogui-1_agua-1,,Cogui,1_agua,ni,ni,n i,,Constenla2005,4,,^ n i $,Cogui,c,n i,i n
18,Arhuaco-1_agua-1,,Arhuaco,1_agua,dʒe,dʒe,dʒ e,,Constenla2005,4,,^ dʒ e $,Arhuaco,c,dZ e,dZ e
