,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,ClassicalNahuatl-1_alltodos-1,,ClassicalNahuatl,1_alltodos,mochi-n,mochi-n,m o tʃ i + n,,Karttunen1983,,false,^ m o ch i - n $,default,m o tS i  n, i m n o tS
1,TetelcingoNahuatl-1_alltodos-1,,TetelcingoNahuatl,1_alltodos,nochiː,nochiː,n o tʃ iː,,Brewer1966,,false,^ n o ch iː $,default,n o tS i,i n o tS
2,NorthPueblaNahuatl-1_alltodos-1,,NorthPueblaNahuatl,1_alltodos,nochi-n,nochi-n,n o tʃ i + n,,Brockway2000,,false,^ n o ch i - n $,default,n o tS i  n, i n o tS
3,MecayapanNahuat-1_alltodos-1,,MecayapanNahuat,1_alltodos,(i)nochi,nochi,n o tʃ i,,Wolgemuth2002,,false,^ n o ch i $,default,n o tS i,i n o tS
4,PajapanNahuat-1_alltodos-1,,PajapanNahuat,1_alltodos,nochi,nochi,n o tʃ i,,Garcia1976,,false,^ n o ch i $,default,n o tS i,i n o tS
5,JalupaNahuat-1_alltodos-1,,JalupaNahuat,1_alltodos,muchi,muchi,m u tʃ i,,Garcia1967,,false,^ m u ch i $,default,m u tS i,i m tS u
6,Pipil-1_alltodos-1,,Pipil,1_alltodos,muchi,muchi,m u tʃ i,,Campbell1985,,false,^ m u ch i $,default,m u tS i,i m tS u
7,Pochutec-1_alltodos-1,,Pochutec,1_alltodos,nochó,nochó,n o tʃ ó/o,,Boas1917,,false,^ n o ch ó $,default,n o tS o o,n o tS
8,ProtoAztecan-1_alltodos-1,,ProtoAztecan,1_alltodos,*mochɨ-m,*mochɨ-m,m o tʃ ɨ + m,,Davletshin2012,,,^ * m o ch ɨ - m $,default,m o tS 3  m, 3 m o tS
9,ClassicalNahuatl-2_ashes-1,,ClassicalNahuatl,2_ashes,nex-tli,nex-tli,n e x + tɬ i,,Karttunen1983,,false,^ n e x - tl i $,default,n e x  tL i, e i n tL x
10,TetelcingoNahuatl-2_ashes-1,,TetelcingoNahuatl,2_ashes,tlako-nex-tliː,tlako-nex-tliː,tɬ a k o + n e x + tɬ iː,,Brewer1966,,false,^ tl a k o - n e x - tl iː $,default,tL a k o  n e x  tL i, a e i k n o tL x
11,NorthPueblaNahuatl-2_ashes-1,,NorthPueblaNahuatl,2_ashes,tleko-nex-tli,tleko-nex-tli,tɬ e k o + n e x + tɬ i,,Brockway2000,,false,^ tl e k o - n e x - tl i $,default,tL e k o  n e x  tL i, e i k n o tL x
12,MecayapanNahuat-2_ashes-1,,MecayapanNahuat,2_ashes,kwa-neːx,kwa-neːx,k w a + n eː x,,Wolgemuth2002,,false,^ k w a - n eː x $,default,k w a  n e x, a e k n w x
13,PajapanNahuat-2_ashes-1,,PajapanNahuat,2_ashes,ba-neːx,ba-neːx,b a + n eː x,,Garcia1976,,false,^ b a - n eː x $,default,b a  n e x, a b e n x
14,JalupaNahuat-2_ashes-1,,JalupaNahuat,2_ashes,kó-nex-ti,kó-nex-ti,k ó/o + n e x + t i,,Garcia1967,,false,^ k ó - n e x - t i $,default,k o o  n e x  t i, e i k n o t x
15,Pipil-2_ashes-1,,Pipil,2_ashes,nex-ti,nex-ti,n e x + t i,,Campbell1985,,false,^ n e x - t i $,default,n e x  t i, e i n t x
16,Pochutec-2_ashes-1,,Pochutec,2_ashes,nox-t,nox-t,n o x + t,,Boas1917,,false,^ n o x - t $,default,n o x  t, n o t x
17,ProtoAztecan-2_ashes-1,,ProtoAztecan,2_ashes,*nɨx-tlɨ,*nɨx-tlɨ,n ɨ x + tɬ ɨ,,Davletshin2012,,,^ * n ɨ x - tl ɨ $,default,n 3 x  tL 3, 3 n tL x
18,ClassicalNahuatl-3_bark-1,,ClassicalNahuatl,3_bark,eːwa-tl,eːwa-tl,eː w a + tɬ,,Karttunen1983,,false,^ eː w a - tl $,default,e w a  tL, a e tL w
19,TetelcingoNahuatl-3_bark-1,,TetelcingoNahuatl,3_bark,yewa-yu-tl,yewa-yu-tl,j e w a + j u + tɬ,,Brewer1966,,false,^ y e w a - y u - tl $,default,y e w a  y u  tL, a e tL u w y
20,NorthPueblaNahuatl-3_bark-1,,NorthPueblaNahuatl,3_bark,-yewa-yo,-yewa-yo,j e w a + j o,,Brockway2000,,false,^- y e w a - y o $,default,y e w a  y o, a e o w y
21,MecayapanNahuat-3_bark-1,,MecayapanNahuat,3_bark,kwa-kahloː-ʔ,kwa-kahloː-ʔ,k w a + k a h l oː + ʔ,,Wolgemuth2002,,false,^ k w a - k ah l oː - ʔ $,default,k w a  k a h l o  7, 7 a h k l o w
22,PajapanNahuat-3_bark-1,,PajapanNahuat,3_bark,-ba-gahlo,-ba-gahlo,b a + g a h l o,,Garcia1976,,false,^- b a - g ah l o $,default,b a  g a h l o, a b g h l o
23,JalupaNahuat-3_bark-1,,JalupaNahuat,3_bark,-sul-koi,-sul-koi,s u l + k o i,,Garcia1967,,false,^- s u l - k o i $,default,s u l  k o i, i k l o s u
24,Pipil-3_bark-1,,Pipil,3_bark,-eːwa-yu,-eːwa-yu,eː w a + j u,,Campbell1985,,false,^- eː w a - y u $,default,e w a  y u, a e u w y
25,ProtoAztecan-3_bark-1,,ProtoAztecan,3_bark,*ɨwaː-yoː-tl,*ɨwaː-yoː-tl,ɨ w aː + j oː + tɬ,,Davletshin2012,,,^ * ɨ w aː - y oː - tl $,default,3 w a  y o  tL, 3 a o tL w y
26,ClassicalNahuatl-4_belly-1,,ClassicalNahuatl,4_belly,-iʔte,-iʔte,i ʔ t e,,Karttunen1983,,false,^- i ʔ t e $,default,i 7 t e,7 e i t
27,TetelcingoNahuatl-4_belly-1,,TetelcingoNahuatl,4_belly,-ihte,-ihte,i h t e,,Brewer1966,,false,^- ih t e $,default,i h t e,e h i t
28,NorthPueblaNahuatl-4_belly-1,,NorthPueblaNahuatl,4_belly,"-ihte, -pox",-ihte,i h t e,,Brockway2000,,false,^- ih t e $,default,i h t e,e h i t
29,MecayapanNahuat-4_belly-1,,MecayapanNahuat,4_belly,-talax (exterior),-talax_,t a l a x,,Wolgemuth2002,,false,^- t a l a x _$,default,t a l a x,a l t x
30,PajapanNahuat-4_belly-1,,PajapanNahuat,4_belly,-ihti,-ihti,i h t i,,Garcia1976,,false,^- ih t i $,default,i h t i,h i t
31,JalupaNahuat-4_belly-1,,JalupaNahuat,4_belly,-ihti,-ihti,i h t i,,Garcia1967,,false,^- ih t i $,default,i h t i,h i t
32,Pipil-4_belly-1,,Pipil,4_belly,-ihti,-ihti,i h t i,,Campbell1985,,false,^- ih t i $,default,i h t i,h i t
33,ProtoAztecan-4_belly-1,,ProtoAztecan,4_belly,*-ɨhtɨ,*-ɨhtɨ,ɨ h t ɨ,,Davletshin2012,,,^*- ɨh t ɨ $,default,3 h t 3,3 h t
34,ClassicalNahuatl-5_big-1,,ClassicalNahuatl,5_big,weː(i),weː,w eː,,Karttunen1983,,false,^ w eː $,default,w e,e w
35,TetelcingoNahuatl-5_big-1,,TetelcingoNahuatl,5_big,bieyiː,bieyiː,b i e j iː,,Brewer1966,,false,^ b i e y iː $,default,b i e y i,b e i y
36,NorthPueblaNahuatl-5_big-1,,NorthPueblaNahuatl,5_big,weyi,weyi,w e j i,,Brockway2000,,false,^ w e y i $,default,w e y i,e i w y
37,MecayapanNahuat-5_big-1,,MecayapanNahuat,5_big,weyi,weyi,w e j i,,Wolgemuth2002,,false,^ w e y i $,default,w e y i,e i w y
