,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,NamHsan-1_sun-1,,NamHsan,1_sun,saŋiː,saŋiː,s a + ŋ iː,,Deepadung2015,,,,,s a  N i, N a i s
1,KhunHawt-1_sun-1,,KhunHawt,1_sun,saŋiː,saŋiː,s a + ŋ iː,,Deepadung2015,,,,,s a  N i, N a i s
2,HtanHsan-1_sun-1,,HtanHsan,1_sun,saŋiː,saŋiː,s a + ŋ iː,,Deepadung2015,,,,,s a  N i, N a i s
3,PangKham-1_sun-1,,PangKham,1_sun,saŋaj,saŋaj,s a + ŋ ai̯,,Deepadung2015,,,,,s a  N ai, N a ai s
4,ManLoi-1_sun-1,,ManLoi,1_sun,saŋaj,saŋaj,s a + ŋ ai̯,,Deepadung2015,,,,,s a  N ai, N a ai s
5,MengDan-1_sun-1,,MengDan,1_sun,ŋəj,ŋəj,ŋ əi̯,,Deepadung2015,,,,,N 3i,3i N
6,ChuDongGua-1_sun-1,,ChuDongGua,1_sun,səŋɔj,səŋɔj,s ə + ŋ ɔi̯,,Deepadung2015,,,,,s 3  N oi, 3 N oi s
7,XiangZhaiTang-1_sun-1,,XiangZhaiTang,1_sun,saŋɛː,saŋɛː,s a + ŋ ɛː,,Deepadung2015,,,,,s a  N E, E N a s
8,PongNuea-1_sun-1,,PongNuea,1_sun,saŋɛj,saŋɛj,s a + ŋ ɛi̯,,Deepadung2015,,,,,s a  N Ei, Ei N a s
9,NyaungGone-1_sun-1,,NyaungGone,1_sun,saŋɛ,saŋɛ,s a + ŋ ɛ,,Deepadung2015,,,,,s a  N E, E N a s
10,NoeLae-1_sun-1,,NoeLae,1_sun,saŋɛ,saŋɛ,s a + ŋ ɛ,,Deepadung2015,,,,,s a  N E, E N a s
11,BanPaw-1_sun-1,,BanPaw,1_sun,saŋɛ,saŋɛ,s a + ŋ ɛ,,Deepadung2015,,,,,s a  N E, E N a s
12,ChaYeQing-1_sun-1,,ChaYeQing,1_sun,khaŋaj,khaŋaj,kʰ a + ŋ ai̯,,Deepadung2015,,,,,kh~ a  N ai, N a ai kh~
13,GuangKa-1_sun-1,,GuangKa,1_sun,saŋaj,saŋaj,s a + ŋ ai̯,,Deepadung2015,,,,,s a  N ai, N a ai s
14,MangBang-1_sun-1,,MangBang,1_sun,saŋaj,saŋaj,s a + ŋ ai̯,,Deepadung2015,,,,,s a  N ai, N a ai s
15,NanSang-1_sun-1,,NanSang,1_sun,saŋaj,saŋaj,s a + ŋ ai̯,,Deepadung2015,,,,,s a  N ai, N a ai s
16,NamHsan-2_moon-1,,NamHsan,2_moon,blaŋkiәːr,blaŋkiәːr,b l a n + k i/j əː r,,Deepadung2015,,,,,b l a n  k i y 3 r, 3 a b i k l n r y
17,KhunHawt-2_moon-1,,KhunHawt,2_moon,paŋkia,paŋkia,p a n + k i/j a,,Deepadung2015,,,,,p a n  k i y a, a i k n p y
18,HtanHsan-2_moon-1,,HtanHsan,2_moon,baŋkia,baŋkia,b a n + k i/j a,,Deepadung2015,,,,,b a n  k i y a, a b i k n y
19,PangKham-2_moon-1,,PangKham,2_moon,blaŋɡian,blaŋɡian,b l a n + g i/j a n,,Deepadung2015,,,,,b l a n  g i y a n, a b g i l n y
20,ManLoi-2_moon-1,,ManLoi,2_moon,blaŋɡiaː,blaŋɡiaː,b l a n + g i/j aː,,Deepadung2015,,,,,b l a n  g i y a, a b g i l n y
21,MengDan-2_moon-1,,MengDan,2_moon,blaŋɡiar,blaŋɡiar,b l a n + g i/j a r,,Deepadung2015,,,,,b l a n  g i y a r, a b g i l n r y
22,ChuDongGua-2_moon-1,,ChuDongGua,2_moon,blaŋkiar,blaŋkiar,b l a n + k i/j a r,,Deepadung2015,,,,,b l a n  k i y a r, a b i k l n r y
23,XiangZhaiTang-2_moon-1,,XiangZhaiTang,2_moon,məɡian,məɡian,m ə + g i/j a n,,Deepadung2015,,,,,m 3  g i y a n, 3 a g i m n y
24,PongNuea-2_moon-1,,PongNuea,2_moon,maɡian,maɡian,m a + g i/j a n,,Deepadung2015,,,,,m a  g i y a n, a g i m n y
25,NyaungGone-2_moon-1,,NyaungGone,2_moon,maɡian,maɡian,m a + g i/j a n,,Deepadung2015,,,,,m a  g i y a n, a g i m n y
26,NoeLae-2_moon-1,,NoeLae,2_moon,maɡian,maɡian,m a + g i/j a n,,Deepadung2015,,,,,m a  g i y a n, a g i m n y
27,BanPaw-2_moon-1,,BanPaw,2_moon,maɡian,maɡian,m a + g i/j a n,,Deepadung2015,,,,,m a  g i y a n, a g i m n y
28,ChaYeQing-2_moon-1,,ChaYeQing,2_moon,lənlaːw,lənlaːw,l ə n + l aː w,,Deepadung2015,,,,,l 3 n  l a w, 3 a l n w
29,GuangKa-2_moon-1,,GuangKa,2_moon,pakjəː,pakjəː,p a + k j əː,,Deepadung2015,,,,,p a  k y 3, 3 a k p y
30,MangBang-2_moon-1,,MangBang,2_moon,pakjəː,pakjəː,p a + k j əː,,Deepadung2015,,,,,p a  k y 3, 3 a k p y
31,NanSang-2_moon-1,,NanSang,2_moon,pakjəː,pakjəː,p a + k j əː,,Deepadung2015,,,,,p a  k y 3, 3 a k p y
32,NamHsan-3_star-1,,NamHsan,3_star,samɛŋ,samɛŋ,s a + m ɛ ŋ,,Deepadung2015,,,,,s a  m E N, E N a m s
33,KhunHawt-3_star-1,,KhunHawt,3_star,sәmeɲ,sәmeɲ,s ə + m e ɲ,,Deepadung2015,,,,,s 3  m e 5, 3 5 e m s
34,HtanHsan-3_star-1,,HtanHsan,3_star,sameɲ,sameɲ,s a + m e ɲ,,Deepadung2015,,,,,s a  m e 5, 5 a e m s
35,PangKham-3_star-1,,PangKham,3_star,plaːŋ,plaːŋ,p l aː ŋ,,Deepadung2015,,,,,p l a N,N a l p
