,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Badga-1_i-1,1,Badga,1_i,na,na,n a,,KolipakamFW,,False,^ n a $,default,n a,a n
1,Betta_Kurumba-1_i-1,2,Betta_Kurumba,1_i,na:ʋə,na:ʋə,n aː ʋ ə,,KolipakamFW,,False,^ n a: ʋ ə $,default,n a v 3,3 a n v
2,Brahui-1_i-1,3,Brahui,1_i,i:,i:,iː,,KolipakamFW,,False,^ i: $,default,i,i
3,Gondi-1_i-1,4,Gondi,1_i,nanna,nanna,n a nː a,,KolipakamFW,,False,^ n a nn a $,default,n a n a,a n
4,Kannada-1_i-1,5,Kannada,1_i,na:nu,na:nu,n aː n u,,KolipakamFW,,False,^ n a: n u $,default,n a n u,a n u
5,Kodava-1_i-1,6,Kodava,1_i,na:nə,na:nə,n aː n ə,,KolipakamFW,,False,^ n a: n ə $,default,n a n 3,3 a n
6,Kolami-1_i-1,7,Kolami,1_i,ne:nu,ne:nu,n eː n u,,KolipakamFW,,False,^ n e: n u $,default,n e n u,e n u
7,Kota-1_i-1,8,Kota,1_i,a:n,a:n,aː n,,KolipakamFW,,False,^ a: n $,default,a n,a n
8,Koya-1_i-1,9,Koya,1_i,nanna,nanna,n a nː a,,KolipakamFW,,False,^ n a nn a $,default,n a n a,a n
9,Kurukh-1_i-1,10,Kurukh,1_i,ae:n,ae:n,a eː n,,KolipakamFW,,False,^ a e: n $,default,a e n,a e n
10,Kuwi-1_i-1,11,Kuwi,1_i,na:nu,na:nu,n aː n u,,KolipakamFW,,False,^ n a: n u $,default,n a n u,a n u
11,Kuwi-1_i-2,12,Kuwi,1_i,mu,mu,m u,,KolipakamFW,,False,^ m u $,default,m u,m u
12,Malayalam-1_i-1,13,Malayalam,1_i,ɲa:n,ɲa:n,ɲ aː n,,Andronov1964,,False,^ ɲ a: n $,default,5 a n,5 a n
13,Malto-1_i-1,14,Malto,1_i,he:nu,he:nu,h eː n u,,KolipakamFW,,False,^ h e: n u $,default,h e n u,e h n u
14,Ollari_Gadba-1_i-1,15,Ollari_Gadba,1_i,a:n,a:n,aː n,,KolipakamFW,,False,^ a: n $,default,a n,a n
15,Parji-1_i-1,16,Parji,1_i,ān,ān,aː n,,Andronov1964,,False,^ ā n $,default,a n,a n
16,Tamil-1_i-1,17,Tamil,1_i,na:n,na:n,n aː n,,Andronov1964,,False,^ n a: n $,default,n a n,a n
17,Telugu-1_i-1,18,Telugu,1_i,ne:nu,ne:nu,n eː n u,,KolipakamFW,,False,^ n e: n u $,default,n e n u,e n u
18,Toda-1_i-1,19,Toda,1_i,o:n,o:n,oː n,,KolipakamFW,,False,^ o: n $,default,o n,n o
19,Tulu-1_i-1,20,Tulu,1_i,ja:nu,ja:nu,j aː n u,,KolipakamFW,,False,^ j a: n u $,default,y a n u,a n u y
20,Yeruva-1_i-1,21,Yeruva,1_i,na:n,na:n,n aː n,,KolipakamFW,,False,^ n a: n $,default,n a n,a n
21,Badga-2_all-1,22,Badga,2_all,ella,ella,e lː a,,KolipakamFW,,False,^ e ll a $,default,e l a,a e l
22,Kannada-2_all-1,23,Kannada,2_all,ella,ella,e lː a,,KolipakamFW,,False,^ e ll a $,default,e l a,a e l
23,Kodava-2_all-1,24,Kodava,2_all,ella,ella,e lː a,,KolipakamFW,,False,^ e ll a $,default,e l a,a e l
