,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Tenen_Palian-1_animal-1,,Tenen_Palian,1_animal,ʔay,ʔay,ʔ a j,,DunnKruspeBurenhult2013,,False,^ ʔ a y $,default,7 a y,7 a y
1,Tenen_Palian-2_back-1,,Tenen_Palian,2_back,kaʁɔʔ,kaʁɔʔ,k a ʁ ɔ ʔ,,DunnKruspeBurenhult2013,,False,^ k a ʁ ɔ ʔ $,default,k a X o 7,7 X a k o
2,Tenen_Palian-3_bad-1,,Tenen_Palian,3_bad,gbaʔ,gbaʔ,g b a ʔ,,DunnKruspeBurenhult2013,,False,^ g b a ʔ $,default,g b a 7,7 a b g
3,Tenen_Palian-4_belly-1,,Tenen_Palian,4_belly,ʔɛc,ʔɛc,ʔ ɛ c,,DunnKruspeBurenhult2013,,False,^ ʔ ɛ c $,default,7 E T,7 E T
4,Tenen_Palian-5_big-1,,Tenen_Palian,5_big,caw,caw,c a w,,DunnKruspeBurenhult2013,,False,^ c a w $,default,T a w,T a w
5,Tenen_Paborn-1_animal-1,,Tenen_Paborn,1_animal,bsiŋ,bsiŋ,b s i ŋ,,DunnKruspeBurenhult2013,,False,^ bs i ŋ $,default,b s i N,N b i s
6,Tenen_Paborn-2_back-1,,Tenen_Paborn,2_back,kaʁɔʔ,kaʁɔʔ,k a ʁ ɔ ʔ,,DunnKruspeBurenhult2013,,False,^ k a ʁ ɔ ʔ $,default,k a X o 7,7 X a k o
7,Tenen_Paborn-3_bad-1,,Tenen_Paborn,3_bad,baʔ,baʔ,b a ʔ,,DunnKruspeBurenhult2013,,False,^ b a ʔ $,default,b a 7,7 a b
8,Tenen_Paborn-4_belly-1,,Tenen_Paborn,4_belly,ʔec,ʔec,ʔ e c,,DunnKruspeBurenhult2013,,False,^ ʔ e c $,default,7 e T,7 T e
9,Tenen_Paborn-5_big-1,,Tenen_Paborn,5_big,ʔahaw,ʔahaw,ʔ a h a w,,DunnKruspeBurenhult2013,,False,^ ʔ a h a w $,default,7 a h a w,7 a h w
10,Maniq-1_animal-1,,Maniq,1_animal,ʔay,ʔay,ʔ a j,,DunnKruspeBurenhult2013,,False,^ ʔ a y $,default,7 a y,7 a y
11,Maniq-2_back-1,,Maniq,2_back,kaʔɔʔ,kaʔɔʔ,k a ʔ ɔ ʔ,,DunnKruspeBurenhult2013,,False,^ k a ʔ ɔ ʔ $,default,k a 7 o 7,7 a k o
12,Maniq-3_bad-1,,Maniq,3_bad,ɡəbaʔ,ɡəbaʔ,g ə b a ʔ,,DunnKruspeBurenhult2013,,False,^ ɡ ə b a ʔ $,default,g 3 b a 7,3 7 a b g
13,Maniq-4_belly-1,,Maniq,4_belly,cɨŋ,cɨŋ,c ɨ ŋ,,DunnKruspeBurenhult2013,,False,^ c ɨ ŋ $,default,T 3 N,3 N T
14,Maniq-5_big-1,,Maniq,5_big,ʔəhaw,ʔəhaw,ʔ ə h a w,,DunnKruspeBurenhult2013,,False,^ ʔ ə h a w $,default,7 3 h a w,3 7 a h w
15,Kensiw_Perak-1_animal-1,,Kensiw_Perak,1_animal,hapɔʔ,hapɔʔ,h a p ɔ ʔ,,DunnKruspeBurenhult2013,,False,^ h a p ɔ ʔ $,default,h a p o 7,7 a h o p
16,Kensiw_Perak-2_back-1,,Kensiw_Perak,2_back,kyɔʔ,kyɔʔ,k j ɔ ʔ,,DunnKruspeBurenhult2013,,False,^ k y ɔ ʔ $,default,k y o 7,7 k o y
17,Kensiw_Perak-3_bad-1,,Kensiw_Perak,3_bad,mənkec,mənkec,m ə n k e c,,DunnKruspeBurenhult2013,,False,^ m ə n k e c $,default,m 3 n k e T,3 T e k m n
18,Kensiw_Perak-4_belly-1,,Kensiw_Perak,4_belly,cɘŋ,cɘŋ,c ɘ ŋ,,DunnKruspeBurenhult2013,,False,^ c ɘ ŋ $,default,T 3 N,3 N T
19,Kensiw_Perak-5_big-1,,Kensiw_Perak,5_big,tbɘʔ,tbɘʔ,t b ɘ ʔ,,DunnKruspeBurenhult2013,,False,^ t b ɘ ʔ $,default,t b 3 7,3 7 b t
20,Kensiw_Kedah-1_animal-1,,Kensiw_Kedah,1_animal,ʔay,ʔay,ʔ a j,,DunnKruspeBurenhult2013,,False,^ ʔ a y $,default,7 a y,7 a y
21,Kensiw_Kedah-2_back-1,,Kensiw_Kedah,2_back,kyɔʔ,kyɔʔ,k j ɔ ʔ,,DunnKruspeBurenhult2013,,False,^ k y ɔ ʔ $,default,k y o 7,7 k o y
22,Kensiw_Kedah-3_bad-1,,Kensiw_Kedah,3_bad,jahat,jahat,j a h a t,,DunnKruspeBurenhult2013,,True,^ j a h a t $,default,y a h a t,a h t y
23,Kensiw_Kedah-4_belly-1,,Kensiw_Kedah,4_belly,cɨŋ,cɨŋ,c ɨ ŋ,,DunnKruspeBurenhult2013,,False,^ c ɨ ŋ $,default,T 3 N,3 N T
24,Kensiw_Kedah-5_big-1,,Kensiw_Kedah,5_big,tbɨʔ,tbɨʔ,t b ɨ ʔ,,DunnKruspeBurenhult2013,,False,^ t b ɨ ʔ $,default,t b 3 7,3 7 b t
25,Kintaq-1_animal-1,,Kintaq,1_animal,ʔay,ʔay,ʔ a j,,DunnKruspeBurenhult2013,,False,^ ʔ a y $,default,7 a y,7 a y
26,Kintaq-2_back-1,,Kintaq,2_back,kyɔʔ,kyɔʔ,k j ɔ ʔ,,DunnKruspeBurenhult2013,,False,^ k y ɔ ʔ $,default,k y o 7,7 k o y
27,Kintaq-3_bad-1,,Kintaq,3_bad,jahat,jahat,j a h a t,,DunnKruspeBurenhult2013,,True,^ j a h a t $,default,y a h a t,a h t y
28,Kintaq-4_belly-1,,Kintaq,4_belly,cɨŋ,cɨŋ,c ɨ ŋ,,DunnKruspeBurenhult2013,,False,^ c ɨ ŋ $,default,T 3 N,3 N T
29,Kintaq-5_big-1,,Kintaq,5_big,tbɨʔ,tbɨʔ,t b ɨ ʔ,,DunnKruspeBurenhult2013,,False,^ t b ɨ ʔ $,default,t b 3 7,3 7 b t
30,Jahai_Banun-1_animal-1,,Jahai_Banun,1_animal,ʔay,ʔay,ʔ a j,,DunnKruspeBurenhult2013,,False,^ ʔ a y $,default,7 a y,7 a y
31,Jahai_Banun-2_back-1,,Jahai_Banun,2_back,krɔʔ,krɔʔ,k r ɔ ʔ,,DunnKruspeBurenhult2013,,False,^ k r ɔ ʔ $,default,k r o 7,7 k o r
32,Jahai_Banun-3_bad-1,,Jahai_Banun,3_bad,laʔɨs,laʔɨs,l a ʔ ɨ s,,DunnKruspeBurenhult2013,,False,^ l a ʔ ɨ s $,default,l a 7 3 s,3 7 a l s
33,Jahai_Banun-4_belly-1,,Jahai_Banun,4_belly,ʔɛc,ʔɛc,ʔ ɛ c,,DunnKruspeBurenhult2013,,False,^ ʔ ɛ c $,default,7 E T,7 E T
34,Jahai_Banun-5_big-1,,Jahai_Banun,5_big,bəw,bəw,b ə w,,DunnKruspeBurenhult2013,,False,^ b ə w $,default,b 3 w,3 b w
35,Jahai_Rual-1_animal-1,,Jahai_Rual,1_animal,paŋen,paŋen,p a ŋ e n,,DunnKruspeBurenhult2013,,False,^ p a ŋ e n $,default,p a N e n,N a e n p
36,Jahai_Rual-2_back-1,,Jahai_Rual,2_back,krŋkɨŋ,krŋkɨŋ,k r ŋ k ɨ ŋ,,DunnKruspeBurenhult2013,,False,^ k r ŋ k ɨ ŋ $,default,k r N k 3 N,3 N k r
37,Jahai_Rual-3_bad-1,,Jahai_Rual,3_bad,jahat,jahat,j a h a t,,DunnKruspeBurenhult2013,,True,^ j a h a t $,default,y a h a t,a h t y
38,Jahai_Rual-4_belly-1,,Jahai_Rual,4_belly,ʔɛc,ʔɛc,ʔ ɛ c,,DunnKruspeBurenhult2013,,False,^ ʔ ɛ c $,default,7 E T,7 E T
39,Jahai_Rual-5_big-1,,Jahai_Rual,5_big,bəw,bəw,b ə w,,DunnKruspeBurenhult2013,,False,^ b ə w $,default,b 3 w,3 b w
40,Menriq_Lah-1_animal-1,,Menriq_Lah,1_animal,ʔay,ʔay,ʔ a j,,DunnKruspeBurenhult2013,,False,^ ʔ a y $,default,7 a y,7 a y
41,Menriq_Lah-2_back-1,,Menriq_Lah,2_back,krɔʔ,krɔʔ,k r ɔ ʔ,,DunnKruspeBurenhult2013,,False,^ k r ɔ ʔ $,default,k r o 7,7 k o r
42,Menriq_Lah-3_bad-1,,Menriq_Lah,3_bad,jbec,jbec,j b e c,,DunnKruspeBurenhult2013,,False,^ j b e c $,default,y b e T,T b e y
43,Menriq_Lah-4_belly-1,,Menriq_Lah,4_belly,kɨt,kɨt,k ɨ t,,DunnKruspeBurenhult2013,,False,^ k ɨ t $,default,k 3 t,3 k t
44,Menriq_Lah-5_big-1,,Menriq_Lah,5_big,bəw,bəw,b ə w,,DunnKruspeBurenhult2013,,False,^ b ə w $,default,b 3 w,3 b w
45,Menriq_Rual-1_animal-1,,Menriq_Rual,1_animal,ʔay,ʔay,ʔ a j,,DunnKruspeBurenhult2013,,False,^ ʔ a y $,default,7 a y,7 a y
46,Menriq_Rual-2_back-1,,Menriq_Rual,2_back,krɔʔ,krɔʔ,k r ɔ ʔ,,DunnKruspeBurenhult2013,,False,^ k r ɔ ʔ $,default,k r o 7,7 k o r
47,Menriq_Rual-3_bad-1,,Menriq_Rual,3_bad,jahat,jahat,j a h a t,,DunnKruspeBurenhult2013,,True,^ j a h a t $,default,y a h a t,a h t y
48,Menriq_Rual-4_belly-1,,Menriq_Rual,4_belly,cɨŋ,cɨŋ,c ɨ ŋ,,DunnKruspeBurenhult2013,,False,^ c ɨ ŋ $,default,T 3 N,3 N T
49,Menriq_Rual-5_big-1,,Menriq_Rual,5_big,bəw,bəw,b ə w,,DunnKruspeBurenhult2013,,False,^ b ə w $,default,b 3 w,3 b w
50,Batek_Teh_Taku-1_animal-1,,Batek_Teh_Taku,1_animal,ʔay,ʔay,ʔ a j,,DunnKruspeBurenhult2013,,False,^ ʔ a y $,default,7 a y,7 a y
51,Batek_Teh_Taku-2_back-1,,Batek_Teh_Taku,2_back,krəʔ,krəʔ,k r ə ʔ,,DunnKruspeBurenhult2013,,False,^ k r ə ʔ $,default,k r 3 7,3 7 k r
52,Batek_Teh_Taku-3_bad-1,,Batek_Teh_Taku,3_bad,jahat,jahat,j a h a t,,DunnKruspeBurenhult2013,,True,^ j a h a t $,default,y a h a t,a h t y
53,Batek_Teh_Taku-4_belly-1,,Batek_Teh_Taku,4_belly,kɨt,kɨt,k ɨ t,,DunnKruspeBurenhult2013,,False,^ k ɨ t $,default,k 3 t,3 k t
54,Batek_Teh_Taku-5_big-1,,Batek_Teh_Taku,5_big,bəw,bəw,b ə w,,DunnKruspeBurenhult2013,,False,^ b ə w $,default,b 3 w,3 b w
55,Batek_Teh_Lebir-1_animal-1,,Batek_Teh_Lebir,1_animal,ʔay,ʔay,ʔ a j,,DunnKruspeBurenhult2013,,False,^ ʔ a y $,default,7 a y,7 a y
56,Batek_Teh_Lebir-2_back-1,,Batek_Teh_Lebir,2_back,krəʔ,krəʔ,k r ə ʔ,,DunnKruspeBurenhult2013,,False,^ k r ə ʔ $,default,k r 3 7,3 7 k r
57,Batek_Teh_Lebir-3_bad-1,,Batek_Teh_Lebir,3_bad,jbic,jbic,j b i c,,DunnKruspeBurenhult2013,,False,^ j b i c $,default,y b i T,T b i y
58,Batek_Teh_Lebir-4_belly-1,,Batek_Teh_Lebir,4_belly,kɨt,kɨt,k ɨ t,,DunnKruspeBurenhult2013,,False,^ k ɨ t $,default,k 3 t,3 k t
59,Batek_Teh_Lebir-5_big-1,,Batek_Teh_Lebir,5_big,mnaʔ,mnaʔ,m n a ʔ,,DunnKruspeBurenhult2013,,False,^ m n a ʔ $,default,m n a 7,7 a m n
60,Batek_Teq-3_bad-1,,Batek_Teq,3_bad,jbec,jbec,j b e c,,DunnKruspeBurenhult2013,,False,^ j b e c $,default,y b e T,T b e y
61,Batek_Teq-4_belly-1,,Batek_Teq,4_belly,cəŋ,cəŋ,c ə ŋ,,DunnKruspeBurenhult2013,,False,^ c ə ŋ $,default,T 3 N,3 N T
62,Batek_Teq-5_big-1,,Batek_Teq,5_big,bɘw,bɘw,b ɘ w,,DunnKruspeBurenhult2013,,False,^ b ɘ w $,default,b 3 w,3 b w
63,Batek_Deq_Terengganu-2_back-1,,Batek_Deq_Terengganu,2_back,kəɣɔʔ,kəɣɔʔ,k ə ɣ ɔ ʔ,,DunnKruspeBurenhult2013,,False,^ k ə ɣ ɔ ʔ $,default,k 3 x o 7,3 7 k o x
64,Batek_Deq_Terengganu-3_bad-1,,Batek_Deq_Terengganu,3_bad,jabec,jabec,j a b e c,,DunnKruspeBurenhult2013,,False,^ j a b e c $,default,y a b e T,T a b e y
65,Batek_Deq_Terengganu-4_belly-1,,Batek_Deq_Terengganu,4_belly,cəŋ,cəŋ,c ə ŋ,,DunnKruspeBurenhult2013,,False,^ c ə ŋ $,default,T 3 N,3 N T
66,Batek_Deq_Terengganu-5_big-1,,Batek_Deq_Terengganu,5_big,bəw,bəw,b ə w,,DunnKruspeBurenhult2013,,False,^ b ə w $,default,b 3 w,3 b w
67,Batek_Deq_Koh-1_animal-1,,Batek_Deq_Koh,1_animal,ʔay,ʔay,ʔ a j,,DunnKruspeBurenhult2013,,False,^ ʔ a y $,default,7 a y,7 a y
