,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,english-2_all-1,,english,2_all,ɔ:l,ɔː.l,ɔː l,,Dunn2012,,False,^ ɔː . l $,default,o l,l o
1,german-2_all-1,,german,2_all,'alə,a.l.ə,a l ə,,Dunn2012,,False,^ a . l . ə $,default,a l 3,3 a l
2,armenianmod-2_all-1,,armenianmod,2_all,boˈloɾ,b.o.l.o.ɾ,b o l o ɾ,,Dunn2012,,False,^ b . o . l . o . ɾ $,default,b o l o r,b l o r
3,greekmod-2_all-1,,greekmod,2_all,ˈo̞lo̞s,o̞.l.o̞.s,o̞ l o̞ s,,Dunn2012,,False,^ o̞ . l . o̞ . s $,default,o l o s,l o s
4,italian-2_all-1,,italian,2_all,'tutto,t.u.tː.o,t u tː o,,Dunn2012,,False,^ t . u . tː . o $,default,t u t o,o t u
5,marathi-2_all-1,,marathi,2_all,"'səɾwə, 'səgɭə",s.ə.ɾ.w.ə,s ə ɾ w ə,,Dunn2012,,False,^ s . ə . ɾ . w . ə $,default,s 3 r w 3,3 r s w
6,danish-2_all-1,,danish,2_all,ɛl,ɛ.l,ɛ l,,Dunn2012,,False,^ ɛ . l $,default,E l,E l
7,portuguesest-2_all-1,,portuguesest,2_all,ˈtoðu,t.o.ð.u,t o ð u,,Dunn2012,,False,^ t . o . ð . u $,default,t o 8 u,8 o t u
8,french-2_all-1,,french,2_all,tu,t.u,t u,,Dunn2012,,False,^ t . u $,default,t u,t u
9,russian-2_all-1,,russian,2_all,vsʲo,v.sʲ.o,v sʲ o,,Dunn2012,,False,^ v . sʲ . o $,default,v sy~ o,o sy~ v
10,spanish-2_all-1,,spanish,2_all,'toðo,t.o.ð.o,t o ð o,,Dunn2012,,False,^ t . o . ð . o $,default,t o 8 o,8 o t
11,swedish-2_all-1,,swedish,2_all,ˈala,a.l.a,a l a,,Dunn2012,,False,^ a . l . a $,default,a l a,a l
12,bihari-2_all-1,,bihari,2_all,səb,s.ə.b,s ə b,,Dunn2012,,False,^ s . ə . b $,default,s 3 b,3 b s
13,oriya-2_all-1,,oriya,2_all,sɔbɔ,s.ɔ.b.ɔ,s ɔ b ɔ,,Dunn2012,,False,^ s . ɔ . b . ɔ $,default,s o b o,b o s
14,dutchlist-2_all-1,,dutchlist,2_all,'ɑləs,ɑ.l.ə.s,ɑ l ə s,,Dunn2012,,False,^ ɑ . l . ə . s $,default,o l 3 s,3 l o s
15,czech-2_all-1,,czech,2_all,fʃɪxɲɪ,f.ʃ.ɪ.x.ɲ.ɪ,f ʃ ɪ x ɲ ɪ,,Dunn2012,,False,^ f . ʃ . ɪ . x . ɲ . ɪ $,default,f S i x 5 i,5 S f i x
16,bretonst-2_all-1,,bretonst,2_all,ɔl,ɔ.l,ɔ l,,Dunn2012,,False,^ ɔ . l $,default,o l,l o
17,catalan-2_all-1,,catalan,2_all,tot,t.o.t,t o t,,Dunn2012,,False,^ t . o . t $,default,t o t,o t
18,urdu-2_all-1,,urdu,2_all,səb,s.ə.b,s ə b,,Dunn2012,,False,^ s . ə . b $,default,s 3 b,3 b s
19,polish-2_all-1,,polish,2_all,ˈkaʒdɨ,k.a.ʒ.d.ɨ,k a ʒ d ɨ,,Dunn2012,,False,^ k . a . ʒ . d . ɨ $,default,k a Z d 3,3 Z a d k
20,armenianmod-3_and-1,,armenianmod,3_and,jɛv,j.ɛ.v,j ɛ v,,Dunn2012,,False,^ j . ɛ . v $,default,y E v,E v y
21,bretonst-3_and-1,,bretonst,3_and,a,a,a,,Dunn2012,,False,^ a $,default,a,a
22,catalan-3_and-1,,catalan,3_and,i,i,i,,Dunn2012,,False,^ i $,default,i,i
23,czech-3_and-1,,czech,3_and,a,a,a,,Dunn2012,,False,^ a $,default,a,a
24,danish-3_and-1,,danish,3_and,"ɒw, ʌ",ɒ.w,ɒ w,,Dunn2012,,False,^ ɒ . w $,default,o w,o w
25,dutchlist-3_and-1,,dutchlist,3_and,ɛn,ɛ.n,ɛ n,,Dunn2012,,False,^ ɛ . n $,default,E n,E n
26,english-3_and-1,,english,3_and,ænd,æ.n.d,æ n d,,Dunn2012,,False,^ æ . n . d $,default,E n d,E d n
27,french-3_and-1,,french,3_and,e,e,e,,Dunn2012,,False,^ e $,default,e,e
28,german-3_and-1,,german,3_and,ʊnt,ʊ.n.t,ʊ n t,,Dunn2012,,False,^ ʊ . n . t $,default,u n t,n t u
29,greekmod-3_and-1,,greekmod,3_and,"ce̞, c(i)",c.e̞,c e̞,,Dunn2012,,False,^ c . e̞ $,default,T e,T e
30,italian-3_and-1,,italian,3_and,"e, ed",e,e,,Dunn2012,,False,^ e $,default,e,e
31,marathi-3_and-1,,marathi,3_and,'ani,a.n.i,a n i,,Dunn2012,,False,^ a . n . i $,default,a n i,a i n
32,polish-3_and-1,,polish,3_and,i,i,i,,Dunn2012,,False,^ i $,default,i,i
33,portuguesest-3_and-1,,portuguesest,3_and,i,i,i,,Dunn2012,,False,^ i $,default,i,i
34,russian-3_and-1,,russian,3_and,i,i,i,,Dunn2012,,False,^ i $,default,i,i
35,spanish-3_and-1,,spanish,3_and,i,i,i,,Dunn2012,,False,^ i $,default,i,i
36,swedish-3_and-1,,swedish,3_and,ɔ(kː),ɔ.kː,ɔ kː,,Dunn2012,,False,^ ɔ . kː $,default,o k,k o
37,oriya-3_and-1,,oriya,3_and,o,o,o,,Dunn2012,,False,^ o $,default,o,o
38,bihari-3_and-1,,bihari,3_and,aur,au.r,au r,,Dunn2012,,False,^ au . r $,default,au r,au r
39,urdu-3_and-1,,urdu,3_and,ʔɔɾ,ʔ.ɔ.ɾ,ʔ ɔ ɾ,,Dunn2012,,False,^ ʔ . ɔ . ɾ $,default,7 o r,7 o r
40,armenianmod-4_animal-1,,armenianmod,4_animal,kɛntʰɑˈni,k.ɛ.n.tʰ.ɑ.n.i,k ɛ n tʰ ɑ n i,,Dunn2012,,False,^ k . ɛ . n . tʰ . ɑ . n . i $,default,k E n th~ o n i,E i k n o th~
41,bretonst-4_animal-1,,bretonst,4_animal,ɑ̃ˈneval,ɑ̃.n.e.v.a.l,ɑ̃ n e v a l,,Dunn2012,,False,^ ɑ̃ . n . e . v . a . l $,default,o* n e v a l,a e l n o* v
42,catalan-4_animal-1,,catalan,4_animal,əni’mal,ə.n.i.m.a.l,ə n i m a l,,Dunn2012,,False,^ ə . n . i . m . a . l $,default,3 n i m a l,3 a i l m n
43,czech-4_animal-1,,czech,4_animal,zviːr̝ɛ,z.v.iː.r̝.ɛ,z v iː r̝ ɛ,,Dunn2012,,False,^ z . v . iː . r̝ . ɛ $,default,z v i r E,E i r v z
44,danish-4_animal-1,,danish,4_animal,"ˈd̥yːʌ, 'd̥yɐ̯",d̥.yːʌ,d̥/d yː ʌ,,Dunn2012,,False,^ d̥ . yːʌ $,default,d d i o,d i o
45,dutchlist-4_animal-1,,dutchlist,4_animal,dir,d.i.r,d i r,,Dunn2012,,False,^ d . i . r $,default,d i r,d i r
46,english-4_animal-1,,english,4_animal,'ænɪməl,æ.n.ɪ.m.ə.l,æ n ɪ m ə l,,Dunn2012,,False,^ æ . n . ɪ . m . ə . l $,default,E n i m 3 l,3 E i l m n
47,french-4_animal-1,,french,4_animal,animal,a.n.i.m.a.l,a n i m a l,,Dunn2012,,False,^ a . n . i . m . a . l $,default,a n i m a l,a i l m n
48,german-4_animal-1,,german,4_animal,ti:ɐ̯,t.iːɐ̯,t iː ɐ̯,,Dunn2012,,False,^ t . iːɐ̯ $,default,t i a,a i t
49,greekmod-4_animal-1,,greekmod,4_animal,ˈzo̞ˌo̞,z.o̞o̞,z o̞ː,,Dunn2012,,False,^ z . o̞o̞ $,default,z o,o z
50,italian-4_animal-1,,italian,4_animal,ani'male,a.n.i.m.a.l.e,a n i m a l e,,Dunn2012,,False,^ a . n . i . m . a . l . e $,default,a n i m a l e,a e i l m n
51,polish-4_animal-1,,polish,4_animal,ˈzvʲɛʒɛ̃,z.vʲ.ɛ.ʒ.ɛ̃,z vʲ ɛ ʒ ɛ̃,,Dunn2012,,False,^ z . vʲ . ɛ . ʒ . ɛ̃ $,default,z vy~ E Z E*,E E* Z vy~ z
52,portuguesest-4_animal-1,,portuguesest,4_animal,ɐniˈmaɫ,ɐ.n.i.m.a.ɫ,ɐ n i m a ɫ,,Dunn2012,,False,^ ɐ . n . i . m . a . ɫ $,default,a n i m a l,a i l m n
53,russian-4_animal-1,,russian,4_animal,ʒɨ'votnoe,ʒ.ɨ.v.o.t.n.oe,ʒ ɨ v o t n oe,,Dunn2012,,False,^ ʒ . ɨ . v . o . t . n . oe $,default,Z 3 v o t n oe,3 Z n o oe t v
54,spanish-4_animal-1,,spanish,4_animal,ani'mal,a.n.i.m.a.l,a n i m a l,,Dunn2012,,False,^ a . n . i . m . a . l $,default,a n i m a l,a i l m n
55,swedish-4_animal-1,,swedish,4_animal,jʉːr,j.ʉː.r,j ʉː r,,Dunn2012,,False,^ j . ʉː . r $,default,y 3 r,3 r y
56,oriya-4_animal-1,,oriya,4_animal,praṇi,p.r.a.ɳ.i,p r a ɳ i,,Dunn2012,,False,^ p . r . a . ɳ . i $,default,p r a n i,a i n p r
57,oriya-4_animal-2,,oriya,4_animal,pɔsu,p.ɔ.s.u,p ɔ s u,,Dunn2012,,False,^ p . ɔ . s . u $,default,p o s u,o p s u
58,bihari-4_animal-1,,bihari,4_animal,janbər,j.a.n.b.ə.r,j a n b ə r,,Dunn2012,,False,^ j . a . n . b . ə . r $,default,y a n b 3 r,3 a b n r y
59,oriya-4_animal-3,,oriya,4_animal,ǰɔntu,ǰ.ɔ.n.t.u,ǰ/dʒ ɔ n t u,,Dunn2012,,False,^ ǰ . ɔ . n . t . u $,default,y dZ o n t u,dZ n o t u y
60,urdu-4_animal-1,,urdu,4_animal,ʤɑnwəɾ,ʤ.ɑ.n.w.ə.ɾ,dʒ ɑ n w ə ɾ,,Dunn2012,,False,^ ʤ . ɑ . n . w . ə . ɾ $,default,dZ o n w 3 r,3 dZ n o r w
61,bretonst-4_animal-2,,bretonst,4_animal,lo.ɛ̃n,l.o.ɛ̃.n,l o ɛ̃ n,,Dunn2012,,False,^ l . o . ɛ̃ . n $,default,l o E* n,E* l n o
62,marathi-4_animal-1,,marathi,4_animal,dzən'awəɾ,d.z.ə.n.a.w.ə.ɾ,d z ə n a w ə ɾ,,Dunn2012,,False,^ d . z . ə . n . a . w . ə . ɾ $,default,d z 3 n a w 3 r,3 a d n r w z
63,armenianmod-5_ashes-1,,armenianmod,5_ashes,moˈχiɾ,m.o.χ.i.ɾ,m o χ i ɾ,,Dunn2012,,False,^ m . o . χ . i . ɾ $,default,m o X i r,X i m o r
64,bretonst-5_ashes-1,,bretonst,5_ashes,'ly:dy,l.yː.d.y,l yː d y,,Dunn2012,,False,^ l . yː . d . y $,default,l i d i,d i l
65,catalan-5_ashes-1,,catalan,5_ashes,'sɛndrə,s.ɛ.n.d.r.ə,s ɛ n d r ə,,Dunn2012,,False,^ s . ɛ . n . d . r . ə $,default,s E n d r 3,3 E d n r s
66,czech-5_ashes-1,,czech,5_ashes,popɛl,p.o.p.ɛ.l,p o p ɛ l,,Dunn2012,,False,^ p . o . p . ɛ . l $,default,p o p E l,E l o p
67,danish-5_ashes-1,,danish,5_ashes,ˈasg̥ʰə,a.s.g̥ʰ.ə,a s g̥ʰ ə,,Dunn2012,,False,^ a . s . g̥ʰ . ə $,default,a s gh~ 3,3 a gh~ s
68,dutchlist-5_ashes-1,,dutchlist,5_ashes,ɑs,ɑ.s,ɑ s,,Dunn2012,,False,^ ɑ . s $,default,o s,o s
69,english-5_ashes-1,,english,5_ashes,æʃɪz,æ.ʃ.ɪ.z,æ ʃ ɪ z,,Dunn2012,,False,^ æ . ʃ . ɪ . z $,default,E S i z,E S i z
70,french-5_ashes-1,,french,5_ashes,sɑ̃dʀ,s.ɑ̃.d.ʀ,s ɑ̃ d ʀ,,Dunn2012,,False,^ s . ɑ̃ . d . ʀ $,default,s o* d r,d o* r s
71,german-5_ashes-1,,german,5_ashes,'aʃə,a.ʃ.ə,a ʃ ə,,Dunn2012,,False,^ a . ʃ . ə $,default,a S 3,3 S a
72,greekmod-5_ashes-1,,greekmod,5_ashes,ˈstaxti,s.t.a.x.t.i,s t a x t i,,Dunn2012,,False,^ s . t . a . x . t . i $,default,s t a x t i,a i s t x
73,italian-5_ashes-1,,italian,5_ashes,'tʃenere,ʧ.e.n.e.r.e,tʃ e n e r e,,Dunn2012,,False,^ ʧ . e . n . e . r . e $,default,tS e n e r e,e n r tS
74,marathi-5_ashes-1,,marathi,5_ashes,ɾakʰ,ɾ.a.kʰ,ɾ a kʰ,,Dunn2012,,False,^ ɾ . a . kʰ $,default,r a kh~,a kh~ r
75,polish-5_ashes-1,,polish,5_ashes,ˈpɔpʲuw,p.ɔ.pʲ.u.w,p ɔ pʲ u w,,Dunn2012,,False,^ p . ɔ . pʲ . u . w $,default,p o py~ u w,o p py~ u w
76,portuguesest-5_ashes-1,,portuguesest,5_ashes,ˈsĩzɐʃ,s.ĩ.z.ɐ.ʃ,s ĩ z ɐ ʃ,,Dunn2012,,False,^ s . ĩ . z . ɐ . ʃ $,default,s i* z a S,S a i* s z
77,russian-5_ashes-1,,russian,5_ashes,zo'la,z.o.l.a,z o l a,,Dunn2012,,False,^ z . o . l . a $,default,z o l a,a l o z
78,spanish-5_ashes-1,,spanish,5_ashes,θe'niθas,θ.e.n.i.θ.a.s,θ e n i θ a s,,Dunn2012,,False,^ θ . e . n . i . θ . a . s $,default,8 e n i 8 a s,8 a e i n s
79,swedish-5_ashes-1,,swedish,5_ashes,stɔft,s.t.ɔ.f.t,s t ɔ f t,,Dunn2012,,False,^ s . t . ɔ . f . t $,default,s t o f t,f o s t
80,bihari-5_ashes-1,,bihari,5_ashes,chaur,cʰ.au.r,cʰ au r,,Dunn2012,,False,^ cʰ . au . r $,default,Th~ au r,Th~ au r
81,oriya-5_ashes-1,,oriya,5_ashes,bhɔsmoɔ,bʱ.ɔ.s.m.oɔ,bʱ ɔ s m oɔ,,Dunn2012,,False,^ bʱ . ɔ . s . m . oɔ $,default,b o s m oo,b m o oo s
82,oriya-5_ashes-2,,oriya,5_ashes,pãũsɔ,p.aːũ.s.ɔ,p aː ũ s ɔ,,Dunn2012,,False,^ p . aːũ . s . ɔ $,default,p a u* s o,a o p s u*
83,urdu-5_ashes-1,,urdu,5_ashes,ɾɑkʰ,ɾ.ɑ.kʰ,ɾ ɑ kʰ,,Dunn2012,,False,^ ɾ . ɑ . kʰ $,default,r o kh~,kh~ o r
84,swedish-5_ashes-2,,swedish,5_ashes,'aska,a.s.k.a,a s k a,,Dunn2012,,False,^ a . s . k . a $,default,a s k a,a k s
85,marathi-5_ashes-2,,marathi,5_ashes,'bʱəsmə,bʱ.ə.s.m.ə,bʱ ə s m ə,,Dunn2012,,False,^ bʱ . ə . s . m . ə $,default,b 3 s m 3,3 b m s
86,catalan-6_at-1,,catalan,6_at,a,a,a,,Dunn2012,,False,^ a $,default,a,a
87,czech-6_at-1,,czech,6_at,ʊ,ʊ,ʊ,,Dunn2012,,False,^ ʊ $,default,u,u
88,danish-6_at-1,,danish,6_at,veð,v.e.ð,v e ð,,Dunn2012,,False,^ v . e . ð $,default,v e 8,8 e v
89,dutchlist-6_at-1,,dutchlist,6_at,tə,t.ə,t ə,,Dunn2012,,False,^ t . ə $,default,t 3,3 t
90,english-6_at-1,,english,6_at,æt,æ.t,æ t,,Dunn2012,,False,^ æ . t $,default,E t,E t
91,french-6_at-1,,french,6_at,a,a,a,,Dunn2012,,False,^ a $,default,a,a
92,german-6_at-1,,german,6_at,an,a.n,a n,,Dunn2012,,False,^ a . n $,default,a n,a n
93,greekmod-6_at-1,,greekmod,6_at,se̞,s.e̞,s e̞,,Dunn2012,,False,^ s . e̞ $,default,s e,e s
94,italian-6_at-1,,italian,6_at,"a, ad",a,a,,Dunn2012,,False,^ a $,default,a,a
95,marathi-6_at-1,,marathi,6_at,"t, tʰe",t,t,,Dunn2012,,False,^ t $,default,t,t
96,polish-6_at-1,,polish,6_at,v,v,v,,Dunn2012,,False,^ v $,default,v,v
97,portuguesest-6_at-1,,portuguesest,6_at,ɐ̃j,ɐ̃.j,ɐ̃ j,,Dunn2012,,False,^ ɐ̃ . j $,default,a* y,a* y
98,russian-6_at-1,,russian,6_at,v,v,v,,Dunn2012,,False,^ v $,default,v,v
99,spanish-6_at-1,,spanish,6_at,a,a,a,,Dunn2012,,False,^ a $,default,a,a
100,swedish-6_at-1,,swedish,6_at,viːd,v.iː.d,v iː d,,Dunn2012,,False,^ v . iː . d $,default,v i d,d i v
101,bretonst-6_at-1,,bretonst,6_at,"e, ẽn",e,e,,Dunn2012,,False,^ e $,default,e,e
