,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Amharic-1_added-1,,Amharic,1_added,dǝmmǝrǝ1,dǝmmǝrǝ,d ə mː ə r ə,,Feleke2021,1,,^d ǝ mm ǝ r ǝ$,default,d 3 m 3 r 3,3 d m r
1,Amharic-2_all-1,,Amharic,2_all,hullum1,hullum,h u lː u m,,Feleke2021,2,,^h u ll u m$,default,h u l u m,h l m u
2,Amharic-3_arm-1,,Amharic,3_arm,kɨnd1,kɨnd,k ɨ n d,,Feleke2021,3,,^k ɨ n d$,default,k 3 n d,3 d k n
3,Amharic-4_back-1,,Amharic,4_back,ğǝrba1,ğǝrba,dʒ ə r b a,,Feleke2021,4,,^ğ ǝ r b a$,default,dZ 3 r b a,3 a b dZ r
4,Amharic-5_barley-1,,Amharic,5_barley,gǝbs1,gǝbs,g ə b s,,Feleke2021,5,,^g ǝ bs$,default,g 3 b s,3 b g s
5,Amharic-6_beautiful-1,,Amharic,6_beautiful,mǝlkam1,mǝlkam,m ə l k a m,,Feleke2021,6,,^m ǝ l k a m$,default,m 3 l k a m,3 a k l m
6,Amharic-7_bed-1,,Amharic,7_bed,ʔalga1,ʔalga,ʔ a l g a,,Feleke2021,7,,^ʔ a l g a$,default,7 a l g a,7 a g l
7,Amharic-8_belt-1,,Amharic,8_belt,ќǝbǝtto1,ќǝbǝtto,ќ/kʼ ə b ə tː o,,Feleke2021,8,,^ќ ǝ b ǝ tt o$,default,"k"" 3 b 3 t o","3 b k"" o t"
8,Amharic-9_big-1,,Amharic,9_big,tɨllɨќ1,tɨllɨќ,t ɨ lː ɨ kʼ,,Feleke2021,9,,^t ɨ ll ɨ ќ$,default,"t 3 l 3 k""","3 k"" l t"
9,Amharic-10_black-1,,Amharic,10_black,ťɨќur1,ťɨќur,ť/tʼ ɨ ќ/kʼ u r,,Feleke2021,10,,^ť ɨ ќ u r$,default,"t t"" 3 k"" u r","3 k"" r t t"" u"
10,Argobba-1_added-1,,Argobba,1_added,ćemmǝra1,ćemmǝra,ć/tʃʼ e mː ə r a,,Feleke2021,1,,^ć e mm ǝ r a$,default,"T tS"" e m 3 r a","3 T a e m r tS"""
11,Argobba-2_all-1,,Argobba,2_all,diyyum1,diyyum,d i yy/jː u m,,Feleke2021,2,,^d iyyu m$,default,d i ii y u m,d i ii m u y
12,Argobba-3_arm-1,,Argobba,3_arm,kɨrra1,kɨrra,k ɨ rː a,,Feleke2021,3,,^k ɨ rr a$,default,k 3 r a,3 a k r
13,Argobba-4_back-1,,Argobba,4_back,ğeed1,ğeed,dʒ eː d,,Feleke2021,4,,^ğ ee d$,default,dZ e d,d dZ e
14,Argobba-5_barley-1,,Argobba,5_barley,masɨla2,masɨla,m a s ɨ l a,,Feleke2021,11,,^m a s ɨ l a$,default,m a s 3 l a,3 a l m s
15,Argobba-6_beautiful-1,,Argobba,6_beautiful,ťɨru2,ťɨru,ť/tʼ ɨ r u,,Feleke2021,12,,^ť ɨ r u$,default,"t t"" 3 r u","3 r t t"" u"
16,Argobba-7_bed-1,,Argobba,7_bed,ʔalga1,ʔalga,ʔ a l g a,,Feleke2021,7,,^ʔ a l g a$,default,7 a l g a,7 a g l
17,Argobba-8_belt-1,,Argobba,8_belt,mǝkkačča2,mǝkkačča,m ə kː a tʃː a,,Feleke2021,13,,^m ǝ kk a čč a$,default,m 3 k a tS a,3 a k m tS
18,Argobba-9_big-1,,Argobba,9_big,laxim2,laxim,l a x i m,,Feleke2021,14,,^l a x i m$,default,l a x i m,a i l m x
19,Argobba-10_black-1,,Argobba,10_black,ťɨќur1,ťɨќur,ť/tʼ ɨ ќ/kʼ u r,,Feleke2021,10,,^ť ɨ ќ u r$,default,"t t"" 3 k"" u r","3 k"" r t t"" u"
20,Chaha-1_added-1,,Chaha,1_added,dǝpǝrǝm1,dǝpǝrǝm,d ə p ə r ə m,,Feleke2021,1,,^d ǝ p ǝ r ǝ m$,default,d 3 p 3 r 3 m,3 d m p r
21,Chaha-2_all-1,,Chaha,2_all,ʔɨnnɨm2,ʔɨnnɨm,ʔ ɨ nː ɨ m,,Feleke2021,15,,^ʔ ɨ nn ɨ m$,default,7 3 n 3 m,3 7 m n
22,Chaha-3_arm-1,,Chaha,3_arm,ʔagat2,ʔagat,ʔ a g a t,,Feleke2021,16,,^ʔ a g a t$,default,7 a g a t,7 a g t
23,Chaha-4_back-1,,Chaha,4_back,gyišǝ1,gyišǝ,g y/j i ʃ ə,,Feleke2021,4,,^g yi š ǝ$,default,g i y i S 3,3 S g i y
24,Chaha-5_barley-1,,Chaha,5_barley,ʔǝxɨr3,ʔǝxɨr,ʔ ə x ɨ r,,Feleke2021,17,,^ʔ ǝ x ɨ r$,default,7 3 x 3 r,3 7 r x
25,Chaha-6_beautiful-1,,Chaha,6_beautiful,mǝrkama1,mǝrkama,m ə r k a m a,,Feleke2021,6,,^m ǝ r k a m a$,default,m 3 r k a m a,3 a k m r
26,Chaha-7_bed-1,,Chaha,7_bed,ʔalga1,ʔalga,ʔ a l g a,,Feleke2021,7,,^ʔ a l g a$,default,7 a l g a,7 a g l
27,Chaha-8_belt-1,,Chaha,8_belt,mǝtagǝča2,mǝtagǝča,m ə t a g ə tʃ a,,Feleke2021,13,,^m ǝ t a g ǝ č a$,default,m 3 t a g 3 tS a,3 a g m t tS
28,Chaha-9_big-1,,Chaha,9_big,nɨќiyǝ3,nɨќiyǝ,n ɨ ќ/kʼ i y/j ə,,Feleke2021,18,,^n ɨ ќ iyǝ$,default,"n 3 k"" i i y 3","3 i k"" n y"
29,Chaha-10_black-1,,Chaha,10_black,ťɨќur1,ťɨќur,ť/tʼ ɨ ќ/kʼ u r,,Feleke2021,10,,^ť ɨ ќ u r$,default,"t t"" 3 k"" u r","3 k"" r t t"" u"
30,Endegagn-1_added-1,,Endegagn,1_added,dappǝrǝ1,dappǝrǝ,d a pː ə r ə,,Feleke2021,1,,^d a pp ǝ r ǝ$,default,d a p 3 r 3,3 a d p r
31,Endegagn-2_all-1,,Endegagn,2_all,hɨnʔedi2,hɨnʔedi,h ɨ n ʔ e d i,,Feleke2021,15,,^h ɨ n ʔ e d i$,default,h 3 n 7 e d i,3 7 d e h i n
32,Endegagn-3_arm-1,,Endegagn,3_arm,ʔagad2,ʔagad,ʔ a g a d,,Feleke2021,16,,^ʔ a g a d$,default,7 a g a d,7 a d g
33,Endegagn-4_back-1,,Endegagn,4_back,gyišǝ1,gyišǝ,g y/j i ʃ ə,,Feleke2021,4,,^g yi š ǝ$,default,g i y i S 3,3 S g i y
34,Endegagn-5_barley-1,,Endegagn,5_barley,ʔǝhɨr3,ʔǝhɨr,ʔ ə h ɨ r,,Feleke2021,17,,^ʔ ǝ h ɨ r$,default,7 3 h 3 r,3 7 h r
35,Endegagn-6_beautiful-1,,Endegagn,6_beautiful,mǝlkama1,mǝlkama,m ə l k a m a,,Feleke2021,6,,^m ǝ l k a m a$,default,m 3 l k a m a,3 a k l m
36,Endegagn-7_bed-1,,Endegagn,7_bed,ʔanz2,ʔanz,ʔ a n z,,Feleke2021,19,,^ʔ a n z$,default,7 a n z,7 a n z
37,Endegagn-8_belt-1,,Endegagn,8_belt,ќǝbǝtoʔǝ1,ќǝbǝtoʔǝ,ќ/kʼ ə b ə t o ʔ ə,,Feleke2021,8,,^ќ ǝ b ǝ t o ʔ ǝ$,default,"k"" 3 b 3 t o 7 3","3 7 b k"" o t"
38,Endegagn-9_big-1,,Endegagn,9_big,nuʔ3,nuʔ,n u ʔ,,Feleke2021,18,,^n u ʔ$,default,n u 7,7 n u
39,Endegagn-10_black-1,,Endegagn,10_black,gǝmbǝnǝ2,gǝmbǝnǝ,g ə m b ə n ə,,Feleke2021,20,,^g ǝ m b ǝ n ǝ$,default,g 3 m b 3 n 3,3 b g m n
40,Ezha-1_added-1,,Ezha,1_added,dǝbbǝrǝm1,dǝbbǝrǝm,d ə bː ə r ə m,,Feleke2021,1,,^d ǝ bb ǝ r ǝ m$,default,d 3 b 3 r 3 m,3 b d m r
41,Ezha-2_all-1,,Ezha,2_all,ʔɨnnɨm2,ʔɨnnɨm,ʔ ɨ nː ɨ m,,Feleke2021,15,,^ʔ ɨ nn ɨ m$,default,7 3 n 3 m,3 7 m n
42,Ezha-3_arm-1,,Ezha,3_arm,hɨnnǝ1,hɨnnǝ,h ɨ nː ə,,Feleke2021,3,,^h ɨ nn ǝ$,default,h 3 n 3,3 h n
43,Ezha-4_back-1,,Ezha,4_back,gɨnǯǝ1,gɨnǯǝ,g ɨ n ǯ/ʒ ə,,Feleke2021,4,,^g ɨ n ǯ ǝ$,default,g 3 n Z Z 3,3 Z g n
44,Ezha-5_barley-1,,Ezha,5_barley,ʔǝxɨr3,ʔǝxɨr,ʔ ə x ɨ r,,Feleke2021,17,,^ʔ ǝ x ɨ r$,default,7 3 x 3 r,3 7 r x
45,Ezha-6_beautiful-1,,Ezha,6_beautiful,mǝrkamma1,mǝrkamma,m ə r k a mː a,,Feleke2021,6,,^m ǝ r k a mm a$,default,m 3 r k a m a,3 a k m r
