,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Ak-1_i-1,,Ak,1_i,õn,õn,õ n,,Galucio2015,,,^ õ n $,default,o* n,n o*
1,Ar-1_i-1,,Ar,1_i,õõt,õõt,õ/õː t,,Galucio2015,,,^ õõ t $,default,o* o* t,o* t
2,Gv-1_i-1,,Gv,1_i,õõt,õõt,õ/õː t,,Galucio2015,,,^ õõ t $,default,o* o* t,o* t
3,Ju-1_i-1,,Ju,1_i,una,una,u n a,,Galucio2015,,,^ u n a $,default,u n a,a n u
4,Ka-1_i-1,,Ka,1_i,ʔõn,ʔõn,ʔ õ n,,Galucio2015,,,^ ʔ õ n $,default,7 o* n,7 n o*
5,Kt-1_i-1,,Kt,1_i,ĩn,ĩn,ĩ n,,Galucio2015,,,^ ĩ n $,default,i* n,i* n
6,Ku-1_i-1,,Ku,1_i,õn,õn,õ n,,Galucio2015,,,^ õ n $,default,o* n,n o*
7,Ma-1_i-1,,Ma,1_i,õn,õn,õ n,,Galucio2015,,,^ õ n $,default,o* n,n o*
8,Me-1_i-1,,Me,1_i,õn,õn,õ n,,Galucio2015,,,^ õ n $,default,o* n,n o*
9,Mu-1_i-1,,Mu,1_i,ṍn,ṍn,õ n,,Galucio2015,,,^ ṍ n $,default,o* n,n o*
10,Pu-1_i-1,,Pu,1_i,ʔõn,ʔõn,ʔ õ n,,Galucio2015,,,^ ʔ õ n $,default,7 o* n,7 n o*
11,Sa-1_i-1,,Sa,1_i,õõt,õõt,õ/õː t,,Galucio2015,,,^ õõ t $,default,o* o* t,o* t
12,Su-1_i-1,,Su,1_i,ó.ẽn,ó.ẽn,ó/o + ẽ n,,Galucio2015,,,^ ó . ẽ n $,default,o o  e* n, e* n o
13,Tu-1_i-1,,Tu,1_i,õn,õn,õ n,,Galucio2015,,,^ õ n $,default,o* n,n o*
14,Wa-1_i-1,,Wa,1_i,õn,õn,õ n,,Galucio2015,,,^ õ n $,default,o* n,n o*
15,Xi-1_i-1,,Xi,1_i,una,una,u n a,,Galucio2015,,,^ u n a $,default,u n a,a n u
16,Zo-1_i-1,,Zo,1_i,õõt,õõt,õ/õː t,,Galucio2015,,,^ õõ t $,default,o* o* t,o* t
17,Aw-1_i-1,,Aw,1_i,ito,ito,i t o,,Galucio2015,,,^ i t o $,default,i t o,i o t
18,Mw-1_i-1,,Mw,1_i,ujto,ujto,u j t o,,Galucio2015,,,^ u j t o $,default,u y t o,o t u y
19,Pg-1_i-1,,Pg,1_i,ʃe,ʃe,ʃ e,,Galucio2015,,,^ ʃ e $,default,S e,S e
20,Pt-1_i-1,,Pt,1_i,ji(hi),ji,j i,,Galucio2015,,,^ j i $,default,y i,i y
21,Ta-1_i-1,,Ta,1_i,ie,ie,i e,,Galucio2015,,,^ i e $,default,i e,e i
22,Uk-1_i-1,,Uk,1_i,ihẽ,ihẽ,i h ẽ,,Galucio2015,,,^ i h ẽ $,default,i h e*,e* h i
23,Ak-2_you-1,,Ak,2_you,en,en,e n,,Galucio2015,,,^ e n $,default,e n,e n
24,Ar-2_you-1,,Ar,2_you,ẽẽt,ẽẽt,ẽː t,,Galucio2015,,,^ ẽẽ t $,default,e* t,e* t
25,Aw-2_you-1,,Aw,2_you,ʔen,ʔen,ʔ e n,,Galucio2015,,,^ ʔ e n $,default,7 e n,7 e n
