,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,TibetanWritten-969_i-1,,TibetanWritten,969_i,ŋa,ŋa,ŋ a,,Sun1991,,,^ŋ a$,default,N a,N a
1,TibetanLhasa-969_i-1,,TibetanLhasa,969_i,ŋa¹³,ŋa¹³,ŋ a ¹³,,Sun1991,,,^ŋ a ¹³$,default,N a , N a
2,TibetanDege-969_i-1,,TibetanDege,969_i,ŋa¹³,ŋa¹³,ŋ a ¹³,,Sun1991,,,^ŋ a ¹³$,default,N a , N a
3,TibetanXiahe-969_i-1,,TibetanXiahe,969_i,ŋa,ŋa,ŋ a,,Sun1991,,,^ŋ a$,default,N a,N a
4,TibetanZeku-969_i-1,,TibetanZeku,969_i,ŋa,ŋa,ŋ a,,Sun1991,,,^ŋ a$,default,N a,N a
5,MenbaCuona-969_i-1,,MenbaCuona,969_i,ŋe¹³,ŋe¹³,ŋ e ¹³,,Sun1991,,,^ŋ e ¹³$,default,N e , N e
6,MenbaMotuo-969_i-1,,MenbaMotuo,969_i,dʑaŋ,dʑaŋ,dʑ a ŋ,,Sun1991,,,^dʑ a ŋ$,default,dZ a N,N a dZ
7,QiangMawo-969_i-1,,QiangMawo,969_i,qɑ,qɑ,q ɑ,,Sun1991,,,^q ɑ$,default,q o,o q
8,QiangTaoping-969_i-1,,QiangTaoping,969_i,ŋɑ⁵⁵; qɑ⁵⁵,ŋɑ⁵⁵,ŋ ɑ ⁵⁵,,Sun1991,,,^ŋ ɑ ⁵⁵$,default,N o , N o
9,PumiTaoba-969_i-1,,PumiTaoba,969_i,a³⁵,a³⁵,a ³⁵,,Sun1991,,,^a ³⁵$,default,a , a
10,PumiQinghua-969_i-1,,PumiQinghua,969_i,ɛ⁵⁵,ɛ⁵⁵,ɛ ⁵⁵,,Sun1991,,,^ɛ ⁵⁵$,default,E , E
11,rGyalrongSomo-969_i-1,,rGyalrongSomo,969_i,ŋa,ŋa,ŋ a,,Sun1991,,,^ŋ a$,default,N a,N a
12,Ergong-969_i-1,,Ergong,969_i,ŋɛ,ŋɛ,ŋ ɛ,,Sun1991,,,^ŋ ɛ$,default,N E,E N
