,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Mawe-1_all-1,,Mawe,1_all,t o r a n i a,t o r a n i a,t o r a n i a,,11987;464078,,,,,t o r a n i a,a i n o r t
1,Mawe-2_arm-1,,Mawe,2_arm,m o p ɨ,m o p ɨ,m o p ɨ,,11987;464078,,,,,m o p 3,3 m o p
2,Mawe-3_arrow-1,,Mawe,3_arrow,m o r ɨ ʔ a,m o r ɨ ʔ a,m o r ɨ ʔ a,,11987;464078,,,,,m o r 3 7 a,3 7 a m o r
3,Mawe-4_ash-1,,Mawe,4_ash,ɨ w ɨ r u p,ɨ w ɨ r u p,ɨ w ɨ r u p,,11987;464078,,,,,3 w 3 r u p,3 p r u w
4,Mawe-5_axe-1,,Mawe,5_axe,ɨ w ɨ k a p,ɨ w ɨ k a p,ɨ w ɨ k a p,,11987;464078,,,,,3 w 3 k a p,3 a k p w
5,Mawe-6_back-1,,Mawe,6_back,a p e,a p e,a p e,,11987;464078,,,,,a p e,a e p
6,Mawe-7_badevil-1,,Mawe,7_badevil,i n a kʷ a t ʔ i,i n a kʷ a t ʔ i,i n a kʷ a t ʔ i,,11987;464078,,,,,i n a kw~ a t 7 i,7 a i kw~ n t
7,Mawe-8_bamboo-1,,Mawe,8_bamboo,a kʷ a r a,a kʷ a r a,a kʷ a r a,,11987;464078,,,,,a kw~ a r a,a kw~ r
8,Mawe-9_banana-1,,Mawe,9_banana,p a k u a,p a k u a,p a k u a,,11987;464078,,,,,p a k u a,a k p u
9,Mawe-10_basket-1,,Mawe,10_basket,h ɨ t,h ɨ t,h ɨ t,,11987;464078,,,,,h 3 t,3 h t
10,Mawe-11_bat-1,,Mawe,11_bat,h a k i ʔ i,h a k i ʔ i,h a k i ʔ i,,11987;464078,,,,,h a k i 7 i,7 a h i k
11,Mawe-12_bewrong-1,,Mawe,12_bewrong,a p a r a p,a p a r a p,a p a r a p,,11987;464078,,,,,a p a r a p,a p r
12,Mawe-13_beans-1,,Mawe,13_beans,k u m a n a,k u m a n a,k u m a n a,,11987;464078,,,,,k u m a n a,a k m n u
13,Mawe-15_belly-1,,Mawe,15_belly,p ɨ r u m ʔ a,p ɨ r u m ʔ a,p ɨ r u m ʔ a,,11987;464078,,,,,p 3 r u m 7 a,3 7 a m p r u
14,Mawe-16_break-1,,Mawe,16_break,w e j,w e j,w e j,,11987;464078,,,,,w e y,e w y
15,Mawe-17_big-1,,Mawe,17_big,w a t o,w a t o,w a t o,,11987;464078,,,,,w a t o,a o t w
16,Mawe-18_bird-1,,Mawe,18_bird,w ei t a,w ei t a,w ei t a,,11987;464078,,,,,w ei t a,a ei t w
17,Mawe-19_bite-1,,Mawe,19_bite,k a t u ʔ u,k a t u ʔ u,k a t u ʔ u,,11987;464078,,,,,k a t u 7 u,7 a k t u
18,Mawe-20_black-1,,Mawe,20_black,h u n,h u n,h u n,,11987;464078,,,,,h u n,h n u
19,Mawe-21_blow-1,,Mawe,21_blow,p e h u,p e h u,p e h u,,11987;464078,,,,,p e h u,e h p u
20,Mawe-22_bone-1,,Mawe,22_bone,k a ŋ,k a ŋ,k a ŋ,,11987;464078,,,,,k a N,N a k
21,Mawe-23_boy-1,,Mawe,23_boy,k u r u m,k u r u m,k u r u m,,11987;464078,,,,,k u r u m,k m r u
22,Mawe-24_branch-1,,Mawe,24_branch,e ŋ a,e ŋ a,e ŋ a,,11987;464078,,,,,e N a,N a e
23,Mawe-25_breast-1,,Mawe,25_breast,n a m,n a m,n a m,,11987;464078,,,,,n a m,a m n
24,Mawe-26_breathe-1,,Mawe,26_breathe,p ɨ h u,p ɨ h u,p ɨ h u,,11987;464078,,,,,p 3 h u,3 h p u
25,Mawe-27_burnintr-1,,Mawe,27_burnintr,a t i w u k,a t i w u k,a t i w u k,,11987;464078,,,,,a t i w u k,a i k t u w
26,Mawe-28_burntr-1,,Mawe,28_burntr,wu k,wu k,w u k,,11987;464078,,,,,w u k,k u w
27,Mawe-29_bury-1,,Mawe,29_bury,a t i ʔ a s ɨ p,a t i ʔ a s ɨ p,a t i ʔ a s ɨ p,,11987;464078,,,,,a t i 7 a s 3 p,3 7 a i p s t
28,Mawe-30_bush-1,,Mawe,30_bush,ŋ g a ʔ a p ɨ,ŋ g a ʔ a p ɨ,ŋ g a ʔ a p ɨ,,11987;464078,,,,,N g a 7 a p 3,3 7 N a g p
29,Mawe-31_butterfly-1,,Mawe,31_butterfly,m o r o p e ʔ i,m o r o p e ʔ i,m o r o p e ʔ i,,11987;464078,,,,,m o r o p e 7 i,7 e i m o p r
30,Mawe-32_cair-1,,Mawe,32_cair,ʔ a t,ʔ a t,ʔ a t,,11987;464078,,,,,7 a t,7 a t
31,Mawe-33_canoe-1,,Mawe,33_canoe,ja r a,ja r a,j a r a,,11987;464078,,,,,y a r a,a r y
32,Mawe-35_cloud-1,,Mawe,35_cloud,ɨ w ɨ h i ŋ,ɨ w ɨ h i ŋ,ɨ w ɨ h i ŋ,,11987;464078,,,,,3 w 3 h i N,3 N h i w
33,Mawe-36_coati-1,,Mawe,36_coati,m u s ĩ,m u s ĩ,m u s ĩ,,11987;464078,,,,,m u s i*,i* m s u
34,Mawe-37_come-1,,Mawe,37_come,o t,o t,o t,,11987;464078,,,,,o t,o t
35,Mawe-38_comb-1,,Mawe,38_comb,k ɨ w a,k ɨ w a,k ɨ w a,,11987;464078,,,,,k 3 w a,3 a k w
36,Mawe-39_corn-1,,Mawe,39_corn,a w a t i,a w a t i,a w a t i,,11987;464078,,,,,a w a t i,a i t w
37,Mawe-40_cotton-1,,Mawe,40_cotton,a m õ k i u s u ʔ a p,a m õ k i u s u ʔ a p,a m õ k i u s u ʔ a p,,11987;464078,,,,,a m o* k i u s u 7 a p,7 a i k m o* p s u
38,Mawe-41_cry-1,,Mawe,41_cry,w a k,w a k,w a k,,11987;464078,,,,,w a k,a k w
39,Mawe-42_cut-1,,Mawe,42_cut,a t i ʔ t e k,a t i ʔ t e k,a t i ʔ t e k,,11987;464078,,,,,a t i 7 t e k,7 a e i k t
40,Mawe-43_dance-1,,Mawe,43_dance,h a i r u,h a i r u,h a i r u,,11987;464078,,,,,h a i r u,a h i r u
41,Mawe-44_day-1,,Mawe,44_day,ʔ a t,ʔ a t,ʔ a t,,11987;464078,,,,,7 a t,7 a t
42,Mawe-45_defecate-1,,Mawe,45_defecate,h e p a i ʔ a,h e p a i ʔ a,h e p a i ʔ a,,11987;464078,,,,,h e p a i 7 a,7 a e h i p
43,Mawe-46_die-1,,Mawe,46_die,k u ʔ u r o,k u ʔ u r o,k u ʔ u r o,,11987;464078,,,,,k u 7 u r o,7 k o r u
44,Mawe-47_dirty-1,,Mawe,47_dirty,h a w i u,h a w i u,h a w i u,,11987;464078,,,,,h a w i u,a h i u w
45,Mawe-48_domake-1,,Mawe,48_domake,n u ŋ,n u ŋ,n u ŋ,,11987;464078,,,,,n u N,N n u
46,Mawe-50_dressup-1,,Mawe,50_dressup,s o k p e p a ŋ,s o k p e p a ŋ,s o k p e p a ŋ,,11987;464078,,,,,s o k p e p a N,N a e k o p s
47,Mawe-51_dry-1,,Mawe,51_dry,ŋ a ŋ,ŋ a ŋ,ŋ a ŋ,,11987;464078,,,,,N a N,N a
48,Mawe-52_drystate-1,,Mawe,52_drystate,ŋ a ŋ,ŋ a ŋ,ŋ a ŋ,,11987;464078,,,,,N a N,N a
49,Mawe-53_earthland-1,,Mawe,53_earthland,ɨ i,ɨ i,ɨ i,,11987;464078,,,,,3 i,3 i
50,Mawe-55_enter-1,,Mawe,55_enter,e k e,e k e,e k e,,11987;464078,,,,,e k e,e k
51,Mawe-56_eye-1,,Mawe,56_eye,e h a,e h a,e h a,,11987;464078,,,,,e h a,a e h
52,Mawe-58_far-1,,Mawe,58_far,p ɨ a,p ɨ a,p ɨ a,,11987;464078,,,,,p 3 a,3 a p
53,Mawe-59_fatgrease-1,,Mawe,59_fatgrease,k a p,k a p,k a p,,11987;464078,,,,,k a p,a k p
54,Mawe-60_father-1,,Mawe,60_father,a p,a p,a p,,11987;464078,,,,,a p,a p
55,Mawe-62_finger-1,,Mawe,62_finger,m u ʔ u ɲ ã,m u ʔ u ɲ ã,m u ʔ u ɲ ã,,11987;464078,,,,,m u 7 u 5 a*,5 7 a* m u
56,Mawe-63_fire-1,,Mawe,63_fire,a r j a,a r j a,a r j a,,11987;464078,,,,,a r y a,a r y
57,Mawe-66_fish-1,,Mawe,66_fish,p i r a,p i r a,p i r a,,11987;464078,,,,,p i r a,a i p r
58,Mawe-68_flesh-1,,Mawe,68_flesh,p u ʔ i,p u ʔ i,p u ʔ i,,11987;464078,,,,,p u 7 i,7 i p u
59,Mawe-69_flour-1,,Mawe,69_flour,u ʔ i,u ʔ i,u ʔ i,,11987;464078,,,,,u 7 i,7 i u
60,Mawe-70_flower-1,,Mawe,70_flower,p o h ɨ t,p o h ɨ t,p o h ɨ t,,11987;464078,,,,,p o h 3 t,3 h o p t
61,Mawe-71_fly-1,,Mawe,71_fly,m o p ɨ,m o p ɨ,m o p ɨ,,11987;464078,,,,,m o p 3,3 m o p
62,Mawe-72_flyn-1,,Mawe,72_flyn,w i n,w i n,w i n,,11987;464078,,,,,w i n,i n w
63,Mawe-73_foot-1,,Mawe,73_foot,p ɨ,p ɨ,p ɨ,,11987;464078,,,,,p 3,3 p
64,Mawe-74_four-1,,Mawe,74_four,t u k a w a,t u k a w a,t u k a w a,,11987;464078,,,,,t u k a w a,a k t u w
65,Mawe-75_frog-1,,Mawe,75_frog,w a ʔ a s a,w a ʔ a s a,w a ʔ a s a,,11987;464078,,,,,w a 7 a s a,7 a s w
