ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Meixian-1_sun-1-1,Meixian-1_sun-1,ŋit¹tʰew¹¹,184,false,expert,List2014d,,,
Changsha-1_sun-1-1,Changsha-1_sun-1,tʰaj⁵⁵jan¹³,469,false,expert,List2014d,,,
Changsha-1_sun-2-1,Changsha-1_sun-2,ʐʅ²⁴təw,184,false,expert,List2014d,,,
Guixian-1_sun-1-1,Guixian-1_sun-1,tʰaj²¹³jaŋ²¹,469,false,expert,List2014d,,,
Xiamen-1_sun-1-1,Xiamen-1_sun-1,lit⁵tʰaw,184,false,expert,List2014d,,,
Xiamen-1_sun-2-1,Xiamen-1_sun-2,tʰaj²¹jɔŋ³⁵,469,false,expert,List2014d,,,
Hefei-1_sun-1-1,Hefei-1_sun-1,tʰᴇ⁵³jɑ̃,469,false,expert,List2014d,,,
Hefei-1_sun-2-1,Hefei-1_sun-2,ʐəʔ⁵tʰɯ,184,false,expert,List2014d,,,
Jinan-1_sun-1-1,Jinan-1_sun-1,tʰɛ²¹jaŋ,469,false,expert,List2014d,,,
Jinan-1_sun-2-1,Jinan-1_sun-2,lɔ⁵⁵jə⁴²jər⁴²,594,false,expert,List2014d,,,
Jinan-1_sun-3-1,Jinan-1_sun-3,ʐʅ²¹tʰow,184,false,expert,List2014d,,,
Hangzhou-1_sun-1-1,Hangzhou-1_sun-1,tʰᴇ⁴⁴⁵ɦjɑŋ²¹³,469,false,expert,List2014d,,,
Guangzhou-1_sun-1-1,Guangzhou-1_sun-1,jit²tʰɐw²¹,184,false,expert,List2014d,,,
Guangzhou-1_sun-2-1,Guangzhou-1_sun-2,tʰaj³³jœŋ²¹,469,false,expert,List2014d,,,
Nanchang-1_sun-1-1,Nanchang-1_sun-1,tʰaj²¹³iŋ⁰⁴,469,false,expert,List2014d,,,
Nanchang-1_sun-2-1,Nanchang-1_sun-2,ȵiʔ⁵tʰu⁰²,184,false,expert,List2014d,,,
Chengdu-1_sun-1-1,Chengdu-1_sun-1,tʰaj¹³jaŋ³¹,469,false,expert,List2014d,,,
Taiyuan-1_sun-1-1,Taiyuan-1_sun-1,jɒ̃¹¹pʰɒ̃¹¹,997,false,expert,List2014d,,,
Taiyuan-1_sun-2-1,Taiyuan-1_sun-2,taj⁴⁵jɒ̃¹¹,469,false,expert,List2014d,,,
Shexian-1_sun-1-1,Shexian-1_sun-1,ni²²tʰju⁴⁴,184,false,expert,List2014d,,,
Shexian-1_sun-2-1,Shexian-1_sun-2,tʰa³²⁴ja⁴⁴,469,false,expert,List2014d,,,
Beijing-1_sun-1-1,Beijing-1_sun-1,tʰaj⁵¹jɑŋ¹,469,false,expert,List2014d,,,
Beijing-1_sun-2-1,Beijing-1_sun-2,lɑw²¹⁴ir³⁵,594,false,expert,List2014d,,,
Beijing-1_sun-3-1,Beijing-1_sun-3,ʐʅ⁵¹tʰow¹,184,false,expert,List2014d,,,
Kunming-1_sun-1-1,Kunming-1_sun-1,tʰæ²¹²jᴀ̃³¹,469,false,expert,List2014d,,,
Kunming-1_sun-2-1,Kunming-1_sun-2,ʐə³¹tʰəw³¹,184,false,expert,List2014d,,,
Shanghai-1_sun-1-1,Shanghai-1_sun-1,tʰa³⁴ɦjã¹³,469,false,expert,List2014d,,,
Shanghai-1_sun-2-1,Shanghai-1_sun-2,ȵjɪʔ¹dɤ¹³,184,false,expert,List2014d,,,
Meixian-2_moon-1-1,Meixian-2_moon-1,ŋjat⁵kwoŋ⁴⁴,129,false,expert,List2014d,,,
Changsha-2_moon-1-1,Changsha-2_moon-1,ɥe²⁴ljan¹¹,659,false,expert,List2014d,,,
Changsha-2_moon-2-1,Changsha-2_moon-2,ɥe²⁴ljan⁵⁵pu¹³sa²⁴,831,false,expert,List2014d,,,
Changsha-2_moon-3-1,Changsha-2_moon-3,ɥe²⁴ljan⁵⁵pa³³pa,659,false,expert,List2014d,,,
Guixian-2_moon-1-1,Guixian-2_moon-1,jɛ²¹ljaŋ²¹³,659,false,expert,List2014d,,,
Xiamen-2_moon-1-1,Xiamen-2_moon-1,geʔ⁵,526,false,expert,List2014d,,,
