ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Meixian-1_sun-1,,Meixian,1_sun,日头,ŋit¹tʰew¹¹,ŋ i t ¹ + tʰ e w ¹¹,,Hou2004,,false,^ ŋ i t ¹ tʰ e w ¹¹$,default
Changsha-1_sun-1,,Changsha,1_sun,太阳,tʰaj⁵⁵jan¹³,tʰ a j ⁵⁵ + j a n ¹³,,Hou2004,,false,^ tʰ a j ⁵⁵ j a n ¹³$,default
Changsha-1_sun-2,,Changsha,1_sun,日头,ʐʅ²⁴təw,ʐ ʅ ²⁴ + t ə w,,Hou2004,,false,^ ʐ ʅ ²⁴ t ə w $,default
Guixian-1_sun-1,,Guixian,1_sun,太阳,tʰaj²¹³jaŋ²¹,tʰ a j ²¹³ + j a ŋ ²¹,,Hou2004,,false,^ tʰ a j ²¹³ j a ŋ ²¹$,default
Xiamen-1_sun-1,,Xiamen,1_sun,日头,lit⁵tʰaw,l i t ⁵ + tʰ a w,,Hou2004,,false,^ l i t ⁵ tʰ a w $,default
Xiamen-1_sun-2,,Xiamen,1_sun,太阳,tʰaj²¹jɔŋ³⁵,tʰ a j ²¹ + j ɔ ŋ ³⁵,,Hou2004,,false,^ tʰ a j ²¹ j ɔ ŋ ³⁵$,default
Hefei-1_sun-1,,Hefei,1_sun,太阳,tʰᴇ⁵³jɑ̃,tʰ ᴇ/e̞ ⁵³ + j ɑ̃,,Hou2004,,false,^ tʰ ᴇ ⁵³ j ɑ̃ $,default
Hefei-1_sun-2,,Hefei,1_sun,日头,ʐəʔ⁵tʰɯ,ʐ ə ʔ ⁵ + tʰ ɯ,,Hou2004,,false,^ ʐ ə ʔ ⁵ tʰ ɯ $,default
Jinan-1_sun-1,,Jinan,1_sun,太阳,tʰɛ²¹jaŋ,tʰ ɛ ²¹ + j a ŋ,,Hou2004,,false,^ tʰ ɛ ²¹ j a ŋ $,default
Jinan-1_sun-2,,Jinan,1_sun,老爷爷儿,lɔ⁵⁵jə⁴²jər⁴²,l ɔ ⁵⁵ + j ə ⁴² + j ə r ⁴²,,Hou2004,,false,^ l ɔ ⁵⁵ j ə ⁴² j ə r ⁴²$,default
