,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Meixian-1_sun-1,,Meixian,1_sun,日头,ŋit¹tʰew¹¹,ŋ i t ¹ + tʰ e w ¹¹,,Hou2004,,False,^ ŋ i t ¹ tʰ e w ¹¹$,default,N i t   th~ e w , N e i t th~ w
1,Changsha-1_sun-1,,Changsha,1_sun,太阳,tʰaj⁵⁵jan¹³,tʰ a j ⁵⁵ + j a n ¹³,,Hou2004,,False,^ tʰ a j ⁵⁵ j a n ¹³$,default,th~ a y   y a n , a n th~ y
2,Changsha-1_sun-2,,Changsha,1_sun,日头,ʐʅ²⁴təw,ʐ ʅ ²⁴ + t ə w,,Hou2004,,False,^ ʐ ʅ ²⁴ t ə w $,default,Z   t 3 w, 3 Z t w
3,Guixian-1_sun-1,,Guixian,1_sun,太阳,tʰaj²¹³jaŋ²¹,tʰ a j ²¹³ + j a ŋ ²¹,,Hou2004,,False,^ tʰ a j ²¹³ j a ŋ ²¹$,default,th~ a y   y a N , N a th~ y
4,Xiamen-1_sun-1,,Xiamen,1_sun,日头,lit⁵tʰaw,l i t ⁵ + tʰ a w,,Hou2004,,False,^ l i t ⁵ tʰ a w $,default,l i t   th~ a w, a i l t th~ w
5,Xiamen-1_sun-2,,Xiamen,1_sun,太阳,tʰaj²¹jɔŋ³⁵,tʰ a j ²¹ + j ɔ ŋ ³⁵,,Hou2004,,False,^ tʰ a j ²¹ j ɔ ŋ ³⁵$,default,th~ a y   y o N , N a o th~ y
6,Hefei-1_sun-1,,Hefei,1_sun,太阳,tʰᴇ⁵³jɑ̃,tʰ ᴇ/e̞ ⁵³ + j ɑ̃,,Hou2004,,False,^ tʰ ᴇ ⁵³ j ɑ̃ $,default,th~ e   y o*, e o* th~ y
7,Hefei-1_sun-2,,Hefei,1_sun,日头,ʐəʔ⁵tʰɯ,ʐ ə ʔ ⁵ + tʰ ɯ,,Hou2004,,False,^ ʐ ə ʔ ⁵ tʰ ɯ $,default,Z 3 7   th~ u, 3 7 Z th~ u
8,Jinan-1_sun-1,,Jinan,1_sun,太阳,tʰɛ²¹jaŋ,tʰ ɛ ²¹ + j a ŋ,,Hou2004,,False,^ tʰ ɛ ²¹ j a ŋ $,default,th~ E   y a N, E N a th~ y
9,Jinan-1_sun-2,,Jinan,1_sun,老爷爷儿,lɔ⁵⁵jə⁴²jər⁴²,l ɔ ⁵⁵ + j ə ⁴² + j ə r ⁴²,,Hou2004,,False,^ l ɔ ⁵⁵ j ə ⁴² j ə r ⁴²$,default,l o   y 3   y 3 r , 3 l o r y
10,Jinan-1_sun-3,,Jinan,1_sun,日头,ʐʅ²¹tʰow,ʐ ʅ ²¹ + tʰ o w,,Hou2004,,False,^ ʐ ʅ ²¹ tʰ o w $,default,Z   th~ o w, Z o th~ w
11,Hangzhou-1_sun-1,,Hangzhou,1_sun,太阳,tʰᴇ⁴⁴⁵ɦjɑŋ²¹³,tʰ ᴇ/e̞ ⁴⁴⁵ + ɦ j ɑ ŋ ²¹³,,Hou2004,,False,^ tʰ ᴇ ⁴⁴⁵ ɦ j ɑ ŋ ²¹³$,default,th~ e   h y o N , N e h o th~ y
12,Guangzhou-1_sun-1,,Guangzhou,1_sun,热头,jit²tʰɐw²¹,j i t ² + tʰ ɐ w ²¹,,Hou2004,,False,^ j i t ² tʰ ɐ w ²¹$,default,y i t   th~ a w , a i t th~ w y
13,Guangzhou-1_sun-2,,Guangzhou,1_sun,太阳,tʰaj³³jœŋ²¹,tʰ a j ³³ + j œ ŋ ²¹,,Hou2004,,False,^ tʰ a j ³³ j œ ŋ ²¹$,default,th~ a y   y E N , E N a th~ y
14,Nanchang-1_sun-1,,Nanchang,1_sun,太阳,tʰaj²¹³iŋ⁰⁴,tʰ a j ²¹³ + i ŋ ⁰⁴/¹⁴,,Hou2004,,False,^ tʰ a j ²¹³ i ŋ ⁰⁴$,default,th~ a y   i N  , N a i th~ y
15,Nanchang-1_sun-2,,Nanchang,1_sun,日头,ȵiʔ⁵tʰu⁰²,ɲ i ʔ ⁵ + tʰ u ⁰²/¹²,,Hou2004,,False,^ ȵ i ʔ ⁵ tʰ u ⁰²$,default,5 i 7   th~ u  , 5 7 i th~ u
16,Chengdu-1_sun-1,,Chengdu,1_sun,太阳,tʰaj¹³jaŋ³¹,tʰ a j ¹³ + j a ŋ ³¹,,Hou2004,,False,^ tʰ a j ¹³ j a ŋ ³¹$,default,th~ a y   y a N , N a th~ y
17,Taiyuan-1_sun-1,,Taiyuan,1_sun,阳婆,jɒ̃¹¹pʰɒ̃¹¹,j ɒ̃ ¹¹ + pʰ ɒ̃ ¹¹,,Hou2004,,False,^ j ɒ̃ ¹¹ pʰ ɒ̃ ¹¹$,default,y o*   ph~ o* , o* ph~ y
18,Taiyuan-1_sun-2,,Taiyuan,1_sun,太阳,taj⁴⁵jɒ̃¹¹,t a j ⁴⁵ + j ɒ̃ ¹¹,,Hou2004,,False,^ t a j ⁴⁵ j ɒ̃ ¹¹$,default,t a y   y o* , a o* t y
19,Shexian-1_sun-1,,Shexian,1_sun,日头,ni²²tʰju⁴⁴,n i ²² + tʰ j u ⁴⁴,,Hou2004,,False,^ n i ²² tʰ j u ⁴⁴$,default,n i   th~ y u , i n th~ u y
20,Shexian-1_sun-2,,Shexian,1_sun,太阳,tʰa³²⁴ja⁴⁴,tʰ a ³²⁴ + j a ⁴⁴,,Hou2004,,False,^ tʰ a ³²⁴ j a ⁴⁴$,default,th~ a   y a , a th~ y
21,Beijing-1_sun-1,,Beijing,1_sun,太阳,tʰaj⁵¹jɑŋ¹,tʰ a j ⁵¹ + j ɑ ŋ ¹,,Hou2004,,False,^ tʰ a j ⁵¹ j ɑ ŋ ¹$,default,th~ a y   y o N , N a o th~ y
