ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Beijing,Beijing,beij1234,Beijing Mandarin,,Eurasia,39.9385466,116.1172766,Sino-Tibetan
Changsha,Changsha,chan1326,Changsha,,Eurasia,28.85032,112.943344,Sino-Tibetan
Chengdu,Chengdu,chen1267,Chengdu Mandarin,,Eurasia,30.605768,103.970947,Sino-Tibetan
Guangzhou,Guangzhou,guan1279,Guangzhou,,Eurasia,23.1253503,112.9476548,Sino-Tibetan
Guixian,Guiyang,guiy1235,Guiyang,,,26.71691,106.638336,Hmong-Mien
Hangzhou,Hangzhou,hang1257,Hangzhou,,Eurasia,30.261316,120.0318057,Sino-Tibetan
Hefei,Hefei,hefe1234,Hefei Mandarin,,Eurasia,31.873593,117.223663,Sino-Tibetan
Jinan,Jinan,jina1245,Jinan Mandarin,,Eurasia,36.690777,116.997299,Sino-Tibetan
Kunming,Kunming,kunm1234,Kunming Chinese,,Eurasia,25.049711,102.72274,Sino-Tibetan
Meixian,Meixian,yuet1238,Meixian,,Eurasia,24.3522958,115.8903375,Sino-Tibetan
Nanchang,Nanchang,nanc1254,Nanchang,,Eurasia,28.706609,115.857468,Sino-Tibetan
Shanghai,Shanghai,shan1293,Shanghainese,,Eurasia,31.222902,121.475372,Sino-Tibetan
Shexian,Shexian,shex1234,Shexian,,Eurasia,30.589829,118.428268,Sino-Tibetan
Taiyuan,Taiyuan,taiy1243,Taiyuan,,Eurasia,37.8632119,112.4024883,Sino-Tibetan
Xiamen,Xiamen,xiam1236,Xiamen,,Eurasia,24.49421,118.08918,Sino-Tibetan
