ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_sun,sun,1343,SUN,1
2_moon,moon,1313,MOON,2
3_star,star,1430,STAR,3
4_thunderverb,thunder (verb),2378,THUNDER (VERB),4
5_flashverb,flash (verb),2377,FLASH (VERB),5
6_rain,rain,1253,RAIN (RAINING),6
7_snow,snow,1255,SNOWING,7
8_hail,hail,609,HAIL,8
9_freeze,freeze,1431,FREEZE,9
10_blow,blow,175,BLOW (OF WIND),10
11_rainbow,rainbow,1733,RAINBOW,11
15_thisyear,this year,513,THIS YEAR,15
20_today,today,1283,TODAY,20
22_wheat,wheat,1077,WHEAT,22
24_sunflower,sunflower,1956,SUNFLOWER,24
25_spinach,spinach,975,SPINACH,25
26_cabbage,cabbage,774,CABBAGE,26
29_sweetpotato,sweet potato,159,SWEET POTATO,29
32_pig,pig,1337,PIG,32
35_rooster,rooster,1511,ROOSTER,35
36_chicken,chicken,1318,CHICKEN,36
37_sparrow,sparrow,1854,SPARROW,37
38_mouse,mouse,1491,MOUSE,38
39_bedbug,bedbug,1949,BEDBUG,39
40_house,house,1252,HOUSE,40
42_window,window,1375,WINDOW,42
43_doorsills,doorsills,2185,DOORSILLS,43
45_kitchen,kitchen,1365,KITCHEN,45
46_chimney,chimney,1305,CHIMNEY,46
47_table,table,1775,TABLE,47
48_stairs,stairs,34,STAIRS,48
49_head,head,1256,HEAD,49
50_forehead,forehead,123,FOREHEAD,50
51_face,face,1560,FACE,51
52_nose,nose,1221,NOSE,52
53_neck,neck,1333,NECK,53
54_lefthand,left hand,2182,LEFT HAND,54
55_righthand,right hand,2183,RIGHT HAND,55
56_fist,fist,1473,FIST,56
57_forefinger,forefinger,577,FOREFINGER,57
58_fingernail,fingernail,1258,FINGERNAIL,58
59_knee,knee,1371,KNEE,59
60_leg,leg,1297,LEG,60
61_father,father,1217,FATHER,61
62_mother,mother,1216,MOTHER,62
73_husband,husband,1200,HUSBAND,73
74_wife,wife,1199,WIFE,74
75_son,son,1620,SON,75
76_daughter,daughter,1357,DAUGHTER,76
77_breakfast,breakfast,1322,BREAKFAST,77
78_lunch,lunch,768,LUNCH,78
79_supper,supper,1833,DINNER (SUPPER),79
80_noodles,noodles,973,NOODLE,80
85_soyasauce,soya sauce,1968,SOYA SAUCE,85
86_salt,salt,1274,SALT,86
87_chopsticks,chopsticks,1987,CHOPSTICKS,87
88_spoon,spoon,1378,SPOON,88
89_man,man,1554,MAN,89
90_woman,woman,962,WOMAN,90
91_boy,boy,1366,BOY,91
92_girl,girl,1646,GIRL,92
93_oldman,old man,406,OLD MAN,93
94_doctor,doctor,597,PHYSICIAN,94
2315_cook,cook,2315,COOK (PERSON),2315
96_beggar,beggar,1934,BEGGAR,96
97_nurse,nurse,1104,NURSE,97
