,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Albanian-1_all-1,,Albanian,1_all,gjithë,ɟ.i.θ,ɟ i θ,,Kessler2001,,False,^ ɟ . i . θ $,default,T i 8,8 T i
1,English-1_all-1,,English,1_all,all,ɔ.l,ɔ l,,Kessler2001,,False,^ ɔ . l $,default,o l,l o
2,French-1_all-1,,French,1_all,tous,t.u.t,t u t,,Kessler2001,,False,^ t . u . t $,default,t u t,t u
3,German-1_all-1,,German,1_all,alle,a.l,a l,,Kessler2001,,False,^ a . l $,default,a l,a l
4,Hawaiian-1_all-1,,Hawaiian,1_all,apau,a.p.a.u,a p a u,,Kessler2001,,False,^ a . p . a . u $,default,a p a u,a p u
5,Latin-1_all-1,,Latin,1_all,omnes,o.m.n.i,o m n i,,Kessler2001,,False,^ o . m . n . i $,default,o m n i,i m n o
6,Navajo-1_all-1,,Navajo,1_all,t'áá 'áƚtso,ʔ.ay.ɬ.ʦ.o,ʔ ay ɬ ts o,,Kessler2001,,False,^ ʔ . ay . ɬ . ʦ . o $,default,7 ai L ts o,7 L ai o ts
7,Turkish-1_all-1,,Turkish,1_all,bütün,b.y.t.y.n,b y t y n,,Kessler2001,,False,^ b . y . t . y . n $,default,b i t i n,b i n t
8,Albanian-2_and-1,,Albanian,2_and,e,e,e,,Kessler2001,,True,^ e $,default,e,e
9,English-2_and-1,,English,2_and,and,a.n.d,a n d,,Kessler2001,,False,^ a . n . d $,default,a n d,a d n
10,French-2_and-1,,French,2_and,et,e,e,,Kessler2001,,False,^ e $,default,e,e
11,German-2_and-1,,German,2_and,und,u.n.t,u n t,,Kessler2001,,False,^ u . n . t $,default,u n t,n t u
12,Hawaiian-2_and-1,,Hawaiian,2_and,ā,aː,aː,,Kessler2001,,False,^ aː $,default,a,a
13,Latin-2_and-1,,Latin,2_and,et,e.t,e t,,Kessler2001,,False,^ e . t $,default,e t,e t
14,Navajo-2_and-1,,Navajo,2_and,dóó,d.oː,d oː,,Kessler2001,,False,^ d . oː $,default,d o,d o
15,Turkish-2_and-1,,Turkish,2_and,ve,v.e,v e,,Kessler2001,,True,^ v . e $,default,v e,e v
16,Albanian-3_animal-1,,Albanian,3_animal,kafshë,k.a.f.ʃ,k a f ʃ,,Kessler2001,,True,^ k . a . f . ʃ $,default,k a f S,S a f k
17,English-3_animal-1,,English,3_animal,animal,a.n.ə.m.ə.l,a n ə m ə l,,Kessler2001,,True,^ a . n . ə . m . ə . l $,default,a n 3 m 3 l,3 a l m n
18,French-3_animal-1,,French,3_animal,animal,a.n.i.m.a.l,a n i m a l,,Kessler2001,,True,^ a . n . i . m . a . l $,default,a n i m a l,a i l m n
19,German-3_animal-1,,German,3_animal,Tier,t.iː.r,t iː r,,Kessler2001,,False,^ t . iː . r $,default,t i r,i r t
20,Hawaiian-3_animal-1,,Hawaiian,3_animal,holoholona,h.o.l.o.h.o.l.o.n.a,h o l o h o l o n a,,Kessler2001,,False,^ h . o . l . o . h . o . l . o . n . a $,default,h o l o h o l o n a,a h l n o
21,Latin-3_animal-1,,Latin,3_animal,animal,a.n.i.m.aː.l,a n i m aː l,,Kessler2001,,False,^ a . n . i . m . aː . l $,default,a n i m a l,a i l m n
22,Navajo-3_animal-1,,Navajo,3_animal,naaldeehii,n.aː.l.d.eː.h.iː,n aː l d eː h iː,,Kessler2001,,False,^ n . aː . l . d . eː . h . iː $,default,n a l d e h i,a d e h i l n
23,Turkish-3_animal-1,,Turkish,3_animal,hayvan,h.a.j.v.a.n,h a j v a n,,Kessler2001,,True,^ h . a . j . v . a . n $,default,h a y v a n,a h n v y
24,Albanian-4_ashes-1,,Albanian,4_ashes,hi,h.i.r,h i r,,Kessler2001,,False,^ h . i . r $,default,h i r,h i r
25,English-4_ashes-1,,English,4_ashes,ashes,a.ʃ,a ʃ,,Kessler2001,,False,^ a . ʃ $,default,a S,S a
26,French-4_ashes-1,,French,4_ashes,cendre,s.ɑ̃.d.r,s ɑ̃ d r,,Kessler2001,,False,^ s . ɑ̃ . d . r $,default,s o* d r,d o* r s
27,German-4_ashes-1,,German,4_ashes,Asche,a.ʃ.ə,a ʃ ə,,Kessler2001,,False,^ a . ʃ . ə $,default,a S 3,3 S a
28,Hawaiian-4_ashes-1,,Hawaiian,4_ashes,lehu,l.e.h.u,l e h u,,Kessler2001,,False,^ l . e . h . u $,default,l e h u,e h l u
29,Latin-4_ashes-1,,Latin,4_ashes,cinis,k.i.n.e.r,k i n e r,,Kessler2001,,False,^ k . i . n . e . r $,default,k i n e r,e i k n r
30,Navajo-4_ashes-1,,Navajo,4_ashes,ƚeeshch'ih,ɬ.eː.ʃ.ʧˀ.i.h,ɬ eː ʃ tʃˀ i h,,Kessler2001,,False,^ ɬ . eː . ʃ . ʧˀ . i . h $,default,L e S tS i h,L S e h i tS
31,Turkish-4_ashes-1,,Turkish,4_ashes,kül,k.y.l,k y l,,Kessler2001,,False,^ k . y . l $,default,k i l,i k l
32,Albanian-5_at-1,,Albanian,5_at,në,n.ə,n ə,,Kessler2001,,False,^ n . ə $,default,n 3,3 n
33,English-5_at-1,,English,5_at,at,a.t,a t,,Kessler2001,,False,^ a . t $,default,a t,a t
34,French-5_at-1,,French,5_at,à,a,a,,Kessler2001,,False,^ a $,default,a,a
35,German-5_at-1,,German,5_at,an,a.n,a n,,Kessler2001,,False,^ a . n $,default,a n,a n
36,Hawaiian-5_at-1,,Hawaiian,5_at,ma,m.a,m a,,Kessler2001,,False,^ m . a $,default,m a,a m
37,Latin-5_at-1,,Latin,5_at,ad,a.d,a d,,Kessler2001,,False,^ a . d $,default,a d,a d
38,Navajo-5_at-1,,Navajo,5_at,-di,d.i,d i,,Kessler2001,,False,^ d . i $,default,d i,d i
39,Turkish-5_at-1,,Turkish,5_at,-de,d.e,d e,,Kessler2001,,False,^ d . e $,default,d e,d e
40,Albanian-6_back-1,,Albanian,6_back,shpinë,ʃ.p.i.n,ʃ p i n,,Kessler2001,,True,^ ʃ . p . i . n $,default,S p i n,S i n p
41,English-6_back-1,,English,6_back,back,b.a.k,b a k,,Kessler2001,,False,^ b . a . k $,default,b a k,a b k
42,French-6_back-1,,French,6_back,dos,d.o,d o,,Kessler2001,,False,^ d . o $,default,d o,d o
43,German-6_back-1,,German,6_back,Rücken,r.y.k.ə.n,r y k ə n,,Kessler2001,,False,^ r . y . k . ə . n $,default,r i k 3 n,3 i k n r
44,Hawaiian-6_back-1,,Hawaiian,6_back,kua,k.u.a,k u a,,Kessler2001,,False,^ k . u . a $,default,k u a,a k u
45,Latin-6_back-1,,Latin,6_back,tergum,t.e.r.g.o,t e r g o,,Kessler2001,,False,^ t . e . r . g . o $,default,t e r g o,e g o r t
46,Navajo-6_back-1,,Navajo,6_back,'anághah,n.ay.ɣ.a.h,n ay ɣ a h,,Kessler2001,,False,^ n . ay . ɣ . a . h $,default,n ai x a h,a ai h n x
47,Turkish-6_back-1,,Turkish,6_back,arka,a.r.k.a,a r k a,,Kessler2001,,False,^ a . r . k . a $,default,a r k a,a k r
48,Albanian-7_bad-1,,Albanian,7_bad,keq,k.e.c,k e c,,Kessler2001,,True,^ k . e . c $,default,k e T,T e k
49,English-7_bad-1,,English,7_bad,bad,b.a.d,b a d,,Kessler2001,,False,^ b . a . d $,default,b a d,a b d
50,French-7_bad-1,,French,7_bad,mauvais,m.ɔ.v.ɛ.z,m ɔ v ɛ z,,Kessler2001,,False,^ m . ɔ . v . ɛ . z $,default,m o v E z,E m o v z
51,German-7_bad-1,,German,7_bad,schlecht,ʃ.l.e.x.t,ʃ l e x t,,Kessler2001,,False,^ ʃ . l . e . x . t $,default,S l e x t,S e l t x
52,Hawaiian-7_bad-1,,Hawaiian,7_bad,`ino,ʔ.i.n.o,ʔ i n o,,Kessler2001,,False,^ ʔ . i . n . o $,default,7 i n o,7 i n o
53,Latin-7_bad-1,,Latin,7_bad,malus,m.a.l.o,m a l o,,Kessler2001,,False,^ m . a . l . o $,default,m a l o,a l m o
54,Navajo-7_bad-1,,Navajo,7_bad,doo yá'áshǫ́ǫ da,j.ay.ʔ.ay.ʃ.õ.õ,j ay ʔ ay ʃ õ õ,,Kessler2001,,False,^ j . ay . ʔ . ay . ʃ . õ . õ $,default,y ai 7 ai S o* o*,7 S ai o* y
55,Turkish-7_bad-1,,Turkish,7_bad,kötü,k.ø.t.y,k ø t y,,Kessler2001,,True,^ k . ø . t . y $,default,k e t i,e i k t
56,Albanian-8_bark-1,,Albanian,8_bark,shkëlbozë,ʃ.k.ə.l.b.o.z,ʃ k ə l b o z,,Kessler2001,,False,^ ʃ . k . ə . l . b . o . z $,default,S k 3 l b o z,3 S b k l o z
57,English-8_bark-1,,English,8_bark,bark,b.ɑ.r.k,b ɑ r k,,Kessler2001,,True,^ b . ɑ . r . k $,default,b o r k,b k o r
58,French-8_bark-1,,French,8_bark,écorce,e.k.ɔ.r.s,e k ɔ r s,,Kessler2001,,False,^ e . k . ɔ . r . s $,default,e k o r s,e k o r s
59,German-8_bark-1,,German,8_bark,Rinde,r.i.n.d.ə,r i n d ə,,Kessler2001,,False,^ r . i . n . d . ə $,default,r i n d 3,3 d i n r
60,Hawaiian-8_bark-1,,Hawaiian,8_bark,`ili,ʔ.i.l.i,ʔ i l i,,Kessler2001,,False,^ ʔ . i . l . i $,default,7 i l i,7 i l
61,Latin-8_bark-1,,Latin,8_bark,cortex,k.o.r.t.i.k,k o r t i k,,Kessler2001,,False,^ k . o . r . t . i . k $,default,k o r t i k,i k o r t
62,Navajo-8_bark-1,,Navajo,8_bark,'akásht'óózh,k.ay.ʃ.tˀ.oː.ʒ,k ay ʃ tˀ oː ʒ,,Kessler2001,,False,^ k . ay . ʃ . tˀ . oː . ʒ $,default,k ai S t o Z,S Z ai k o t
63,Turkish-8_bark-1,,Turkish,8_bark,kabuk,k.a.b.u.k,k a b u k,,Kessler2001,,False,^ k . a . b . u . k $,default,k a b u k,a b k u
64,Albanian-9_because-1,,Albanian,9_because,sepse,s.e.p.s.e,s e p s e,,Kessler2001,,False,^ s . e . p . s . e $,default,s e p s e,e p s
65,English-9_because-1,,English,9_because,because,b.ə.k.ɔ.z,b ə k ɔ z,,Kessler2001,,True,^ b . ə . k . ɔ . z $,default,b 3 k o z,3 b k o z
66,French-9_because-1,,French,9_because,parce que,p.a.r.s,p a r s,,Kessler2001,,False,^ p . a . r . s $,default,p a r s,a p r s
67,German-9_because-1,,German,9_because,weil,v.ai.l,v ai l,,Kessler2001,,False,^ v . ai . l $,default,v ai l,ai l v
68,Hawaiian-9_because-1,,Hawaiian,9_because,ā mea,aː.m.e.a,aː m e a,,Kessler2001,,False,^ aː . m . e . a $,default,a m e a,a e m
69,Latin-9_because-1,,Latin,9_because,quod,kw.o.d,kʷ o d,,Kessler2001,,False,^ kw . o . d $,default,kw~ o d,d kw~ o
70,Navajo-9_because-1,,Navajo,9_because,háálá,h.aː.l.ay,h aː l ay,,Kessler2001,,False,^ h . aː . l . ay $,default,h a l ai,a ai h l
71,Turkish-9_because-1,,Turkish,9_because,çünkü,ʧ.y.n.k.y,tʃ y n k y,,Kessler2001,,False,^ ʧ . y . n . k . y $,default,tS i n k i,i k n tS
72,Albanian-10_belly-1,,Albanian,10_belly,bark,b.a.r.k,b a r k,,Kessler2001,,False,^ b . a . r . k $,default,b a r k,a b k r
73,English-10_belly-1,,English,10_belly,belly,b.ɛ.l.i,b ɛ l i,,Kessler2001,,False,^ b . ɛ . l . i $,default,b E l i,E b i l
74,French-10_belly-1,,French,10_belly,ventre,v.ɑ̃.t.r,v ɑ̃ t r,,Kessler2001,,False,^ v . ɑ̃ . t . r $,default,v o* t r,o* r t v
75,German-10_belly-1,,German,10_belly,Bauch,b.au.x,b au x,,Kessler2001,,False,^ b . au . x $,default,b au x,au b x
76,Hawaiian-10_belly-1,,Hawaiian,10_belly,`ōpū,ʔ.oː.p.uː,ʔ oː p uː,,Kessler2001,,False,^ ʔ . oː . p . uː $,default,7 o p u,7 o p u
77,Latin-10_belly-1,,Latin,10_belly,venter,w.e.n.t.r,w e n t r,,Kessler2001,,False,^ w . e . n . t . r $,default,w e n t r,e n r t w
78,Navajo-10_belly-1,,Navajo,10_belly,'abid,b.i.d,b i d,,Kessler2001,,False,^ b . i . d $,default,b i d,b d i
79,Turkish-10_belly-1,,Turkish,10_belly,karın,k.a.r.n,k a r n,,Kessler2001,,False,^ k . a . r . n $,default,k a r n,a k n r
80,Albanian-11_big-1,,Albanian,11_big,madh,m.a.ð,m a ð,,Kessler2001,,False,^ m . a . ð $,default,m a 8,8 a m
81,English-11_big-1,,English,11_big,big,b.ɪ.g,b ɪ g,,Kessler2001,,False,^ b . ɪ . g $,default,b i g,b g i
82,French-11_big-1,,French,11_big,grand,g.r.ɑ̃.d,g r ɑ̃ d,,Kessler2001,,False,^ g . r . ɑ̃ . d $,default,g r o* d,d g o* r
83,German-11_big-1,,German,11_big,groß,g.r.oː.s,g r oː s,,Kessler2001,,False,^ g . r . oː . s $,default,g r o s,g o r s
84,Hawaiian-11_big-1,,Hawaiian,11_big,nui,n.u.i,n u i,,Kessler2001,,False,^ n . u . i $,default,n u i,i n u
85,Latin-11_big-1,,Latin,11_big,magnus,m.a.g.n.o,m a g n o,,Kessler2001,,False,^ m . a . g . n . o $,default,m a g n o,a g m n o
86,Navajo-11_big-1,,Navajo,11_big,'áníƚtso,ʔ.ay.n.i.ɬ.ʦ.o,ʔ ay n i ɬ ts o,,Kessler2001,,False,^ ʔ . ay . n . i . ɬ . ʦ . o $,default,7 ai n i L ts o,7 L ai i n o ts
87,Turkish-11_big-1,,Turkish,11_big,büyük,b.y.j.y.k,b y j y k,,Kessler2001,,False,^ b . y . j . y . k $,default,b i y i k,b i k y
88,Albanian-12_bird-1,,Albanian,12_bird,zog,z.o.g,z o g,,Kessler2001,,True,^ z . o . g $,default,z o g,g o z
89,English-12_bird-1,,English,12_bird,bird,b.ə.r.d,b ə r d,,Kessler2001,,False,^ b . ə . r . d $,default,b 3 r d,3 b d r
90,French-12_bird-1,,French,12_bird,oiseau,w.a.z.o,w a z o,,Kessler2001,,False,^ w . a . z . o $,default,w a z o,a o w z
91,German-12_bird-1,,German,12_bird,Vogel,f.oː.g.ə.l,f oː g ə l,,Kessler2001,,False,^ f . oː . g . ə . l $,default,f o g 3 l,3 f g l o
92,Hawaiian-12_bird-1,,Hawaiian,12_bird,manu,m.a.n.u,m a n u,,Kessler2001,,False,^ m . a . n . u $,default,m a n u,a m n u
93,Latin-12_bird-1,,Latin,12_bird,avis,a.w.i,a w i,,Kessler2001,,False,^ a . w . i $,default,a w i,a i w
94,Navajo-12_bird-1,,Navajo,12_bird,tsídii,ʦ.i.d.iː,ts i d iː,,Kessler2001,,False,^ ʦ . i . d . iː $,default,ts i d i,d i ts
95,Turkish-12_bird-1,,Turkish,12_bird,kuş,k.u.ʃ,k u ʃ,,Kessler2001,,False,^ k . u . ʃ $,default,k u S,S k u
96,Albanian-13_bite-1,,Albanian,13_bite,kafshon,k.a.f.ʃ.o,k a f ʃ o,,Kessler2001,,False,^ k . a . f . ʃ . o $,default,k a f S o,S a f k o
97,English-13_bite-1,,English,13_bite,bites,b.ai.t,b ai t,,Kessler2001,,False,^ b . ai . t $,default,b ai t,ai b t
98,French-13_bite-1,,French,13_bite,mord,m.ɔ.r,m ɔ r,,Kessler2001,,False,^ m . ɔ . r $,default,m o r,m o r
99,German-13_bite-1,,German,13_bite,beißt,b.ai.s,b ai s,,Kessler2001,,False,^ b . ai . s $,default,b ai s,ai b s
100,Hawaiian-13_bite-1,,Hawaiian,13_bite,nahu,n.a.h.u,n a h u,,Kessler2001,,False,^ n . a . h . u $,default,n a h u,a h n u
101,Latin-13_bite-1,,Latin,13_bite,mordet,m.o.r.d.eː,m o r d eː,,Kessler2001,,False,^ m . o . r . d . eː $,default,m o r d e,d e m o r
