,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,yakumo-1_i-1,,yakumo,1_i,ku'ani,ku'ani,k u a n i,,Hattori1960,,,^ k u 'a n i $,default,k u a n i,a i k n u
1,yakumo-2_thou-1,,yakumo,2_thou,'e'ani,'e'ani,e a n i,,Hattori1960,,,^ 'e 'a n i $,default,e a n i,a e i n
2,yakumo-3_we-1,,yakumo,3_we,ku'ani 'utár,ku'ani 'utár,k u a n i + u t á/a r,,Hattori1960,,,^ k u 'a n i + 'u t á r $,default,k u a n i  u t a a r, a i k n r t u
3,yakumo-3_we-2,,yakumo,3_we,ci'okáy('utár)[excl.],ci'okáy[excl.],ts i ʔ o k áy/ai,,Hattori1960,,,^ci'okáy[excl.] $,default,ts i 7 o k ai ai,7 ai i k o ts
4,yakumo-3_we-3,,yakumo,3_we,'a'okáy('utár)[incl.],'a'okáy[incl.],ʔ a ʔ o k áy/ai,,Hattori1960,,,^'a'okáy[incl.] $,default,7 a 7 o k ai ai,7 a ai k o
5,yakumo-4_this-1,,yakumo,4_this,tánpe,tánpe,t á/a n p e,,Hattori1960,,,^ t á n p e $,default,t a a n p e,a e n p t
6,yakumo-4_this-2,,yakumo,4_this,ta'ánpe,ta'ánpe,t a á/a n p e,,Hattori1960,,,^ t a 'á n p e $,default,t a a a n p e,a e n p t
7,yakumo-5_that-1,,yakumo,5_that,to'anpe,to'anpe,t o a n p e,,Hattori1960,,,^ t o 'a n p e $,default,t o a n p e,a e n o p t
8,yakumo-6_who-1,,yakumo,6_who,nén,nén,n é/e n,,Hattori1960,,,^ n é n $,default,n e e n,e n
9,yakumo-7_what-1,,yakumo,7_what,nép,nép,n é/e p,,Hattori1960,,,^ n é p $,default,n e e p,e n p
10,yakumo-8_not-1,,yakumo,8_not,somoné,somoné,s o m o n é/e,,Hattori1960,,,^ s o m o n é $,default,s o m o n e e,e m n o s
11,yakumo-9_all-1,,yakumo,9_all,'opitta,'opitta,o p i tː a,,Hattori1960,,,^ 'o p i tt a $,default,o p i t a,a i o p t
12,yakumo-9_all-2,,yakumo,9_all,'epitta,'epitta,e p i tː a,,Hattori1960,,,^ 'e p i tt a $,default,e p i t a,a e i p t
13,yakumo-10_many-1,,yakumo,10_many,porónno,porónno,p o r ó/o nː o,,Hattori1960,,,^ p o r ó nn o $,default,p o r o o n o,n o p r
14,yakumo-11_one-1,,yakumo,11_one,sinép,sinép,s i n é/e p,,Hattori1960,,,^ s i n é p $,default,s i n e e p,e i n p s
15,yakumo-12_two-1,,yakumo,12_two,túp,túp,t ú/u p,,Hattori1960,,,^ t ú p $,default,t u u p,p t u
16,yakumo-13_big-1,,yakumo,13_big,poró,poró,p o r ó/o,,Hattori1960,,,^ p o r ó $,default,p o r o o,o p r
17,yakumo-14_long-1,,yakumo,14_long,tánne,tánne,t á/a nː e,,Hattori1960,,,^ t á nn e $,default,t a a n e,a e n t
18,yakumo-15_small-1,,yakumo,15_small,pón,pón,p ó/o n,,Hattori1960,,,^ p ó n $,default,p o o n,n o p
19,yakumo-16_woman-1,,yakumo,16_woman,menokó,menokó,m e n o k ó/o,,Hattori1960,,,^ m e n o k ó $,default,m e n o k o o,e k m n o
20,yakumo-16_woman-2,,yakumo,16_woman,mátnekur,mátnekur,m á/a t n e k u r,,Hattori1960,,,^ m á t n e k u r $,default,m a a t n e k u r,a e k m n r t u
21,yakumo-17_man-1,,yakumo,17_man,'ókkayo,'ókkayo,ó/o kː a y/j o,,Hattori1960,,,^ 'ó kk a y o $,default,o o k a i y o,a i k o y
22,yakumo-18_person-1,,yakumo,18_person,'áynu,'áynu,á/a y/j n u,,Hattori1960,,,^ 'á y n u $,default,a a i y n u,a i n u y
23,yakumo-19_fish-1,,yakumo,19_fish,ci'ép,ci'ép,c i é/e p,,Hattori1960,,,^ c i 'é p $,default,T i e e p,T e i p
24,yakumo-20_bird-1,,yakumo,20_bird,cikáp,cikáp,c i k á/a p,,Hattori1960,,,^ c i k á p $,default,T i k a a p,T a i k p
25,yakumo-20_bird-2,,yakumo,20_bird,ciri,ciri,c i r i,,Hattori1960,,,^ c i r i $,default,T i r i,T i r
26,yakumo-21_dog-1,,yakumo,21_dog,setá,setá,s e t á/a,,Hattori1960,,,^ s e t á $,default,s e t a a,a e s t
27,yakumo-22_louse-1,,yakumo,22_louse,'úrki,'úrki,ú/u r k i,,Hattori1960,,,^ 'ú r k i $,default,u u r k i,i k r u
28,yakumo-23_tree-1,,yakumo,23_tree,ní,ní,n í/i,,Hattori1960,,,^ n í $,default,n i i,i n
29,yakumo-23_tree-2,,yakumo,23_tree,cikuní,cikuní,c i k u n í/i,,Hattori1960,,,^ c i k u n í $,default,T i k u n i i,T i k n u
30,yakumo-24_seed-1,,yakumo,24_seed,pí,pí,p í/i,,Hattori1960,,,^ p í $,default,p i i,i p
31,yakumo-25_leaf-1,,yakumo,25_leaf,hám,hám,h á/a m,,Hattori1960,,,^ h á m $,default,h a a m,a h m
32,yakumo-26_root-1,,yakumo,26_root,sínrit,sínrit,s í/i n r i t,,Hattori1960,,,^ s í n r i t $,default,s i i n r i t,i n r s t
33,yakumo-27_bark-1,,yakumo,27_bark,níkap,níkap,n í/i k a p,,Hattori1960,,,^ n í k a p $,default,n i i k a p,a i k n p
34,yakumo-28_skin-1,,yakumo,28_skin,káp,káp,k á/a p,,Hattori1960,,,^ k á p $,default,k a a p,a k p
35,yakumo-29_meat-1,,yakumo,29_meat,kám,kám,k á/a m,,Hattori1960,,,^ k á m $,default,k a a m,a k m
36,yakumo-30_blood-1,,yakumo,30_blood,kém,kém,k é/e m,,Hattori1960,,,^ k é m $,default,k e e m,e k m
37,yakumo-31_bone-1,,yakumo,31_bone,poné,poné,p o n é/e,,Hattori1960,,,^ p o n é $,default,p o n e e,e n o p
38,yakumo-32_greasefat-1,,yakumo,32_greasefat,kírpu,kírpu,k í/i r p u,,Hattori1960,,,^ k í r p u $,default,k i i r p u,i k p r u
39,yakumo-33_egg-1,,yakumo,33_egg,nók,nók,n ó/o k,,Hattori1960,,,^ n ó k $,default,n o o k,k n o
40,yakumo-34_horn-1,,yakumo,34_horn,kiráw,kiráw,k i r á/a w,,Hattori1960,,,^ k i r á w $,default,k i r a a w,a i k r w
41,yakumo-35_tail-1,,yakumo,35_tail,sár,sár,s á/a r,,Hattori1960,,,^ s á r $,default,s a a r,a r s
42,yakumo-36_feather-1,,yakumo,36_feather,ráp,ráp,r á/a p,,Hattori1960,,,^ r á p $,default,r a a p,a p r
43,yakumo-37_hair-1,,yakumo,37_hair,numá,numá,n u m á/a,,Hattori1960,,,^ n u m á $,default,n u m a a,a m n u
44,yakumo-38_head-1,,yakumo,38_head,sapá,sapá,s a p á/a,,Hattori1960,,,^ s a p á $,default,s a p a a,a p s
45,yakumo-39_ear-1,,yakumo,39_ear,kisár,kisár,k i s á/a r,,Hattori1960,,,^ k i s á r $,default,k i s a a r,a i k r s
46,yakumo-40_eye-1,,yakumo,40_eye,sík,sík,s í/i k,,Hattori1960,,,^ s í k $,default,s i i k,i k s
47,yakumo-41_nose-1,,yakumo,41_nose,'etú,'etú,e t ú/u,,Hattori1960,,,^ 'e t ú $,default,e t u u,e t u
48,yakumo-42_mouth-1,,yakumo,42_mouth,par,par,p a r,,Hattori1960,,,^ p a r $,default,p a r,a p r
49,yakumo-43_tooth-1,,yakumo,43_tooth,mimák,mimák,m i m á/a k,,Hattori1960,,,^ m i m á k $,default,m i m a a k,a i k m
50,yakumo-44_tongue-1,,yakumo,44_tongue,parúnpe,parúnpe,p a r ú/u n p e,,Hattori1960,,,^ p a r ú n p e $,default,p a r u u n p e,a e n p r u
51,yakumo-45_claw-1,,yakumo,45_claw,'ám,'ám,á/a m,,Hattori1960,,,^ 'á m $,default,a a m,a m
52,yakumo-46_foot-1,,yakumo,46_foot,'uré,'uré,u r é/e,,Hattori1960,,,^ 'u r é $,default,u r e e,e r u
53,yakumo-47_knee-1,,yakumo,47_knee,kókkasapa,kókkasapa,k ó/o kː a s a p a,,Hattori1960,,,^ k ó kk a s a p a $,default,k o o k a s a p a,a k o p s
54,yakumo-48_hand-1,,yakumo,48_hand,paraték,paraték,p a r a t é/e k,,Hattori1960,,,^ p a r a t é k $,default,p a r a t e e k,a e k p r t
55,yakumo-49_belly-1,,yakumo,49_belly,hón,hón,h ó/o n,,Hattori1960,,,^ h ó n $,default,h o o n,h n o
56,yakumo-50_neck-1,,yakumo,50_neck,rekút,rekút,r e k ú/u t,,Hattori1960,,,^ r e k ú t $,default,r e k u u t,e k r t u
57,yakumo-51_breast-1,,yakumo,51_breast,pénram,pénram,p é/e n r a m,,Hattori1960,,,^ p é n r a m $,default,p e e n r a m,a e m n p r
58,yakumo-52_heart-1,,yakumo,52_heart,sánpe,sánpe,s á/a n p e,,Hattori1960,,,^ s á n p e $,default,s a a n p e,a e n p s
59,yakumo-53_liver-1,,yakumo,53_liver,kúnne rá,kúnne rá,k ú/u nː e + r á/a,,Hattori1960,,,^ k ú nn e + r á $,default,k u u n e  r a a, a e k n r u
60,yakumo-54_todrink-1,,yakumo,54_todrink,kú,kú,k ú/u,,Hattori1960,,,^ k ú $,default,k u u,k u
61,yakumo-56_toeat-1,,yakumo,56_toeat,'é(他),'é,é/e,,Hattori1960,,,^ 'é $,default,e e,e
62,yakumo-57_tobite-1,,yakumo,57_tobite,kupá,kupá,k u p á/a,,Hattori1960,,,^ k u p á $,default,k u p a a,a k p u
63,yakumo-58_tosee-1,,yakumo,58_tosee,nukár,nukár,n u k á/a r,,Hattori1960,,,^ n u k á r $,default,n u k a a r,a k n r u
64,yakumo-59_tohear-1,,yakumo,59_tohear,nú,nú,n ú/u,,Hattori1960,,,^ n ú $,default,n u u,n u
65,yakumo-60_toknow-1,,yakumo,60_toknow,'eramán,'eramán,e r a m á/a n,,Hattori1960,,,^ 'e r a m á n $,default,e r a m a a n,a e m n r
66,yakumo-61_tosleep-1,,yakumo,61_tosleep,mokór,mokór,m o k ó/o r,,Hattori1960,,,^ m o k ó r $,default,m o k o o r,k m o r
67,yakumo-62_todie-1,,yakumo,62_todie,ray,ray,r a y/j,,Hattori1960,,,^ r a y $,default,r a i y,a i r y
68,yakumo-63_tokill-1,,yakumo,63_tokill,ráyke,ráyke,r á/a y/j k e,,Hattori1960,,,^ r á y k e $,default,r a a i y k e,a e i k r y
69,yakumo-64_toswim-1,,yakumo,64_toswim,má,má,m á/a,,Hattori1960,,,^ m á $,default,m a a,a m
70,yakumo-65_tofly-1,,yakumo,65_tofly,hopuní,hopuní,h o p u n í/i,,Hattori1960,,,^ h o p u n í $,default,h o p u n i i,h i n o p u
71,yakumo-66_towalk-1,,yakumo,66_towalk,'ápkas,'ápkas,á/a p k a s,,Hattori1960,,,^ 'á p k a s $,default,a a p k a s,a k p s
72,yakumo-67_tocome-1,,yakumo,67_tocome,'ek,'ek,e k,,Hattori1960,,,^ 'e k $,default,e k,e k
73,yakumo-68_tolie-1,,yakumo,68_tolie,hótke,hótke,h ó/o t k e,,Hattori1960,,,^ h ó t k e $,default,h o o t k e,e h k o t
74,yakumo-69_tosit-1,,yakumo,69_tosit,'á,'á,á/a,,Hattori1960,,,^ 'á $,default,a a,a
75,yakumo-70_tostand-1,,yakumo,70_tostand,'ás,'ás,á/a s,,Hattori1960,,,^ 'á s $,default,a a s,a s
76,yakumo-71_togive-1,,yakumo,71_togive,koré,koré,k o r é/e,,Hattori1960,,,^ k o r é $,default,k o r e e,e k o r
77,yakumo-72_tosay-1,,yakumo,72_tosay,yé,yé,y/j é/e,,Hattori1960,,,^ y é $,default,i y e e,e i y
78,yakumo-73_sun-1,,yakumo,73_sun,(tókap-)cup,cup,c u p,,Hattori1960,,,^ c u p $,default,T u p,T p u
79,yakumo-74_moon-1,,yakumo,74_moon,(kúnne)cup,cup,c u p,,Hattori1960,,,^ c u p $,default,T u p,T p u
80,yakumo-75_star-1,,yakumo,75_star,nocíw,nocíw,n o c í/i w,,Hattori1960,,,^ n o c í w $,default,n o T i i w,T i n o w
81,yakumo-76_water-1,,yakumo,76_water,wákka,wákka,w á/a kː a,,Hattori1960,,,^ w á kk a $,default,w a a k a,a k w
82,yakumo-77_torain-1,,yakumo,77_torain,weni 'ás,weni 'ás,w e n i + á/a s,,Hattori1960,,,^ w e n i + 'á s $,default,w e n i  a a s, a e i n s w
83,yakumo-78_stone-1,,yakumo,78_stone,sumá,sumá,s u m á/a,,Hattori1960,,,^ s u m á $,default,s u m a a,a m s u
84,yakumo-79_sand-1,,yakumo,79_sand,'otá,'otá,o t á/a,,Hattori1960,,,^ 'o t á $,default,o t a a,a o t
85,yakumo-80_earth-1,,yakumo,80_earth,tóytoy,tóytoy,t ó/o y/j t o y/j,,Hattori1960,,,^ t ó y t o y $,default,t o o i y t o i y,i o t y
86,yakumo-81_cloud-1,,yakumo,81_cloud,nískur,nískur,n í/i s k u r,,Hattori1960,,,^ n í s k u r $,default,n i i s k u r,i k n r s u
87,yakumo-81_cloud-2,,yakumo,81_cloud,kúr,kúr,k ú/u r,,Hattori1960,,,^ k ú r $,default,k u u r,k r u
88,yakumo-82_smoke-1,,yakumo,82_smoke,sipuyá,sipuyá,s i p u y/j á/a,,Hattori1960,,,^ s i p u y á $,default,s i p u i y a a,a i p s u y
89,yakumo-83_fire-1,,yakumo,83_fire,'apé,'apé,a p é/e,,Hattori1960,,,^ 'a p é $,default,a p e e,a e p
90,yakumo-84_ashes-1,,yakumo,84_ashes,'úyna,'úyna,ú/u y/j n a,,Hattori1960,,,^ 'ú y n a $,default,u u i y n a,a i n u y
91,yakumo-85_toburn-1,,yakumo,85_toburn,'uhúy,'uhúy,u h ú/u y/j,,Hattori1960,,,^ 'u h ú y $,default,u h u u i y,h i u y
