,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,AlternativeTranscription,asjp_forms,asjp_segs
0,MiddleJapanese-1_green-1,,MiddleJapanese,1_green,awoʃi,awoʃi,a w o ʃ i,,Muromachijidaigo2001,,,^ a w o ʃ i $,default,aosi,a w o S i,S a i o w
1,MiddleJapanese-2_red-1,,MiddleJapanese,2_red,akaʃi,akaʃi,a k a ʃ i,,Muromachijidaigo2001,,,^ a k a ʃ i $,default,akasi,a k a S i,S a i k
2,MiddleJapanese-3_toyawn-1,,MiddleJapanese,3_toyawn,akubi,akubi,a k u b i,,Muromachijidaigo2001,,,^ a k u b i $,default,akubi,a k u b i,a b i k u
3,MiddleJapanese-4_legfoot-1,,MiddleJapanese,4_legfoot,aʃi,aʃi,a ʃ i,,Muromachijidaigo2001,,,^ a ʃ i $,default,aʃi,a S i,S a i
4,MiddleJapanese-5_head-1,,MiddleJapanese,5_head,atama,atama,a t a m a,,Muromachijidaigo2001,,,^ a t a m a $,default,atama,a t a m a,a m t
5,MiddleJapanese-6_new-1,,MiddleJapanese,6_new,ataraʃi,ataraʃi,a t a r a ʃ i,,Muromachijidaigo2001,,,^ a t a r a ʃ i $,default,ataraʃi,a t a r a S i,S a i r t
6,MiddleJapanese-7_thick-1,,MiddleJapanese,7_thick,atsuʃi,atsuʃi,a ts u ʃ i,,Muromachijidaigo2001,,,^ a ts u ʃ i $,default,atsusi,a ts u S i,S a i ts u
7,MiddleJapanese-8_warm-1,,MiddleJapanese,8_warm,atatakaʃi,atatakaʃi,a t a t a k a ʃ i,,Muromachijidaigo2001,,,^ a t a t a k a ʃ i $,default,atatakasi,a t a t a k a S i,S a i k t
8,MiddleJapanese-9_you-1,,MiddleJapanese,9_you,anata,anata,a n a t a,,Muromachijidaigo2001,,,^ a n a t a $,default,anata,a n a t a,a n t
9,MiddleJapanese-10_heshe-1,,MiddleJapanese,10_heshe,anoçito,anoçito,a n o ç i t o,,Muromachijidaigo2001,,,^ a n o ç i t o $,default,anoçito,a n o S i t o,S a i n o t
10,MiddleJapanese-11_they-1,,MiddleJapanese,11_they,karera,karera,k a r e r a,,Muromachijidaigo2001,,,^ k a r e r a $,default,karera,k a r e r a,a e k r
11,MiddleJapanese-12_fatgrease-1,,MiddleJapanese,12_fatgrease,abura,abura,a b u r a,,Muromachijidaigo2001,,,^ a b u r a $,default,abura,a b u r a,a b r u
12,MiddleJapanese-13_rain-1,,MiddleJapanese,13_rain,ame,ame,a m e,,Muromachijidaigo2001,,,^ a m e $,default,ame,a m e,a e m
13,MiddleJapanese-14_towalk-1,,MiddleJapanese,14_towalk,ajumu,ajumu,a j u m u,,Muromachijidaigo2001,,,^ a j u m u $,default,ajumu,a y u m u,a m u y
14,MiddleJapanese-15_that-1,,MiddleJapanese,15_that,are,are,a r e,,Muromachijidaigo2001,,,^ a r e $,default,are,a r e,a e r
15,MiddleJapanese-16_tosay-1,,MiddleJapanese,16_tosay,iFu,iFu,i β u,,Muromachijidaigo2001,,,^ i F u $,default,iFu,i b u,b i u
16,MiddleJapanese-17_house-1,,MiddleJapanese,17_house,ihe,ihe,i h e,,Muromachijidaigo2001,,,^ i h e $,default,ihe,i h e,e h i
17,MiddleJapanese-18_tobreathe-1,,MiddleJapanese,18_tobreathe,iki-,iki-,i k i,,Muromachijidaigo2001,,,^ i k i -$,default,iki,i k i,i k
