,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Jeju-55_hand-1,,Jeju,55_hand,son,son,s o n,,Ogura1944,,,^ s o n $,default,s o n,n o s
1,Jeju-73_left-1,,Jeju,73_left,wen,wen,w e n,,Ogura1944,,,^ w e n $,default,w e n,e n w
2,Jeju-107_right-1,,Jeju,107_right,o-rɨn-pen,o-rɨn-pen,o + ɾ ɨ n + p e n,,Nanmal2010,,,^ o - r ɨ n - p e n $,default,o  r 3 n  p e n, 3 e n o p r
3,Jeju-226_walk-1,,Jeju,226_walk,kər-,kər-,k ə ɾ,,Ogura1944,,,^ k ə r -$,default,k 3 r,3 k r
4,Jeju-109_road-1,,Jeju,109_road,cil,cil,tɕ i l,,Ogura1944,,,^ c i l $,default,tS i l,i l tS
5,Jeju-215_toturn-1,,Jeju,215_toturn,tol-lin-,tol-lin-,t o l + l i n,,Ogura1944,,,^ t o l - l i n -$,default,t o l  l i n, i l n o t
6,Jeju-30_dust-1,,Jeju,30_dust,ku-dum,ku-dum,k u + d u m,,Ogura1944,,,^ k u - d u m $,default,k u  d u m, d k m u
7,Jeju-7_back-1,,Jeju,7_back,tɨŋ-ə-ri,tɨŋ-ə-ri,t ɨ ŋ + ə + ɾ i,,Ogura1944,,,^ t ɨ ŋ - ə - r i $,default,t 3 N  3  r i, 3 N i r t
8,Jeju-11_belly-1,,Jeju,11_belly,pɛ,pɛ,p ɛ,,Ogura1944,,,^ p ɛ $,default,p E,E p
9,Jeju-17_bone-1,,Jeju,17_bone,k'waŋ,k'waŋ,k͈ w a ŋ,,Ogura1944,,,^ k' w a ŋ $,default,k w a N,N a k w
10,Jeju-69_intestines-1,,Jeju,69_intestines,cʰaŋ-,cʰaŋ-,tɕʰ a ŋ,,Nanmal2010,,,^ cʰ a ŋ -$,default,tSh~ a N,N a tSh~
11,Jeju-19_breast-1,,Jeju,19_breast,ka-sim,ka-sim,k a + s i m,,Nanmal2010,,,^ k a - s i m $,default,k a  s i m, a i k m s
12,Jeju-121_shoulder-1,,Jeju,121_shoulder,ək-kɛ,ək-kɛ,ə k + k ɛ,,Ogura1944,,,^ ə k - k ɛ $,default,3 k  k E, 3 E k
13,Jeju-212_tothink-1,,Jeju,212_tothink,he-a-rin-,he-a-rin-,h e + a + ɾ i n,,Nanmal2010,,,^h e - a - r i n -$,default,h e  a  r i n, a e h i n r
14,Jeju-170_tofear-1,,Jeju,170_tofear,cə-tɨn-,cə-tɨn-,tɕ ə + t ɨ n,,Ogura1944,,,^ c ə - t ɨ n -$,default,tS 3  t 3 n, 3 n t tS
15,Jeju-57_head-1,,Jeju,57_head,tɛ-gaŋ-i,tɛ-gaŋ-i,t ɛ + g a ŋ + i,,Ogura1944,,,^ t ɛ - g a ŋ - i $,default,t E  g a N  i, E N a g i t
16,Jeju-90_neck-1,,Jeju,90_neck,ja-ga-gi,ja-ga-gi,dʑ a + g a + g i,,Ogura1944,,,^ j a - g a - g i $,default,dZ a  g a  g i, a dZ g i
17,Jeju-54_hair-1,,Jeju,54_hair,hə-un-də-gi,hə-un-də-gi,h ə + u n + d ə + g i,,Ogura1944,,,^h ə - u n - d ə - g i $,default,h 3  u n  d 3  g i, 3 d g h i n u
18,Jeju-96_nose-1,,Jeju,96_nose,kʰo,kʰo,kʰ o,,Ogura1944,,,^ kʰ o $,default,kh~ o,kh~ o
19,Jeju-86_mouth-1,,Jeju,86_mouth,kul-rɛ-k'wa-i,kul-rɛ-k'wa-i,k u l + ɾ ɛ + k͈ w a + i,,Nanmal2010,,,^ k u l - r ɛ - k' w a - i $,default,k u l  r E  k w a  i, E a i k l r u w
20,Jeju-222_tooth-1,,Jeju,222_tooth,nɨy-p'al,nɨy-p'al,n ɨ j + p͈ a l,,Ogura1944,,,^ n ɨ y - p' a l $,default,n 3 y  p a l, 3 a l n p y
21,Jeju-221_tongue-1,,Jeju,221_tongue,se-k'a-dak,se-k'a-dak,s e + k͈ a + d a k,,Ogura1944,,,^ s e - k' a - d a k $,default,s e  k a  d a k, a d e k s
22,Jeju-216_tovomit-1,,Jeju,216_tovomit,nɛ-cʰi-,nɛ-cʰi-,n ɛ + tɕʰ i,,Nanmal2010,,,^ n ɛ - cʰ i -$,default,n E  tSh~ i, E i n tSh~
23,Jeju-203_tospit-1,,Jeju,203_tospit,pa-k'ɨ-,pa-k'ɨ-,p a + k͈ ɨ,,Nanmal2010,,,^ p a - k' ɨ -$,default,p a  k 3, 3 a k p
24,Jeju-168_toeat-1,,Jeju,168_toeat,məŋ-nɨn-,məŋ-nɨn-,m ə ŋ + n ɨ n,,Ogura1944,,,^ m ə ŋ - n ɨ n -$,default,m 3 N  n 3 n, 3 N m n
25,Jeju-156_tochew-1,,Jeju,156_tochew,nə-ɨl-,nə-ɨl-,n ə + ɨ l,,Nanmal2010,,,^ n ə - ɨ l -$,default,n 3  3 l, 3 l n
26,Jeju-160_tocook-1,,Jeju,160_tocook,jo-ri-,jo-ri-,dʑ o + ɾ i,,Ogura1944,,,^ j o - r i -$,default,dZ o  r i, dZ i o r
27,Jeju-209_tosuck-1,,Jeju,209_tosuck,p'ɔn-,p'ɔn-,p͈ ɔ n,,Ogura1944,,,^ p' ɔ n -$,default,p o n,n o p
28,Jeju-31_ear-1,,Jeju,31_ear,kwi-twi-i,kwi-twi-i,k w i + t w i + i,,Nanmal2010,,,^ k w i - t w i - i $,default,k w i  t w i  i, i k t w
29,Jeju-178_tohear-1,,Jeju,178_tohear,tɨn-nɨn-,tɨn-nɨn-,t ɨ n + n ɨ n,,Ogura1944,,,^ t ɨ n - n ɨ n -$,default,t 3 n  n 3 n, 3 n t
30,Jeju-35_eye-1,,Jeju,35_eye,nun-k'a-ri,nun-k'a-ri,n u n + k͈ a + ɾ i,,Nanmal2010,,,^ n u n - k' a - r i $,default,n u n  k a  r i, a i k n r u
31,Jeju-220_toyawn-1,,Jeju,220_toyawn,ha-ui-jem,ha-ui-jem,h a + u i + dʑ e m,,Nanmal2010,,,^h a - u i - j e m $,default,h a  u i  dZ e m, a dZ e h i m u
32,Jeju-202_tosleep-1,,Jeju,202_tosleep,can-,can-,tɕ a n,,Ogura1944,,,^ c a n -$,default,tS a n,a n tS
33,Jeju-186_toliedown-1,,Jeju,186_toliedown,nuk-,nuk-,n u k,,Nanmal2010,,,^ n u k -$,default,n u k,k n u
34,Jeju-201_tosit-1,,Jeju,201_tosit,at-,at-,a t,,Nanmal2010,,,^ a t -$,default,a t,a t
35,Jeju-103_personhumanbeing-1,,Jeju,103_personhumanbeing,sa:-ram,sa:-ram,s aː + ɾ a m,,Ogura1944,,,^ s a: - r a m $,default,s a  r a m, a m r s
36,Jeju-79_manmale-1,,Jeju,79_manmale,sa-na-i,sa-na-i,s a + n a + i,,Ogura1944,,,^ s a - n a - i $,default,s a  n a  i, a i n s
