,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Duhumbi-1_1sg-1,,Duhumbi,1_1sg,ga,ga,g a,,Lieberherr2017,101,,^g a$,default,g a,a g
1,Duhumbi-2_2sg-1,,Duhumbi,2_2sg,naŋ,naŋ,n a ŋ,,Lieberherr2017,301,,^n a ŋ$,default,n a N,N a n
2,Duhumbi-3_3sg-1,,Duhumbi,3_3sg,wɔj,wɔj,w ɔ j,,Lieberherr2017,501,,^w ɔ j$,default,w o y,o w y
3,Duhumbi-4_ant-1,,Duhumbi,4_ant,kʰin-ʨʰɔk,kʰin-ʨʰɔk,kʰ i n + tɕʰ ɔ k,,Lieberherr2017,701,,^kʰ i n - ʨʰ ɔ k$,default,kh~ i n  tSh~ o k, i k kh~ n o tSh~
4,Duhumbi-5_armhand-1,,Duhumbi,5_armhand,hut,hut,h u t,,Lieberherr2017,901,,^h u t$,default,h u t,h t u
5,Duhumbi-6_ash-1,,Duhumbi,6_ash,ʨʰu-pʰak,ʨʰu-pʰak,tɕʰ u + pʰ a k,,Lieberherr2017,1101,,^ʨʰ u - pʰ a k$,default,tSh~ u  ph~ a k, a k ph~ tSh~ u
6,Duhumbi-7_big-1,,Duhumbi,7_big,ɔ-dɔk,ɔ-dɔk,ɔ + d ɔ k,,Lieberherr2017,1301,,^ɔ - d ɔ k$,default,o  d o k, d k o
7,Duhumbi-8_bird-1,,Duhumbi,8_bird,hwa,hwa,w̥ a,,Lieberherr2017,1501,,^hw a$,default,w a,a w
8,Duhumbi-9_bite-1,,Duhumbi,9_bite,zɛk,zɛk,z ɛ k,,Lieberherr2017,1701,,^z ɛ k$,default,z E k,E k z
9,Duhumbi-10_bitter-1,,Duhumbi,10_bitter,ʨʰak-ba,ʨʰak-ba,tɕʰ a k + b a,,Lieberherr2017,1901,,^ʨʰ a k - b a$,default,tSh~ a k  b a, a b k tSh~
10,Duhumbi-11_black-1,,Duhumbi,11_black,u-ʨʰam,u-ʨʰam,u + tɕʰ a m,,Lieberherr2017,2101,,^u - ʨʰ a m$,default,u  tSh~ a m, a m tSh~ u
11,Duhumbi-12_blood-1,,Duhumbi,12_blood,hɔj,hɔj,h ɔ j,,Lieberherr2017,2301,,^h ɔ j$,default,h o y,h o y
12,Duhumbi-13_bone-1,,Duhumbi,13_bone,ɕa-kʰus,ɕa-kʰus,ɕ a + kʰ u s,,Lieberherr2017,2501,,^ɕ a - kʰ u s$,default,S a  kh~ u s, S a kh~ s u
13,Duhumbi-14_breast-1,,Duhumbi,14_breast,nu,nu,n u,,Lieberherr2017,2701,,^n u$,default,n u,n u
14,Duhumbi-15_toburnit-1,,Duhumbi,15_toburnit,haj,haj,h a j,,Lieberherr2017,2901,,^h a j$,default,h a y,a h y
15,Duhumbi-16_tocarryonback-1,,Duhumbi,16_tocarryonback,bu,bu,b u,,Lieberherr2017,3101,,^b u$,default,b u,b u
16,Duhumbi-17_cloud-1,,Duhumbi,17_cloud,mukpa,mukpa,m u k p a,,Lieberherr2017,3301,,^m u k p a$,default,m u k p a,a k m p u
17,Duhumbi-18_tocryweep-1,,Duhumbi,18_tocryweep,kʰip,kʰip,kʰ i p,,Lieberherr2017,3501,,^kʰ i p$,default,kh~ i p,i kh~ p
18,Duhumbi-19_todie-1,,Duhumbi,19_todie,i,i,i,,Lieberherr2017,3701,,^i $,default,i,i
19,Duhumbi-20_todomake-1,,Duhumbi,20_todomake,le,le,l e,,Lieberherr2017,3901,,^l e$,default,l e,e l
20,Duhumbi-21_dog-1,,Duhumbi,21_dog,wa-tʰi,wa-tʰi,w a + tʰ i,,Lieberherr2017,4101,,^w a - tʰ i$,default,w a  th~ i, a i th~ w
21,Duhumbi-22_drink-1,,Duhumbi,22_drink,ɲiŋ,ɲiŋ,ɲ i ŋ,,Lieberherr2017,4301,,^ɲ i ŋ$,default,5 i N,5 N i
22,Duhumbi-23_dry-1,,Duhumbi,23_dry,wa-ar,wa-ar,w a + a r,,Lieberherr2017,4501,,^w a - a r$,default,w a  a r, a r w
23,Duhumbi-24_ear-1,,Duhumbi,24_ear,kʰu-tʰuŋ,kʰu-tʰuŋ,kʰ u + tʰ u ŋ,,Lieberherr2017,4701,,^kʰ u - tʰ u ŋ$,default,kh~ u  th~ u N, N kh~ th~ u
24,Duhumbi-25_eat-1,,Duhumbi,25_eat,ʨʰa,ʨʰa,tɕʰ a,,Lieberherr2017,4901,,^ʨʰ a$,default,tSh~ a,a tSh~
25,Duhumbi-26_egg-1,,Duhumbi,26_egg,hɔj-ʥɔŋ,hɔj-ʥɔŋ,h ɔ j + dʑ ɔ ŋ,,Lieberherr2017,5101,,^h ɔ j - ʥ ɔ ŋ$,default,h o y  dZ o N, N dZ h o y
26,Duhumbi-27_eye-1,,Duhumbi,27_eye,kʰu-m,kʰu-m,kʰ u + m,,Lieberherr2017,5303,,^kʰ u - m$,default,kh~ u  m, kh~ m u
27,Duhumbi-28_far-1,,Duhumbi,28_far,tʰa-u-ɹiŋ,tʰa-u-ɹiŋ,tʰ a + u + ɹ i ŋ,,Lieberherr2017,5501,,^tʰ a - u - ɹ i ŋ$,default,th~ a  u  r i N, N a i r th~ u
28,Duhumbi-29_fat-1,,Duhumbi,29_fat,ɔ-jɔw,ɔ-jɔw,ɔ + j ɔ w,,Lieberherr2017,5701,,^ɔ - j ɔ w$,default,o  y o w, o w y
29,Duhumbi-30_fingernail-1,,Duhumbi,30_fingernail,hut-ʦun,hut-ʦun,h u t + ts u n,,Lieberherr2017,5901,,^h u t - ʦ u n$,default,h u t  ts u n, h n t ts u
