ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
german-965_world-1,,german,965_world,Welt,vɛlt,v ɛ l t,,List2014c,,false,^ v ɛ l t $,default
french-965_world-1,,french,965_world,monde,mɔ̃d,m ɔ̃ d,,List2014c,,false,^ m ɔ̃ d $,default
dutch-965_world-1,,dutch,965_world,wereld,weːrəlt,w eː r ə l t,,List2014c,,false,^ w eː r ə l t $,default
english-965_world-1,,english,965_world,world,wɜːld,w ɜː l d,,List2014c,,false,^ w ɜː l d $,default
german-964_earthland-1,,german,964_earthland,Erde,eːrdə,eː r d ə,,List2014c,,false,^ eː r d ə $,default
german-964_earthland-2,,german,964_earthland,Land,lant,l a n t,,List2014c,,false,^ l a n t $,default
french-964_earthland-1,,french,964_earthland,terre,tɛʁ,t ɛ ʁ,,List2014c,,false,^ t ɛ ʁ $,default
dutch-964_earthland-1,,dutch,964_earthland,land,lɑnt,l ɑ n t,,List2014c,,false,^ l ɑ n t $,default
english-964_earthland-1,,english,964_earthland,land,lænd,l æ n d,,List2014c,,false,^ l æ n d $,default
german-963_earthgroundsoil-1,,german,963_earthgroundsoil,Erde,eːrdə,eː r d ə,,List2014c,,false,^ eː r d ə $,default
german-963_earthgroundsoil-2,,german,963_earthgroundsoil,Boden,boːdən,b oː d ə n,,List2014c,,false,^ b oː d ə n $,default
french-963_earthgroundsoil-1,,french,963_earthgroundsoil,terre,tɛʁ,t ɛ ʁ,,List2014c,,false,^ t ɛ ʁ $,default
french-963_earthgroundsoil-2,,french,963_earthgroundsoil,sol,sɔl,s ɔ l,,List2014c,,false,^ s ɔ l $,default
dutch-963_earthgroundsoil-1,,dutch,963_earthgroundsoil,bodem,boːdəm,b oː d ə m,,List2014c,,false,^ b oː d ə m $,default
english-963_earthgroundsoil-1,,english,963_earthgroundsoil,soil,sɔɪl,s ɔ ɪ l,,List2014c,,true,^ s ɔ ɪ l $,default
german-960_mud-1,,german,960_mud,Schlamm,ʃlam,ʃ l a m,,List2014c,,false,^ ʃ l a m $,default
german-960_mud-2,,german,960_mud,Dreck,drɛk,d r ɛ k,,List2014c,,false,^ d r ɛ k $,default
french-960_mud-1,,french,960_mud,boue,bu,b u,,List2014c,,false,^ b u $,default
dutch-960_mud-1,,dutch,960_mud,modder,mɔdər,m ɔ d ə r,,List2014c,,false,^ m ɔ d ə r $,default
english-960_mud-1,,english,960_mud,mud,mʌd,m ʌ d,,List2014c,,false,^ m ʌ d $,default
german-961_sand-1,,german,961_sand,Sand,zant,z a n t,,List2014c,,false,^ z a n t $,default
french-961_sand-1,,french,961_sand,sable,sɑbl,s ɑ b l,,List2014c,,false,^ s ɑ b l $,default
dutch-961_sand-1,,dutch,961_sand,zand,zɑnt,z ɑ n t,,List2014c,,false,^ z ɑ n t $,default
english-961_sand-1,,english,961_sand,sand,sænd,s æ n d,,List2014c,,false,^ s æ n d $,default
german-959_mountainhill-1,,german,959_mountainhill,Berg,bɛrk,b ɛ r k,,List2014c,,false,^ b ɛ r k $,default
german-959_mountainhill-2,,german,959_mountainhill,Hügel,hyːɡəl,h yː ɡ ə l,,List2014c,,false,^ h yː ɡ ə l $,default
french-959_mountainhill-1,,french,959_mountainhill,montagne,mɔ̃taɲ,m ɔ̃ t a ɲ,,List2014c,,false,^ m ɔ̃ t a ɲ $,default
french-959_mountainhill-2,,french,959_mountainhill,colline,kɔlin,k ɔ l i n,,List2014c,,false,^ k ɔ l i n $,default
dutch-959_mountainhill-1,,dutch,959_mountainhill,berg,bɛrx,b ɛ r x,,List2014c,,false,^ b ɛ r x $,default
dutch-959_mountainhill-2,,dutch,959_mountainhill,heuvel,høːvəl,h øː v ə l,,List2014c,,false,^ h øː v ə l $,default
english-959_mountainhill-1,,english,959_mountainhill,mountain,maʊntɪn,m aʊ n t ɪ n,,List2014c,,true,^ m aʊ n t ɪ n $,default
english-959_mountainhill-2,,english,959_mountainhill,hill,hɪl,h ɪ l,,List2014c,,false,^ h ɪ l $,default
german-958_cliffprecipice-1,,german,958_cliffprecipice,Klippe,klɪpə,k l ɪ p ə,,List2014c,,false,^ k l ɪ p ə $,default
french-958_cliffprecipice-1,,french,958_cliffprecipice,falaise,falɛz,f a l ɛ z,,List2014c,,false,^ f a l ɛ z $,default
french-958_cliffprecipice-2,,french,958_cliffprecipice,escarpement,ɛskaʀpəmɑ̃,ɛ s k a ʀ p ə m ɑ̃,,List2014c,,false,^ ɛ s k a ʀ p ə m ɑ̃ $,default
dutch-958_cliffprecipice-1,,dutch,958_cliffprecipice,klif,klɪf,k l ɪ f,,List2014c,,false,^ k l ɪ f $,default
english-958_cliffprecipice-1,,english,958_cliffprecipice,cliff,klɪf,k l ɪ f,,List2014c,,false,^ k l ɪ f $,default
english-958_cliffprecipice-2,,english,958_cliffprecipice,precipice,prɛsɪpɪs,p r ɛ s ɪ p ɪ s,,List2014c,,false,^ p r ɛ s ɪ p ɪ s $,default
german-957_plainfield-1,,german,957_plainfield,Ebene,eːbənə,eː b ə n ə,,List2014c,,false,^ eː b ə n ə $,default
german-957_plainfield-2,,german,957_plainfield,Fläche,flɛxə,f l ɛ x ə,,List2014c,,false,^ f l ɛ x ə $,default
german-957_plainfield-3,,german,957_plainfield,Feld,fɛlt,f ɛ l t,,List2014c,,false,^ f ɛ l t $,default
french-957_plainfield-1,,french,957_plainfield,plaine,plɛn,p l ɛ n,,List2014c,,false,^ p l ɛ n $,default
french-957_plainfield-2,,french,957_plainfield,campagne,kɑ̃paɲ,k ɑ̃ p a ɲ,,List2014c,,false,^ k ɑ̃ p a ɲ $,default
dutch-957_plainfield-1,,dutch,957_plainfield,vlakte,vlɑktə,v l ɑ k t ə,,List2014c,,false,^ v l ɑ k t ə $,default
english-957_plainfield-1,,english,957_plainfield,plain,pleɪn,p l eɪ n,,List2014c,,true,^ p l eɪ n $,default
german-956_valley-1,,german,956_valley,Tal,taːl,t aː l,,List2014c,,false,^ t aː l $,default
french-956_valley-1,,french,956_valley,vallée,vale,v a l e,,List2014c,,false,^ v a l e $,default
dutch-956_valley-1,,dutch,956_valley,vallei,vɑlɛɪ,v ɑ l ɛɪ,,List2014c,,true,^ v ɑ l ɛɪ $,default
dutch-956_valley-2,,dutch,956_valley,dal,dɑl,d ɑ l,,List2014c,,false,^ d ɑ l $,default
english-956_valley-1,,english,956_valley,valley,vælɪ,v æ l ɪ,,List2014c,,true,^ v æ l ɪ $,default
german-954_mainland-1,,german,954_mainland,Festland,fɛst-lant,f ɛ s t + l a n t,,List2014c,,false,^ f ɛ s t - l a n t $,default
french-954_mainland-1,,french,954_mainland,continent,kɔ̃tinɑ̃,k ɔ̃ t i n ɑ̃,,List2014c,,false,^ k ɔ̃ t i n ɑ̃ $,default
dutch-954_mainland-1,,dutch,954_mainland,vasteland,vɑstə-lɑnt,v ɑ s t ə + l ɑ n t,,List2014c,,false,^ v ɑ s t ə - l ɑ n t $,default
english-954_mainland-1,,english,954_mainland,mainland,meɪn-lənd,m eɪ n + l ə n d,,List2014c,,false,^ m eɪ n - l ə n d $,default
german-953_shore-1,,german,953_shore,Ufer,uːfər,uː f ə r,,List2014c,,false,^ uː f ə r $,default
german-953_shore-2,,german,953_shore,Strand,ʃtrant,ʃ t r a n t,,List2014c,,false,^ ʃ t r a n t $,default
french-953_shore-1,,french,953_shore,rivage,ʀivaʒ,ʀ i v a ʒ,,List2014c,,false,^ ʀ i v a ʒ $,default
french-953_shore-2,,french,953_shore,côte,kot,k o t,,List2014c,,false,^ k o t $,default
french-953_shore-3,,french,953_shore,littoral,litɔʀal,l i t ɔ ʀ a l,,List2014c,,false,^ l i t ɔ ʀ a l $,default
dutch-953_shore-1,,dutch,953_shore,oever,uːvər,uː v ə r,,List2014c,,false,^ uː v ə r $,default
english-953_shore-1,,english,953_shore,shore,ʃɔːr,ʃ ɔː r,,List2014c,,false,^ ʃ ɔː r $,default
german-951_water-1,,german,951_water,Wasser,vasər,v a s ə r,,List2014c,,false,^ v a s ə r $,default
french-951_water-1,,french,951_water,eau,o,o,,List2014c,,false,^ o $,default
dutch-951_water-1,,dutch,951_water,water,waːtər,w aː t ə r,,List2014c,,false,^ w aː t ə r $,default
english-951_water-1,,english,951_water,water,wɔːtər,w ɔː t ə r,,List2014c,,false,^ w ɔː t ə r $,default
german-949_sea-1,,german,949_sea,See,zeː,z eː,,List2014c,,false,^ z eː $,default
french-949_sea-1,,french,949_sea,mer,mɛʁ,m ɛ ʁ,,List2014c,,false,^ m ɛ ʁ $,default
dutch-949_sea-1,,dutch,949_sea,zee,zeː,z eː,,List2014c,,false,^ z eː $,default
english-949_sea-1,,english,949_sea,sea,siː,s iː,,List2014c,,false,^ s iː $,default
german-950_calmofsea-1,,german,950_calmofsea,Meeresstille,meːrəs-ʃtɪlə,m eː r ə s + ʃ t ɪ l ə,,List2014c,,false,^ m eː r ə s - ʃ t ɪ l ə $,default
french-950_calmofsea-1,,french,950_calmofsea,étale,etale,e t a l e,,List2014c,,false,^ e t a l e $,default
dutch-950_calmofsea-1,,dutch,950_calmofsea,kalm,kɑlm,k ɑ l m,,List2014c,,false,^ k ɑ l m $,default
dutch-950_calmofsea-2,,dutch,950_calmofsea,rustig,rʉstəx,r ʉ s t ə x,,List2014c,,false,^ r ʉ s t ə x $,default
english-950_calmofsea-1,,english,950_calmofsea,calm,kɑːm,k ɑː m,,List2014c,,false,^ k ɑː m $,default
german-948_roughofsea-1,,german,948_roughofsea,rauh,rau,r au,,List2014c,,false,^ r au $,default
french-948_roughofsea-1,,french,948_roughofsea,trouble,tʀubl,t ʀ u b l,,List2014c,,false,^ t ʀ u b l $,default
french-948_roughofsea-2,,french,948_roughofsea,agité,aʒite,a ʒ i t e,,List2014c,,false,^ a ʒ i t e $,default
dutch-948_roughofsea-1,,dutch,948_roughofsea,ruw,ryːw,r yː w,,List2014c,,false,^ r yː w $,default
english-948_roughofsea-1,,english,948_roughofsea,rough,rʌf,r ʌ f,,List2014c,,false,^ r ʌ f $,default
german-947_foam-1,,german,947_foam,Schaum,ʃaum,ʃ au m,,List2014c,,false,^ ʃ au m $,default
french-947_foam-1,,french,947_foam,écume,ekym,e k y m,,List2014c,,false,^ e k y m $,default
