,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,german-965_world-1,,german,965_world,Welt,vɛlt,v ɛ l t,,List2014c,,False,^ v ɛ l t $,default,v E l t,E l t v
1,french-965_world-1,,french,965_world,monde,mɔ̃d,m ɔ̃ d,,List2014c,,False,^ m ɔ̃ d $,default,m o* d,d m o*
2,dutch-965_world-1,,dutch,965_world,wereld,weːrəlt,w eː r ə l t,,List2014c,,False,^ w eː r ə l t $,default,w e r 3 l t,3 e l r t w
3,english-965_world-1,,english,965_world,world,wɜːld,w ɜː l d,,List2014c,,False,^ w ɜː l d $,default,w 3 l d,3 d l w
4,german-964_earthland-1,,german,964_earthland,Erde,eːrdə,eː r d ə,,List2014c,,False,^ eː r d ə $,default,e r d 3,3 d e r
5,german-964_earthland-2,,german,964_earthland,Land,lant,l a n t,,List2014c,,False,^ l a n t $,default,l a n t,a l n t
6,french-964_earthland-1,,french,964_earthland,terre,tɛʁ,t ɛ ʁ,,List2014c,,False,^ t ɛ ʁ $,default,t E X,E X t
7,dutch-964_earthland-1,,dutch,964_earthland,land,lɑnt,l ɑ n t,,List2014c,,False,^ l ɑ n t $,default,l o n t,l n o t
8,english-964_earthland-1,,english,964_earthland,land,lænd,l æ n d,,List2014c,,False,^ l æ n d $,default,l E n d,E d l n
9,german-963_earthgroundsoil-1,,german,963_earthgroundsoil,Erde,eːrdə,eː r d ə,,List2014c,,False,^ eː r d ə $,default,e r d 3,3 d e r
10,german-963_earthgroundsoil-2,,german,963_earthgroundsoil,Boden,boːdən,b oː d ə n,,List2014c,,False,^ b oː d ə n $,default,b o d 3 n,3 b d n o
11,french-963_earthgroundsoil-1,,french,963_earthgroundsoil,terre,tɛʁ,t ɛ ʁ,,List2014c,,False,^ t ɛ ʁ $,default,t E X,E X t
12,french-963_earthgroundsoil-2,,french,963_earthgroundsoil,sol,sɔl,s ɔ l,,List2014c,,False,^ s ɔ l $,default,s o l,l o s
13,dutch-963_earthgroundsoil-1,,dutch,963_earthgroundsoil,bodem,boːdəm,b oː d ə m,,List2014c,,False,^ b oː d ə m $,default,b o d 3 m,3 b d m o
