,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Prosody,Morphemes,asjp_forms,asjp_segs
0,Beijing-Liu-2007-201-91-1,,Beijing,Liu-2007-201-91,tʰu⁵¹,tʰu⁵¹,tʰ u ⁵¹,,Liu2007,,,,,i n t,,th~ u , th~ u
1,Haerbin-Liu-2007-201-91-1,,Haerbin,Liu-2007-201-91,tʰu⁵³,tʰu⁵³,tʰ u ⁵³,,Liu2007,,,,,i n t,,th~ u , th~ u
2,Jinan-Liu-2007-201-91-1,,Jinan,Liu-2007-201-91,tʰu³¹,tʰu³¹,tʰ u ³¹,,Liu2007,,,,,i n t,,th~ u , th~ u
3,Rongcheng-Liu-2007-201-91-1,,Rongcheng,Liu-2007-201-91,ou²¹³⁻³⁵ tʰu²¹⁴,ou²¹³⁻³⁵ tʰu²¹⁴,ou ²¹³ + tʰ u ²¹⁴,,Liu2007,,,,,n t + i n t,,ou   th~ u , ou th~ u
4,Taiyuan-Liu-2007-201-91-1,,Taiyuan,Liu-2007-201-91,tʰu⁵³ lə⁰,tʰu⁵³ lə⁰,tʰ u ⁵³ + l ə ⁰,,Liu2007,,,,,i n t + i n t,,th~ u   l 3 , 3 l th~ u
5,XiAn-Liu-2007-201-91-1,,XiAn,Liu-2007-201-91,ŋou²¹ tʰu⁵³,ŋou²¹ tʰu⁵³,ŋ ou ²¹ + tʰ u ⁵³,,Liu2007,,,,,i n t + i n t,,N ou   th~ u , N ou th~ u
6,Chengdu-Liu-2007-201-91-1,,Chengdu,Liu-2007-201-91,fa²¹⁻⁵⁵ tʰu⁵³ lo²¹,fa²¹⁻⁵⁵ tʰu⁵³ lo²¹,f a ²¹ + tʰ u ⁵³ + l o ²¹,,Liu2007,,,,,i n t + i n t + i n t,,f a   th~ u   l o , a f l o th~ u
7,Chengdu-Liu-2007-201-91-2,,Chengdu,Liu-2007-201-91,tʰu⁵³⁻⁵⁵ lo²¹,tʰu⁵³⁻⁵⁵ lo²¹,tʰ u ⁵³ + l o ²¹,,Liu2007,,,,,i n t + i n t,,th~ u   l o , l o th~ u
8,Chengdu-Liu-2007-201-91-3,,Chengdu,Liu-2007-201-91,ŋəu⁵³⁻⁴⁵ lo²¹,ŋəu⁵³⁻⁴⁵ lo²¹,ŋ əu ⁵³ + l o ²¹,,Liu2007,,,,,i n t + i n t,,N 3u   l o , 3u N l o
9,Nanjing-Liu-2007-201-91-1,,Nanjing,Liu-2007-201-91,tʰu⁴⁴,tʰu⁴⁴,tʰ u ⁴⁴,,Liu2007,,,,,i n t,,th~ u , th~ u
10,Nanjing-Liu-2007-201-91-2,,Nanjing,Liu-2007-201-91,əɯ¹¹⁻²² tʰu⁴⁴⁻²²,əɯ¹¹⁻²² tʰu⁴⁴⁻²²,əɯ ¹¹ + tʰ u ⁴⁴,,Liu2007,,,,,n t + i n t,,3u   th~ u , 3u th~ u
11,Jixi-Liu-2007-201-91-1,,Jixi,Liu-2007-201-91,fɔ⁵⁵⁻⁴⁵ ŋoʔ³²*,fɔ⁵⁵⁻⁴⁵ ŋoʔ³²*,f ɔ ⁵⁵ + ŋ o ʔ ³²,,Liu2007,,,,,i n t + i n c t,,f o   N o 7 , 7 N f o
12,Suzhou-Liu-2007-201-91-1,,Suzhou,Liu-2007-201-91,ʏ⁵²,ʏ⁵²,ʏ ⁵²,,Liu2007,,,,,n t,,i , i
13,Wenzhou-Liu-2007-201-91-1,,Wenzhou,Liu-2007-201-91,tʰøy⁵¹,tʰøy⁵¹,tʰ øy ⁵¹,,Liu2007,,,,,i n t,,th~ ei , ei th~
14,Changsha-Liu-2007-201-91-1,,Changsha,Liu-2007-201-91,tʰu⁵⁵,tʰu⁵⁵,tʰ u ⁵⁵,,Liu2007,,,,,i n t,,th~ u , th~ u
15,Loudi-Liu-2007-201-91-1,,Loudi,Liu-2007-201-91,xue⁴²,xue⁴²,x w e ⁴²,,Liu2007,,,,,i m n t,,x w e , e w x
16,Loudi-Liu-2007-201-91-2,,Loudi,Liu-2007-201-91,ta³⁵⁻⁵ xue⁴²,ta³⁵⁻⁵ xue⁴²,t a ³⁵ + x w e ⁴²,,Liu2007,,,,,i n t + i m n t,,t a   x w e , a e t w x
17,Nanchang-Liu-2007-201-91-1,,Nanchang,Liu-2007-201-91,ŋiɛu²¹³,ŋiɛu²¹³,ŋ j ɛu ²¹³,,Liu2007,,,,,i m n t,,N y Eu , Eu N y
18,Nanchang-Liu-2007-201-91-2,,Nanchang,Liu-2007-201-91,tʰu²¹³,tʰu²¹³,tʰ u ²¹³,,Liu2007,,,,,i n t,,th~ u , th~ u
19,Meixian-Liu-2007-201-91-1,,Meixian,Liu-2007-201-91,pʰon³³,pʰon³³,pʰ o n ³³,,Liu2007,,,,,i n c t,,ph~ o n , n o ph~
20,Guilin-Liu-2007-201-91-1,,Guilin,Liu-2007-201-91,tʰu²⁵,tʰu²⁵,tʰ u ²⁵,,Liu2007,,,,,i n t,,th~ u , th~ u
21,Guangzhou-Liu-2007-201-91-1,,Guangzhou,Liu-2007-201-91,ŋɐu³⁵ tʰou³³,ŋɐu³⁵ tʰou³³,ŋ ɐu ³⁵ + tʰ ou ³³,,Liu2007,,,,,i n t + i n t,,N au   th~ ou , N au ou th~
22,Fuzhou-Liu-2007-201-91-1,,Fuzhou,Liu-2007-201-91,tʰou²¹²,tʰou²¹²,tʰ ou ²¹²,,Liu2007,,,,,i n t,,th~ ou , ou th~
23,Xiamen-Liu-2007-201-91-1,,Xiamen,Liu-2007-201-91,tʰo²¹,tʰo²¹,tʰ o ²¹,,Liu2007,,,,,i n t,,th~ o , o th~
24,Beijing-Liu-2007-201-92-1,,Beijing,Liu-2007-201-92,pʰᴀ⁵¹,pʰᴀ⁵¹,pʰ a̠ ⁵¹,,Liu2007,,,,,i n t,,ph~ a , a ph~
25,Haerbin-Liu-2007-201-92-1,,Haerbin,Liu-2007-201-92,pʰa⁵³,pʰa⁵³,pʰ a ⁵³,,Liu2007,,,,,i n t,,ph~ a , a ph~
26,Jinan-Liu-2007-201-92-1,,Jinan,Liu-2007-201-92,pʰa³¹,pʰa³¹,pʰ a ³¹,,Liu2007,,,,,i n t,,ph~ a , a ph~
27,Rongcheng-Liu-2007-201-92-1,,Rongcheng,Liu-2007-201-92,pʰa³³⁴,pʰa³³⁴,pʰ a ³³⁴,,Liu2007,,,,,i n t,,ph~ a , a ph~
28,Taiyuan-Liu-2007-201-92-1,,Taiyuan,Liu-2007-201-92,pʰa⁴⁵,pʰa⁴⁵,pʰ a ⁴⁵,,Liu2007,,,,,i n t,,ph~ a , a ph~
29,XiAn-Liu-2007-201-92-1,,XiAn,Liu-2007-201-92,pʰɑ⁴⁴,pʰɑ⁴⁴,pʰ ɑ ⁴⁴,,Liu2007,,,,,i n t,,ph~ o , o ph~
30,Chengdu-Liu-2007-201-92-1,,Chengdu,Liu-2007-201-92,pʰa²¹³,pʰa²¹³,pʰ a ²¹³,,Liu2007,,,,,i n t,,ph~ a , a ph~
31,Chengdu-Liu-2007-201-92-2,,Chengdu,Liu-2007-201-92,tsʰa²¹³,tsʰa²¹³,tsʰ a ²¹³,,Liu2007,,,,,i n t,,tsh~ a , a tsh~
32,Nanjing-Liu-2007-201-92-1,,Nanjing,Liu-2007-201-92,pʰɑ⁴⁴,pʰɑ⁴⁴,pʰ ɑ ⁴⁴,,Liu2007,,,,,i n t,,ph~ o , o ph~
33,Jixi-Liu-2007-201-92-1,,Jixi,Liu-2007-201-92,pʰo³⁵,pʰo³⁵,pʰ o ³⁵,,Liu2007,,,,,i n t,,ph~ o , o ph~
