,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Achang-1_sky-1,Achang-1-2,Achang,1_sky,mau³⁴ kʰoŋ³²,mau³⁴ kʰoŋ³²,m au ³⁴ + kʰ o ŋ ³²,,Mann1998,,,^ m au ³⁴ + kʰ o ŋ ³² $,default,m au   kh~ o N , N au kh~ m o
1,Bela-1_sky-1,Bela-1,Bela,1_sky,mau⁵²,mau⁵²,m au ⁵²,,Mann1998,,,^ m au ⁵² $,default,m au , au m
2,Lashi-1_sky-1,Lashi-1-2,Lashi,1_sky,mau³ kʰoŋ³¹,mau³ kʰoŋ³¹,m au ³ + kʰ o ŋ ³¹,,Mann1998,,,^ m au ³ + kʰ o ŋ ³¹ $,default,m au   kh~ o N , N au kh~ m o
3,Maru-1_sky-1,Maru-1-2,Maru,1_sky,moɂ³⁵ gauŋ⁵¹,moɂ³⁵ gauŋ⁵¹,m o ʔ ³⁵ + g au ŋ ⁵¹,,Mann1998,,,^ m o ɂ ³⁵ + g au ŋ ⁵¹ $,default,m o 7   g au N , 7 N au g m o
4,Phon-1_sky-1,Phon-1,Phon,1_sky,mu³¹,mu³¹,m u ³¹,,Mann1998,,,^ m u ³¹ $,default,m u , m u
5,WrittenBurmese-1_sky-1,WrittenBurmese-1-2,WrittenBurmese,1_sky,mui: kauŋ:,mui: kauŋ:,m u/w iː + k au ŋː/ŋ,,Mann1998,,,^ m ui: + k au ŋ: $,default,m u w i  k au N N, N au i k m u w
6,Zaiwa-1_sky-1,Zaiwa-1-2,Zaiwa,1_sky,mau³ kʰuŋ⁵³,mau³ kʰuŋ⁵³,m au ³ + kʰ u ŋ ⁵³,,Mann1998,,,^ m au ³ + kʰ u ŋ ⁵³ $,default,m au   kh~ u N , N au kh~ m u
7,Achang-2_sun-1,Achang-3,Achang,2_sun,pui³¹,pui³¹,p u/w i ³¹,,Mann1998,,,^ p ui ³¹ $,default,p u w i , i p u w
8,Bela-2_sun-1,Bela-3,Bela,2_sun,pui³,pui³,p u/w i ³,,Mann1998,,,^ p ui ³ $,default,p u w i , i p u w
9,Lashi-2_sun-1,Lashi-3,Lashi,2_sun,be⁵¹,be⁵¹,b e ⁵¹,,Mann1998,,,^ b e ⁵¹ $,default,b e , b e
10,Maru-2_sun-1,Maru-3,Maru,2_sun,ba³¹,ba³¹,b a ³¹,,Mann1998,,,^ b a ³¹ $,default,b a , a b
11,WrittenBurmese-2_sun-1,WrittenBurmese-3,WrittenBurmese,2_sun,pauŋ:,pauŋ:,p au ŋː/ŋ,,Mann1998,,,^ p au ŋ: $,default,p au N N,N au p
12,Zaiwa-2_sun-1,Zaiwa-3,Zaiwa,2_sun,bui³,bui³,b u/w i ³,,Mann1998,,,^ b ui ³ $,default,b u w i , b i u w
13,Achang-3_moon-1,Achang-4-5,Achang,3_moon,lạ⁵ mụ⁵,lạ⁵ mụ⁵,l a̰ ⁵ + m ṵ ⁵,,Mann1998,,,^ l ạ ⁵ + m ụ ⁵ $,default,l a   m u , a l m u
14,Bela-3_moon-1,Bela-4-5,Bela,3_moon,lẹ²³ mə⁵²,lẹ²³ mə⁵²,l ḛ ²³ + m ə ⁵²,,Mann1998,,,^ l ẹ ²³ + m ə ⁵² $,default,l e   m 3 , 3 e l m
15,Lashi-3_moon-1,Lashi-4-5,Lashi,3_moon,la⁵ mɔ⁵³,la⁵ mɔ⁵³,l a ⁵ + m ɔ ⁵³,,Mann1998,,,^ l a ⁵ + m ɔ ⁵³ $,default,l a   m o , a l m o
16,Maru-3_moon-1,Maru-4,Maru,3_moon,lọ⁴³,lọ⁴³,l o̰ ⁴³,,Mann1998,,,^ l ọ ⁴³ $,default,l o , l o
17,Phon-3_moon-1,Phon-4,Phon,3_moon,la³¹,la³¹,l a ³¹,,Mann1998,,,^ l a ³¹ $,default,l a , a l
18,WrittenBurmese-3_moon-1,WrittenBurmese-4,WrittenBurmese,3_moon,laˀ,laˀ,l aˀ,,Mann1998,,,^ l aˀ $,default,l a,a l
19,Zaiwa-3_moon-1,Zaiwa-4-5,Zaiwa,3_moon,lə⁴ mɔ⁴,lə⁴ mɔ⁴,l ə ⁴ + m ɔ ⁴,,Mann1998,,,^ l ə ⁴ + m ɔ ⁴ $,default,l 3   m o , 3 l m o
20,Achang-4_star-1,Achang-6,Achang,4_star,gi²,gi²,g i ²,,Mann1998,,,^ g i ² $,default,g i , g i
21,Bela-4_star-1,Bela-6,Bela,4_star,kị³,kị³,k ḭ ³,,Mann1998,,,^ k ị ³ $,default,k i , i k
22,Lashi-4_star-1,Lashi-6,Lashi,4_star,kị⁵³,kị⁵³,k ḭ ⁵³,,Mann1998,,,^ k ị ⁵³ $,default,k i , i k
23,Maru-4_star-1,Maru-6,Maru,4_star,gi⁵²,gi⁵²,g i ⁵²,,Mann1998,,,^ g i ⁵² $,default,g i , g i
24,WrittenBurmese-4_star-1,WrittenBurmese-6,WrittenBurmese,4_star,krai,krai,k r ai,,Mann1998,,,^ k r ai $,default,k r ai,ai k r
25,Zaiwa-4_star-1,Zaiwa-6,Zaiwa,4_star,kị⁵³,kị⁵³,k ḭ ⁵³,,Mann1998,,,^ k ị ⁵³ $,default,k i , i k
26,Achang-5_cloud-1,Achang-7,Achang,5_cloud,dʒə³²,dʒə³²,dʒ ə ³²,,Mann1998,,,^ dʒ ə ³² $,default,dZ 3 , 3 dZ
27,Bela-5_cloud-1,Bela-7,Bela,5_cloud,tsạm³,tsạm³,ts a̰ m ³,,Mann1998,,,^ ts ạ m ³ $,default,ts a m , a m ts
28,Lashi-5_cloud-1,Lashi-7,Lashi,5_cloud,dʒɛ⁵³,dʒɛ⁵³,dʒ ɛ ⁵³,,Mann1998,,,^ dʒ ɛ ⁵³ $,default,dZ E , E dZ
29,Maru-5_cloud-1,Maru-7,Maru,5_cloud,dʒạm³¹,dʒạm³¹,dʒ a̰ m ³¹,,Mann1998,,,^ dʒ ạ m ³¹ $,default,dZ a m , a dZ m
30,WrittenBurmese-5_cloud-1,WrittenBurmese-7,WrittenBurmese,5_cloud,tim,tim,t i m,,Mann1998,,,^ t i m $,default,t i m,i m t
31,Zaiwa-5_cloud-1,Zaiwa-7,Zaiwa,5_cloud,dum⁴²,dum⁴²,d u m ⁴²,,Mann1998,,,^ d u m ⁴² $,default,d u m , d m u
32,Lashi-6_mist-1,Lashi-8,Lashi,6_mist,ŋãɪ³,ŋãɪ³,ŋ ãɪ ³,,Mann1998,,,^ ŋ ãɪ ³ $,default,N a*i , N a*i
33,Maru-6_mist-1,Maru-8-9,Maru,6_mist,ŋɪn⁴² tʃʰe⁴³,ŋɪn⁴² tʃʰe⁴³,ŋ ɪ n ⁴² + tʃʰ e ⁴³,,Mann1998,,,^ ŋ ɪ n ⁴² + tʃʰ e ⁴³ $,default,N i n   tSh~ e , N e i n tSh~
34,WrittenBurmese-6_mist-1,WrittenBurmese-8,WrittenBurmese,6_mist,hnaŋ:,hnaŋ:,h n a ŋː/ŋ,,Mann1998,,,^ h n a ŋ: $,default,h n a N N,N a h n
35,Zaiwa-6_mist-1,Zaiwa-8,Zaiwa,6_mist,ŋạn⁵³,ŋạn⁵³,ŋ a̰ n ⁵³,,Mann1998,,,^ ŋ ạ n ⁵³ $,default,N a n , N a n
36,Achang-6_mist-1,Achang-9,Achang,6_mist,dʒue⁴⁵,dʒue⁴⁵,dʒ u/w e ⁴⁵,,Mann1998,,,^ dʒ ue ⁴⁵ $,default,dZ u w e , dZ e u w
37,Lashi-7_rain-1,Lashi-10,Lashi,7_rain,wɔ⁵¹,wɔ⁵¹,w ɔ ⁵¹,,Mann1998,,,^ w ɔ ⁵¹ $,default,w o , o w
38,Phon-7_rain-1,Phon-10,Phon,7_rain,waɂ⁵⁵,waɂ⁵⁵,w a ʔ ⁵⁵,,Mann1998,,,^ w a ɂ ⁵⁵ $,default,w a 7 , 7 a w
39,WrittenBurmese-7_rain-1,WrittenBurmese-10,WrittenBurmese,7_rain,rwa,rwa,r w a,,Mann1998,,,^ rw a $,default,r w a,a r w
40,Achang-8_rainbow-1,Achang-11-12-13,Achang,8_rainbow,sai³⁵ jaŋ⁵³ kan²,sai³⁵ jaŋ⁵³ kan²,s ai ³⁵ + j a ŋ ⁵³ + k a n ²,,Mann1998,,,^ s ai ³⁵ + j a ŋ ⁵³ + k a n ² $,default,s ai   y a N   k a n , N a ai k n s y
41,Lashi-8_rainbow-1,Lashi-11-12,Lashi,8_rainbow,səŋ⁴³ jɔɂ³¹,səŋ⁴³ jɔɂ³¹,s ə ŋ ⁴³ + j ɔ ʔ ³¹,,Mann1998,,,^ s ə ŋ ⁴³ + j ɔ ɂ ³¹ $,default,s 3 N   y o 7 , 3 7 N o s y
42,Maru-8_rainbow-1,Maru-11-12-13,Maru,8_rainbow,saŋk⁵³ ja⁴¹ gen⁴,saŋk⁵³ ja⁴¹ gen⁴,s a ŋ k ⁵³ + j a ⁴¹ + g e n ⁴,,Mann1998,,,^ s a ŋ k ⁵³ + j a ⁴¹ + g e n ⁴ $,default,s a N k   y a   g e n , N a e g k n s y
43,Phon-8_rainbow-1,Phon-11-12,Phon,8_rainbow,sə jʊŋ,sə jʊŋ,s ə + j ʊ ŋ,,Mann1998,,,^ s ə + j ʊ ŋ $,default,s 3  y u N, 3 N s u y
44,WrittenBurmese-8_rainbow-1,WrittenBurmese-11,WrittenBurmese,8_rainbow,sak,sak,s a k,,Mann1998,,,^ s a k $,default,s a k,a k s
45,Zaiwa-8_rainbow-1,Zaiwa-12-13,Zaiwa,8_rainbow,βʷɔɂ³² gan²,βʷɔɂ³² gan²,β w ɔ ʔ ³² + g a n ²,,Mann1998,,,^ βʷ ɔ ɂ ³² + g a n ² $,default,b w o 7   g a n , 7 a b g n o w
46,Lashi-9_lightning-1,Lashi-14,Lashi,9_lightning,læ̣p⁵³,læ̣p⁵³,l æ̰ p ⁵³,,Mann1998,,,^ l æ̣ p ⁵³ $,default,l E p , E l p
47,WrittenBurmese-9_lightning-1,WrittenBurmese-14,WrittenBurmese,9_lightning,hljap,hljap,h l j a p,,Mann1998,,,^ h l j a p $,default,h l y a p,a h l p y
48,Zaiwa-9_lightning-1,Zaiwa-14,Zaiwa,9_lightning,lạp⁴,lạp⁴,l a̰ p ⁴,,Mann1998,,,^ l ạ p ⁴ $,default,l a p , a l p
49,Lashi-10_thunder-1,Lashi-15,Lashi,10_thunder,guɛm³,guɛm³,g u/w ɛ m ³,,Mann1998,,,^ g uɛ m ³ $,default,g u w E m , E g m u w
50,WrittenBurmese-10_thunder-1,WrittenBurmese-15,WrittenBurmese,10_thunder,krui:,krui:,k r u/w iː,,Mann1998,,,^ k r ui: $,default,k r u w i,i k r u w
51,Zaiwa-10_thunder-1,Zaiwa-15,Zaiwa,10_thunder,gum⁵³,gum⁵³,g u m ⁵³,,Mann1998,,,^ g u m ⁵³ $,default,g u m , g m u
52,Achang-11_shadow-1,Achang-16,Achang,11_shadow,jæt²¹,jæt²¹,j æ t ²¹,,Mann1998,,,^ j æ t ²¹ $,default,y E t , E t y
53,Lashi-11_shadow-1,Lashi-16-17,Lashi,11_shadow,jø̣p³ paŋ⁵³,jø̣p³ paŋ⁵³,j ø p ³ + p a ŋ ⁵³,,Mann1998,,,^ j ø̣ p ³ + p a ŋ ⁵³ $,default,y e p   p a N , N a e p y
