,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Borong-1_i-1,90452,Borong,1_i,ni,ni,n i,I,McElhanon1967,,,^ n i $,default,n i,i n
1,Borong-89_where-1,91684,Borong,89_where,daaŋeŋ,daaŋeŋ,d a a ŋ e ŋ,where,McElhanon1967,,,^ d a a ŋ e ŋ $,default,d a a N e N,N a d e
2,Borong-2_thou-1,90466,Borong,2_thou,gi,gi,g i,thou,McElhanon1967,,,^ g i $,default,g i,g i
3,Borong-110_itsflower-1,91978,Borong,110_itsflower,dzura-,dzura-,dz u r a,(its) flower,McElhanon1967,,,^ dz u r a -$,default,dz u r a,a dz r u
4,Borong-3_we-1,90480,Borong,3_we,nono,nono,n o n o,we,McElhanon1967,,,^ n o n o $,default,n o n o,n o
5,Borong-98_hethrows-1,91810,Borong,98_hethrows,mesao-,mesao-,m e s a o,(he) throws,McElhanon1967,,,^ m e s a o -$,default,m e s a o,a e m o s
6,Borong-10_hesays-1,90578,Borong,10_hesays,dzo-,dzo-,dz o,(he) says,McElhanon1967,,,^ dz o -$,default,dz o,dz o
7,Borong-117_itswing-1,92076,Borong,117_itswing,eŋgaŋ-,eŋgaŋ-,e ŋ g a ŋ,(its) wing,McElhanon1967,,,^ e ŋ g a ŋ -$,default,e N g a N,N a e g
8,Borong-19_hegivesme-1,90704,Borong,19_hegivesme,non-,non-,n o n,(he) gives me,McElhanon1967,,,^ n o n -$,default,n o n,n o
9,Borong-126_dull-1,92202,Borong,126_dull,dzitakpaak,dzitakpaak,dz i t a kp a a k,dull,McElhanon1967,,,^ dz i t a kp a a k $,default,dz i t a kp a a k,a dz i k kp t
10,Borong-39_hesleeps-1,90984,Borong,39_hesleeps,e-,e-,e,(he) sleeps,McElhanon1967,,,^ e -$,default,e,e
11,Borong-109_lake-1,91964,Borong,109_lake,aŋgoŋ,aŋgoŋ,a ŋ g o ŋ,lake,McElhanon1967,,,^ a ŋ g o ŋ $,default,a N g o N,N a g o
12,Borong-40_heeats-1,90998,Borong,40_heeats,ne-,ne-,n e,(he) eats,McElhanon1967,,,^ n e -$,default,n e,e n
13,Borong-137_work-1,92356,Borong,137_work,gawoŋ,gawoŋ,g a w o ŋ,work,McElhanon1967,,,^ g a w o ŋ $,default,g a w o N,N a g o w
14,Borong-20_hestands-1,90718,Borong,20_hestands,nan-,nan-,n a n,(he) stands,McElhanon1967,,,^ n a n -$,default,n a n,a n
15,Borong-82_itseye-1,91586,Borong,82_itseye,dzaa-,dzaa-,dz a a,(its) eye,McElhanon1967,,,^ dz a a -$,default,dz a a,a dz
16,Borong-41_hebitesit-1,91012,Borong,41_hebitesit,ki-,ki-,k i,(he) bites it,McElhanon1967,,,^ k i -$,default,k i,i k
17,Borong-138_spear-1,92370,Borong,138_spear,wasak,wasak,w a s a k,spear,McElhanon1967,,,^ w a s a k $,default,w a s a k,a k s w
18,Borong-21_all-1,90732,Borong,21_all,kuuya,kuuya,k u u y a,all,McElhanon1967,,,^ k u u y a $,default,k u u i a,a i k u
19,Borong-127_hisbrother-1,92216,Borong,127_hisbrother,dat-,dat-,d a t,(his) brother,McElhanon1967,,,^ d a t -$,default,d a t,a d t
20,Borong-42_black-1,91026,Borong,42_black,indzaŋa,indzaŋa,i n dz a ŋ a,black,McElhanon1967,,,^ i n dz a ŋ a $,default,i n dz a N a,N a dz i n
21,Borong-131_shesews-1,92272,Borong,131_shesews,euŋme-,euŋme-,e u ŋ m e,(she) sews,McElhanon1967,,,^ e u ŋ m e -$,default,e u N m e,N e m u
22,Borong-6_that-1,90522,Borong,6_that,lo,lo,l o,that,McElhanon1967,,,^ l o $,default,l o,l o
23,Borong-95_heholds-1,91768,Borong,95_heholds,me-,me-,m e,(he) holds,McElhanon1967,,,^ m e -$,default,m e,e m
24,Borong-11_moon-1,90592,Borong,11_moon,koiŋ,koiŋ,k o i ŋ,moon,McElhanon1967,,,^ k o i ŋ $,default,k o i N,N i k o
25,Borong-136_clothing-1,92342,Borong,136_clothing,opo,opo,o p o,clothing,McElhanon1967,,,^ o p o $,default,o p o,o p
26,Borong-43_green-1,91040,Borong,43_green,asoŋ asoŋ,asoŋ asoŋ,a s o ŋ + a s o ŋ,green,McElhanon1967,,,^ a s o ŋ + a s o ŋ $,default,a s o N  a s o N, N a o s
27,Borong-102_hedigs-1,91866,Borong,102_hedigs,toguŋken-,toguŋken-,t o g u ŋ k e n,(he) digs,McElhanon1967,,,^ t o g u ŋ k e n -$,default,t o g u N k e n,N e g k n o t u
28,Borong-22_many-1,90746,Borong,22_many,mamagu,mamagu,m a m a g u,many,McElhanon1967,,,^ m a m a g u $,default,m a m a g u,a g m u
29,Borong-118_itsbreath-1,92090,Borong,118_itsbreath,osoŋgoŋ,osoŋgoŋ,o s o ŋ g o ŋ,(its) breath,McElhanon1967,,,^ o s o ŋ g o ŋ $,default,o s o N g o N,N g o s
30,Borong-44_white-1,91054,Borong,44_white,tataaŋkota,tataaŋkota,t a t a a ŋ k o t a,white,McElhanon1967,,,^ t a t a a ŋ k o t a $,default,t a t a a N k o t a,N a k o t
31,Borong-111_itsfruit-1,91992,Borong,111_itsfruit,oŋ-,oŋ-,o ŋ,(its) fruit,McElhanon1967,,,^ o ŋ -$,default,o N,N o
32,Borong-23_night-1,90760,Borong,23_night,ketek,ketek,k e t e k,night,McElhanon1967,,,^ k e t e k $,default,k e t e k,e k t
33,Borong-119_hevomits-1,92104,Borong,119_hevomits,lon-,lon-,l o n,(he) vomits,McElhanon1967,,,^ l o n -$,default,l o n,l n o
34,Borong-45_red-1,91068,Borong,45_red,osoga,osoga,o s o g a,red,McElhanon1967,,,^ o s o g a $,default,o s o g a,a g o s
35,Borong-83_itsskin-1,91600,Borong,83_itsskin,sele-,sele-,s e l e,(its) skin,McElhanon1967,,,^ s e l e -$,default,s e l e,e l s
36,Borong-46_yellow-1,91082,Borong,46_yellow,gogookota,gogookota,g o g o o k o t a,yellow,McElhanon1967,,,^ g o g o o k o t a $,default,g o g o o k o t a,a g k o t
37,Borong-139_heblows-1,92384,Borong,139_heblows,uu-,uu-,u u,(he) blows,McElhanon1967,,,^ u u -$,default,u u,u
38,Borong-47_good-1,91096,Borong,47_good,auaa,auaa,a u a a,good,McElhanon1967,,,^ a u a a $,default,a u a a,a u
39,Borong-76_hishand-1,91502,Borong,76_hishand,borok,borok,b o r o k,(his) hand,McElhanon1967,,,^ b o r o k $,default,b o r o k,b k o r
40,Borong-7_this-1,90536,Borong,7_this,i,i,i,this,McElhanon1967,,,^ i $,default,i,i
41,Borong-103_hecuts-1,91880,Borong,103_hecuts,koto-,koto-,k o t o,(he) cuts,McElhanon1967,,,^ k o t o -$,default,k o t o,k o t
42,Borong-12_round-1,90606,Borong,12_round,lilik lilik,lilik lilik,l i l i k + l i l i k,round,McElhanon1967,,,^ l i l i k + l i l i k $,default,l i l i k  l i l i k, i k l
43,Borong-140_itswells-1,92398,Borong,140_itswells,somaro-,somaro-,s o m a r o,(it) swells,McElhanon1967,,,^ s o m a r o -$,default,s o m a r o,a m o r s
44,Borong-24_long-1,90774,Borong,24_long,koriga,koriga,k o r i g a,long,McElhanon1967,,,^ k o r i g a $,default,k o r i g a,a g i k o r
45,Borong-96_hefalls-1,91782,Borong,96_hefalls,kamaa-,kamaa-,k a m a a,(he) falls,McElhanon1967,,,^ k a m a a -$,default,k a m a a,a k m
46,Borong-48_hot-1,91110,Borong,48_hot,gerek,gerek,g e r e k,hot,McElhanon1967,,,^ g e r e k $,default,g e r e k,e g k r
47,Borong-128_hissister-1,92230,Borong,128_hissister,naaŋ-,naaŋ-,n a a ŋ,(his) sister,McElhanon1967,,,^ n a a ŋ -$,default,n a a N,N a n
