,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Khasi-1_all-1,,Khasi,1_all,roʔ,roʔ,r o ʔ,,Nagaraja2013,1_all_a,False,^r o ʔ$,default,r o 7,7 o r
1,Lyngngam-1_all-1,,Lyngngam,1_all,prok,prok,p r o k,,Nagaraja2013,1_all_a,False,^p r o k$,default,p r o k,k o p r
2,PnarJaintia-1_all-1,,PnarJaintia,1_all,warɔʔ,warɔʔ,w a r ɔ ʔ,,Nagaraja2013,1_all_a,False,^w a r ɔ ʔ$,default,w a r o 7,7 a o r w
3,WarLamin-1_all-1,,WarLamin,1_all,bərɒʔ,bərɒʔ,b ə r ɒ ʔ,,Nagaraja2013,1_all_a,False,^b ə r ɒ ʔ$,default,b 3 r o 7,3 7 b o r
4,Palaung-1_all-1,,Palaung,1_all,paj,paj,p ai̯,,Nagaraja2013,1_all_b,False,^p aj $,default,p ai,ai p
5,Khmu-1_all-1,,Khmu,1_all,sam,sam,s a m,,Nagaraja2013,1_all_c,False,^s a m$,default,s a m,a m s
6,Khasi-2_and-1,,Khasi,2_and,baːd,baːd,b aː d,,Nagaraja2013,2_and_a,False,^b aː d$,default,b a d,a b d
7,Lyngngam-2_and-1,,Lyngngam,2_and,nam,nam,n a m,,Nagaraja2013,,True,^n a m$,default,n a m,a m n
8,PnarJaintia-2_and-1,,PnarJaintia,2_and,wa,wa,w a,,Nagaraja2013,2_and_c,False,^w a$,default,w a,a w
9,WarLamin-2_and-1,,WarLamin,2_and,waː,waː,w aː,,Nagaraja2013,2_and_c,False,^w aː$,default,w a,a w
10,Khasi-3_animal-1,,Khasi,3_animal,mraːd,mraːd,m r aː d,,Nagaraja2013,3_animal_a,False,^m r aː d$,default,m r a d,a d m r
11,Lyngngam-3_animal-1,,Lyngngam,3_animal,mraːd,mraːd,m r aː d,,Nagaraja2013,,True,^m r aː d$,default,m r a d,a d m r
12,PnarJaintia-3_animal-1,,PnarJaintia,3_animal,mraːd,mraːd,m r aː d,,Nagaraja2013,,True,^m r aː d$,default,m r a d,a d m r
13,WarLamin-3_animal-1,,WarLamin,3_animal,mrat,mrat,m r a t,,Nagaraja2013,,True,^m r a t$,default,m r a t,a m r t
14,Palaung-3_animal-1,,Palaung,3_animal,to,to,t o,,Nagaraja2013,,True,^t o$,default,t o,o t
15,Khmu-3_animal-1,,Khmu,3_animal,toː,toː,t oː,,Nagaraja2013,,True,^t oː$,default,t o,o t
16,Khasi-4_ashes-1,,Khasi,4_ashes,dpej,dpej,d p ei̯,,Nagaraja2013,4_ashes_a,False,^d p ej $,default,d p ei,d ei p
17,Lyngngam-4_ashes-1,,Lyngngam,4_ashes,əpaw,əpaw,ə p a w,,Nagaraja2013,4_ashes_a,False,^ə p a w$,default,3 p a w,3 a p w
18,PnarJaintia-4_ashes-1,,PnarJaintia,4_ashes,tpai,tpai,t p a i,,Nagaraja2013,4_ashes_a,False,^t p a i$,default,t p a i,a i p t
19,WarLamin-4_ashes-1,,WarLamin,4_ashes,tvʊ,tvʊ,t v ʊ,,Nagaraja2013,4_ashes_c,False,^t v ʊ$,default,t v u,t u v
20,Palaung-4_ashes-1,,Palaung,4_ashes,kəhvaŋ,kəhvaŋ,k ə h v a ŋ,,Nagaraja2013,4_ashes_d,False,^k ə h v a ŋ$,default,k 3 h v a N,3 N a h k v
21,Khmu-4_ashes-1,,Khmu,4_ashes,bɔh,bɔh,b ɔ h,,Nagaraja2013,4_ashes_e,False,^b ɔ h$,default,b o h,b h o
22,Khasi-5_at-1,,Khasi,5_at,ha,ha,h a,,Nagaraja2013,5_at_a,False,^h a$,default,h a,a h
23,Lyngngam-5_at-1,,Lyngngam,5_at,he,he,h e,,Nagaraja2013,5_at_a,False,^h e$,default,h e,e h
24,PnarJaintia-5_at-1,,PnarJaintia,5_at,ha,ha,h a,,Nagaraja2013,5_at_a,False,^h a$,default,h a,a h
25,WarLamin-5_at-1,,WarLamin,5_at,ti,ti,t i,,Nagaraja2013,5_at_b,False,^t i$,default,t i,i t
26,Khmu-5_at-1,,Khmu,5_at,daʔ,daʔ,d a ʔ,,Nagaraja2013,5_at_b,False,^d a ʔ$,default,d a 7,7 a d
27,Khasi-6_backanat-1,,Khasi,6_backanat,dien,dien,d i e n,,Nagaraja2013,6_backanat_a,False,^d i e n$,default,d i e n,d e i n
28,Lyngngam-6_backanat-1,,Lyngngam,6_backanat,bad don,bad don,b a d + d o n,,Nagaraja2013,6_backanat_a,False,^b a d + d o n$,default,b a d  d o n, a b d n o
29,PnarJaintia-6_backanat-1,,PnarJaintia,6_backanat,rn̩kʰi,rn̩kʰi,r n̩ kʰ i,,Nagaraja2013,6_backanat_b,False,^r n̩ kʰ i$,default,r n kh~ i,i kh~ n r
30,WarLamin-6_backanat-1,,WarLamin,6_backanat,təmpɒŋ,təmpɒŋ,t ə m p ɒ ŋ,,Nagaraja2013,6_backanat_c,False,^t ə m p ɒ ŋ$,default,t 3 m p o N,3 N m o p t
31,Palaung-6_backanat-1,,Palaung,6_backanat,krɔŋ,krɔŋ,k r ɔ ŋ,,Nagaraja2013,6_backanat_d,False,^k r ɔ ŋ$,default,k r o N,N k o r
32,Khmu-6_backanat-1,,Khmu,6_backanat,kndrɔːŋ,kndrɔːŋ,k d r ɔː ŋ,,Nagaraja2013,6_backanat_d,False,^k n d r ɔː ŋ$,default,k d r o N,N d k o r
33,Khasi-7_bad-1,,Khasi,7_bad,sɲiew,sɲiew,s ɲ i e w,,Nagaraja2013,7_bad_a,False,^s ɲ i e w$,default,s 5 i e w,5 e i s w
34,Lyngngam-7_bad-1,,Lyngngam,7_bad,kɨncʰa,kɨncʰa,k ɨ cʰ a,,Nagaraja2013,7_bad_b,False,^k ɨ n cʰ a$,default,k 3 Th~ a,3 Th~ a k
35,PnarJaintia-7_bad-1,,PnarJaintia,7_bad,siʔ,siʔ,s i ʔ,,Nagaraja2013,7_bad_c,False,^s i ʔ$,default,s i 7,7 i s
36,WarLamin-7_bad-1,,WarLamin,7_bad,kɒ͂m,kɒ͂m,k ɒ̃ m,,Nagaraja2013,7_bad_d,False,^k ɒ͂ m$,default,k o* m,k m o*
37,Palaung-7_bad-1,,Palaung,7_bad,kʰu (?),kʰu,kʰ u,,Nagaraja2013,7_bad_e,False,^kʰ u$,default,kh~ u,kh~ u
38,Khmu-7_bad-1,,Khmu,7_bad,ɲoːɲ,ɲoːɲ,ɲ oː ɲ,,Nagaraja2013,7_bad_f,False,^ɲ oː ɲ$,default,5 o 5,5 o
39,Khasi-8_barkoftree-1,,Khasi,8_barkoftree,snep,snep,s e p,,Nagaraja2013,8_barkoftree_a,False,^s n e p$,default,s e p,e p s
40,Lyngngam-8_barkoftree-1,,Lyngngam,8_barkoftree,snieʔ,snieʔ,s i e ʔ,,Nagaraja2013,8_barkoftree_a,False,^s n i e ʔ$,default,s i e 7,7 e i s
41,PnarJaintia-8_barkoftree-1,,PnarJaintia,8_barkoftree,sneiʔ,sneiʔ,s e i ʔ,,Nagaraja2013,8_barkoftree_a,False,^s n e i ʔ$,default,s e i 7,7 e i s
42,WarLamin-8_barkoftree-1,,WarLamin,8_barkoftree,snɪəʔ,snɪəʔ,s ɪ ə ʔ,,Nagaraja2013,8_barkoftree_a,False,^s n ɪ ə ʔ$,default,s i 3 7,3 7 i s
43,Palaung-8_barkoftree-1,,Palaung,8_barkoftree,gɔʔ,gɔʔ,g ɔ ʔ,,Nagaraja2013,8_barkoftree_b,False,^g ɔ ʔ$,default,g o 7,7 g o
44,Khmu-8_barkoftree-1,,Khmu,8_barkoftree,səŋkhraʔ,səŋkhraʔ,s ə ŋ kʰ r a ʔ,,Nagaraja2013,8_barkoftree_c,False,^s ə ŋ kh r a ʔ$,default,s 3 N kh~ r a 7,3 7 N a kh~ r s
45,Khasi-9_because-1,,Khasi,9_because,namar,namar,n a m a r,,Nagaraja2013,9_because_a,False,^n a m a r$,default,n a m a r,a m n r
46,Lyngngam-9_because-1,,Lyngngam,9_because,amte,amte,a m t e,,Nagaraja2013,9_because_b,False,^a m t e$,default,a m t e,a e m t
47,PnarJaintia-9_because-1,,PnarJaintia,9_because,neibʰaʔ,neibʰaʔ,n e i bʰ a ʔ,,Nagaraja2013,9_because_c,False,^n e i bʰ a ʔ$,default,n e i bh~ a 7,7 a bh~ e i n
48,WarLamin-9_because-1,,WarLamin,9_because,kaʔ,kaʔ,k a ʔ,,Nagaraja2013,9_because_d,False,^k a ʔ$,default,k a 7,7 a k
49,Khmu-9_because-1,,Khmu,9_because,jɔʔ,jɔʔ,j ɔ ʔ,,Nagaraja2013,9_because_e,False,^j ɔ ʔ$,default,y o 7,7 o y
50,Khasi-10_belly-1,,Khasi,10_belly,kpoʔ,kpoʔ,k p o ʔ,,Nagaraja2013,10_belly_a,False,^k p o ʔ$,default,k p o 7,7 k o p
