,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,LoanSource,asjp_forms,asjp_segs
0,Stieng-1_all-1,,Stieng,1_all,lɛʔ,lɛʔ,l ɛ ʔ,,Peiros2004a,,False,^ l ɛ ʔ $,default,,l E 7,7 E l
1,Chrau-1_all-1,,Chrau,1_all,lɛʔ lawʌn,lɛʔ lawʌn,l ɛ ʔ + l a w ʌ n,,Peiros2004a,,False,^ l ɛ ʔ + l a w ʌ n $,default,,l E 7  l a w o n, 7 E a l n o w
2,MRolom-1_all-1,,MRolom,1_all,lɛ mət,lɛ mət,l ɛ + m ə t,,Peiros2004a,,False,^ l ɛ + m ə t $,default,,l E  m 3 t, 3 E l m t
3,MBunong-1_all-1,,MBunong,1_all,lɛʔ rŋoc,lɛʔ rŋoc,l ɛ ʔ + r ŋ o c/ts,,Peiros2004a,,False,^ l ɛ ʔ + r ŋ o c$,default,,l E 7  r N o T ts, 7 E N T l o r ts
4,MDip-1_all-1,,MDip,1_all,dɨŋ ndə,dɨŋ ndə,d ɨ ŋ + nd/ⁿd ə,,Peiros2004a,,False,^ d ɨ ŋ + nd ə $,default,,d 3 N  nd nd 3, 3 N d nd
5,Ma1-1_all-1,,Ma1,1_all,thuj,thuj,th/tʰ u j,,Peiros2004a,,False,^ th u j $,default,,th th~ u y,th th~ u y
6,Ma2-1_all-1,,Ma2,1_all,sweh,sweh,sw/sʷ e h,,Peiros2004a,,False,^sw e h $,default,,sw sw~ e h,e h sw sw~
7,Sre-1_all-1,,Sre,1_all,ʒəh,ʒəh,dʑ ə h,,Peiros2004a,,False,^ ʒ ə h $,default,,dZ 3 h,3 dZ h
8,KahoChil-1_all-1,,KahoChil,1_all,ʒəh ʔalaʔ,ʒəh ʔalaʔ,dʑ ə h + ʔ a l a ʔ,,Peiros2004a,,False,^ ʒ ə h + ʔ a l a ʔ $,default,,dZ 3 h  7 a l a 7, 3 7 a dZ h l
9,KorCua-1_all-1,,KorCua,1_all,kaluh,kaluh,k a l u h,,Peiros2004a,,False,^ k a l u h $,default,,k a l u h,a h k l u
10,Hadang-1_all-1,,Hadang,1_all,khu,khu,kh/kʰ u,,Peiros2004a,,False,^ kh u $,default,,kh kh~ u,kh kh~ u
11,Hre-1_all-1,,Hre,1_all,diʔ.L dɔŋ,diʔ.L dɔŋ,d i ʔ L/⁵⁵ + d ɔ ŋ,,Peiros2004a,,False,^ d i ʔ .L + d ɔ ŋ $,default,,d i 7   d o N, 7 N d i o
12,Rengao-1_all-1,,Rengao,1_all,diʔ.T daŋ.L,diʔ.T daŋ.L,d i ʔ T/¹⁵ + d a ŋ L/⁵⁵,,Peiros2004a,,False,^ d i ʔ .T + d a ŋ .L$,default,,d i 7   d a N , 7 N a d i
13,Didra-1_all-1,,Didra,1_all,diʔ.L dəgŋ.L,diʔ.L dəgŋ.L,d i ʔ L/⁵⁵ + d ə g ŋ L/⁵⁵,,Peiros2004a,,False,^ d i ʔ .L + d ə g ŋ .L$,default,,d i 7   d 3 g N , 3 7 N d g i
14,Sedang-1_all-1,,Sedang,1_all,tum.T,tum.T,t u m T/¹⁵,,Peiros2004a,,False,^ t u m .T$,default,,t u m , m t u
15,Panong-1_all-1,,Panong,1_all,kaloh,kaloh,k a l o h,,Peiros2004a,,False,^ k a l o h $,default,,k a l o h,a h k l o
16,Halang-1_all-1,,Halang,1_all,sit,sit,s i t,,Peiros2004a,,False,^ s i t $,default,,s i t,i s t
17,Jeh-1_all-1,,Jeh,1_all,niʔ.T najh.T,niʔ.T najh.T,n i ʔ T/¹⁵ + n a dʒʰ T/¹⁵,,Peiros2004a,,True,^ n i ʔ .T + n a jh .T$,default,KATU,n i 7   n a dZh~ , 7 a dZh~ i n
18,Veh-1_all-1,,Veh,1_all,lam,lam,l a m,,Peiros2004a,,False,^ l a m $,default,,l a m,a l m
19,Je-1_all-1,,Je,1_all,bal.33 haj.33,bal.33 haj.33,b a l ³³ + h a j ³³,,Peiros2004a,,False,^ b a l .33 + h a j .33 $,default,,b a l   h a y , a b h l y
20,Arak-1_all-1,,Arak,1_all,hoc,hoc,h o c/ts,,Peiros2004a,,False,^ h o c$,default,,h o T ts,T h o ts
21,Bahnar-1_all-1,,Bahnar,1_all,dap,dap,d a p,,Peiros2004a,,False,^ d a p $,default,,d a p,a d p
22,Tempuan-1_all-1,,Tempuan,1_all,tiʔ,tiʔ,t i ʔ,,Peiros2004a,,False,^ t i ʔ $,default,,t i 7,7 i t
23,Oy-1_all-1,,Oy,1_all,toc,toc,t o c/ts,,Peiros2004a,,False,^ t o c$,default,,t o T ts,T o t ts
24,Nhaheun-1_all-1,,Nhaheun,1_all,toc,toc,t o c/ts,,Peiros2004a,,False,^ t o c$,default,,t o T ts,T o t ts
25,Jru-1_all-1,,Jru,1_all,toc ʔŋiaʔ,toc ʔŋiaʔ,t o c + ʔ ŋ ia ʔ,,Peiros2004a,,False,^ t o c + ʔ ŋ ia ʔ $,default,,t o T  7 N ia 7, 7 N T ia o t
26,Tariang-1_all-1,,Tariang,1_all,gəluc,gəluc,g ə l u c/ts,,Peiros2004a,,False,^ g ə l u c$,default,,g 3 l u T ts,3 T g l ts u
27,Kantu-1_all-1,,Kantu,1_all,ʔape,ʔape,ʔ a p e,,Peiros2004a,,False,^ ʔ a p e $,default,,7 a p e,7 a e p
28,Katu-1_all-1,,Katu,1_all,ʔap,ʔap,ʔ a p,,Peiros2004a,,False,^ ʔ a p $,default,,7 a p,7 a p
29,Dakkang-1_all-1,,Dakkang,1_all,həre luk,həre luk,h ə r e + l u k,,Peiros2004a,,False,^ h ə r e + l u k $,default,,h 3 r e  l u k, 3 e h k l r u
30,LaoKatu-1_all-1,,LaoKatu,1_all,cuŋ,cuŋ,c/ts u ŋ,,Peiros2004a,,False,^c u ŋ $,default,,T ts u N,N T ts u
31,Taoih-1_all-1,,Taoih,1_all,ʔəiʔ,ʔəiʔ,ʔ əi ʔ,,Peiros2004a,,False,^ ʔ əi ʔ $,default,,7 3i 7,3i 7
32,Ong-1_all-1,,Ong,1_all,paŋ ʔəjʔ,paŋ ʔəjʔ,p a ŋ + ʔ ə j ʔ,,Peiros2004a,,False,^ p a ŋ + ʔ ə j ʔ $,default,,p a N  7 3 y 7, 3 7 N a p y
33,Taoi-1_all-1,,Taoi,1_all,ʔəjʔ.A sɔŋ.A,ʔəjʔ.A sɔŋ.A,ʔ ə j ʔ A/³⁴ + s ɔ ŋ A/¹,,Peiros2004a,,False,^ ʔ ə j ʔ .A + s ɔ ŋ .A$,default,,7 3 y 7   s o N , 3 7 N o s y
34,Nge-1_all-1,,Nge,1_all,toc,toc,t o c/ts,,Peiros2004a,,True,^ t o c$,default,W.BAH(?),t o T ts,T o t ts
35,Kui-1_all-1,,Kui,1_all,chim.B,chim.B,ch/tsʰ i m B/²,,Peiros2004a,,False,^ch i m .B$,default,,Th tsh~ i m , Th i m tsh~
