,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,CentralArabic-1_all-1,,CentralArabic,1_all,kull,kull,k u lː,,Ratcliffe2021,,,^k u ll$,default,k u l,k l u
1,MoroccanArabic-1_all-1,,MoroccanArabic,1_all,koll,koll,k o lː,,Harrell1962;Caubet1993,,,^k o ll$,default,k o l,k l o
2,Maltese-1_all-1,,Maltese,1_all,Koll u,Koll_u,k o lː u,,Borg1997;Aquilina1965,,,^K o ll _ u$,default,k o l u,k l o u
3,Cairene-1_all-1,,Cairene,1_all,kull,kull,k u lː,,AbdelMassih2009,,,^k u ll$,default,k u l,k l u
4,Damascene-1_all-1,,Damascene,1_all,kəll,kəll,k ə lː,,Cowell2005,,,^k ə ll$,default,k 3 l,3 k l
5,Iraqi-1_all-1,,Iraqi,1_all,kull,kull,k u lː,,Erwin1963,,,^k u ll$,default,k u l,k l u
6,Soukhne-1_all-1,,Soukhne,1_all,ʧill,ʧill,tʃ i lː,,Behnstedt1994,,,^ʧ i ll$,default,tS i l,i l tS
7,AqraArbilArabic-1_all-1,,AqraArbilArabic,1_all,"kəll, sa:γi:  n",kəll,k ə lː,,Jastrow1990,,,^k ə ll$,default,k 3 l,3 k l
8,CypriotArabic-1_all-1,,CypriotArabic,1_all,kull,kull,k u lː,,Borg1985,,,^k u ll$,default,k u l,k l u
9,GulfArabic-1_all-1,,GulfArabic,1_all,kil,kil,k i l,,Qafisheh1975;Holes1990,,,^k i l$,default,k i l,i k l
10,YemeniticArabic-1_all-1,,YemeniticArabic,1_all,kull,kull,k u lː,,Qafisheh1992,,,^k u ll$,default,k u l,k l u
11,NigerianArabic-1_all-1,,NigerianArabic,1_all,tʃat,tʃat,tʃ a t,,Owens1993;Kaye1982,,,^tʃ a t$,default,tS a t,a t tS
12,Buxari-1_all-1,,Buxari,1_all,kullu,kullu,k u lː u,,Zimmermann2002;Ratcliffe2005,,,^k u ll u$,default,k u l u,k l u
13,Kinubi-1_all-1,,Kinubi,1_all,kulu,kulu,k u l u,,Wellens2003,,,^k u l u$,default,k u l u,k l u
14,CentralArabic-2_ash-1,,CentralArabic,2_ash,ra ma: d,ra_ma:_d,r a m aː d,,Ratcliffe2021,,,^r a _ m a: _ d$,default,r a m a d,a d m r
15,MoroccanArabic-2_ash-1,,MoroccanArabic,2_ash,rˁm adˁ,rˁm_adˁ,rˤ m a dˤ,,Harrell1962;Caubet1993,,,^rˁ m _ a dˁ$,default,r m a d,a d m r
16,Maltese-2_ash-1,,Maltese,2_ash,rmi: d,rmi:_d,r m iː d,,Borg1997;Aquilina1965,,,^r m i: _ d$,default,r m i d,d i m r
17,Cairene-2_ash-1,,Cairene,2_ash,ram a:dˁ  *,ram_a:dˁ_*,r a m aː dˤ,,AbdelMassih2009,,,^r a m _ a: dˁ _ *$,default,r a m a d,a d m r
18,Damascene-2_ash-1,,Damascene,2_ash,rama :d,rama_:d,r a m aː d,,Cowell2005,,,^r a m a_: d$,default,r a m a d,a d m r
19,Iraqi-2_ash-1,,Iraqi,2_ash,ruma :d,ruma_:d,r u m aː d,,Erwin1963,,,^r u m a_: d$,default,r u m a d,a d m r u
20,AqraArbilArabic-2_ash-1,,AqraArbilArabic,2_ash,rˁam a:d,rˁam_a:d,rˤ a m aː d,,Jastrow1990,,,^rˁ a m _ a: d$,default,r a m a d,a d m r
21,CypriotArabic-2_ash-1,,CypriotArabic,2_ash,rama t  r-m-  d,rama_t_r-m-_d,r a m a t r m d,,Borg1985,,,^r a m a _ t _ r - m - _ d$,default,r a m a t r m d,a d m r t
22,GulfArabic-2_ash-1,,GulfArabic,2_ash,rama ad,rama_ad,r a m a a d,,Qafisheh1975;Holes1990,,,^r a m a _ a d$,default,r a m a a d,a d m r
23,Buxari-2_ash-1,,Buxari,2_ash,ra’matt,ra’matt,r a mˁ a tː,,Zimmermann2002;Ratcliffe2005,,,^r a ’m a tt$,default,r a m a t,a m r t
24,Kinubi-2_ash-1,,Kinubi,2_ash,ruman,ruman,r u m a n,,Wellens2003,,,^r u m a n$,default,r u m a n,a m n r u
25,CentralArabic-3_bark-1,,CentralArabic,3_bark,qirf at,qirf_at,q i r f a t,,Ratcliffe2021,,,^q i r f _ a t$,default,q i r f a t,a f i q r t
26,MoroccanArabic-3_bark-1,,MoroccanArabic,3_bark,qeʃ rˁa,qeʃ_rˁa,q e ʃ rˤ a,,Harrell1962;Caubet1993,,,^q e ʃ _ rˁ a$,default,q e S r a,S a e q r
27,Maltese-3_bark-1,,Maltese,3_bark,ʔoʃr a,ʔoʃr_a,ʔ o ʃ r a,,Borg1997;Aquilina1965,,,^ʔ o ʃ r _ a$,default,7 o S r a,7 S a o r
28,Cairene-3_bark-1,,Cairene,3_bark,ʔiʃr*,ʔiʃr*,ʔ i ʃ r,,AbdelMassih2009,,,^ʔ i ʃ r *$,default,7 i S r,7 S i r
