,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,teiwa-264_sky-1,,teiwa,264_sky,bulan,bulan,b u l a n,,Robinson2012,,,^ b u l a n $,default,b u l a n,a b l n u
1,abui-264_sky-1,,abui,264_sky,ahalingtama,ahalingtama,a h a l i ŋ t a m a,,Robinson2012,,,^ a h a l i ng t a m a $,default,a h a l i N t a m a,N a h i l m t
2,blagar-264_sky-1,,blagar,264_sky,bulaŋ,bulaŋ,b u l a ŋ,,Robinson2012,,,^ b u l a ŋ $,default,b u l a N,N a b l u
3,kamang-264_sky-1,,kamang,264_sky,deling,deling,d e l i ŋ,,Robinson2012,,,^ d e l i ng $,default,d e l i N,N d e i l
4,wersing-264_sky-1,,wersing,264_sky,ayakeng,ayakeng,a j a k e ŋ,,Robinson2012,,,^ a y a k e ng $,default,a y a k e N,N a e k y
5,kaera-264_sky-1,,kaera,264_sky,bulung,bulung,b u l u ŋ,,Robinson2012,,,^ b u l u ng $,default,b u l u N,N b l u
6,westernpantar-264_sky-1,,westernpantar,264_sky,gunnang,gunnang,g u n n a ŋ,,Robinson2012,,,^ g u n n a ng $,default,g u n n a N,N a g n u
7,kui-264_sky-1,,kui,264_sky,langin,langin,l a ŋ i n,,Robinson2012,,,^ l a ng i n $,default,l a N i n,N a i l n
8,adang-264_sky-1,,adang,264_sky,la:b,la:b,l aː b,,Robinson2012,,,^ l a: b $,default,l a b,a b l
9,sawila-264_sky-1,,sawila,264_sky,ayaakani,ayaakani,a j a a k a n i,,Robinson2012,,,^ a y a a k a n i $,default,a y a a k a n i,a i k n y
10,nedebang-264_sky-1,,nedebang,264_sky,hundus,hundus,h u n d u s,,Robinson2012,,,^ h u n d u s $,default,h u n d u s,d h n s u
11,klon-264_sky-1,,klon,264_sky,buləgɛn,buləgɛn,b u l ə g ɛ n,,Robinson2012,,,^ b u l ə g ɛ n $,default,b u l 3 g E n,3 E b g l n u
12,teiwa-287_sun-1,,teiwa,287_sun,war get,war get,w a r + g e t,,Robinson2012,,,^ w a r + g e t $,default,w a r  g e t, a e g r t w
13,abui-287_sun-1,,abui,287_sun,wari,wari,w a r i,,Robinson2012,,,^ w a r i $,default,w a r i,a i r w
14,protoalorpantar-287_sun-1,,protoalorpantar,287_sun,wad-i,wad-i,w a d i,,Robinson2012,,,^ w a d - i $,default,w a d i,a d i w
15,blagar-287_sun-1,,blagar,287_sun,ved,ved,v e d,,Robinson2012,,,^ v e d $,default,v e d,d e v
16,kamang-287_sun-1,,kamang,287_sun,wati,wati,w a t i,,Robinson2012,,,^ w a t i $,default,w a t i,a i t w
17,wersing-287_sun-1,,wersing,287_sun,widí,widí,w i d i,,Robinson2012,,,^ w i d í $,default,w i d i,d i w
18,kaera-287_sun-1,,kaera,287_sun,kuwer,kuwer,k u w e r,,Robinson2012,,,^ k u w e r $,default,k u w e r,e k r u w
19,westernpantar-287_sun-1,,westernpantar,287_sun,was,was,w a s,,Robinson2012,,,^ w a s $,default,w a s,a s w
20,kui-287_sun-1,,kui,287_sun,ber,ber,b e r,,Robinson2012,,,^ b e r $,default,b e r,b e r
21,adang-287_sun-1,,adang,287_sun,fεd,fεd,f ɛ d,,Robinson2012,,,^ f ε d $,default,f E d,E d f
22,sawila-287_sun-1,,sawila,287_sun,wadi,wadi,w a d i,,Robinson2012,,,^ w a d i $,default,w a d i,a d i w
23,nedebang-287_sun-1,,nedebang,287_sun,weri,weri,w e r i,,Robinson2012,,,^ w e r i $,default,w e r i,e i r w
24,klon-287_sun-1,,klon,287_sun,mədi,mədi,m ə d i,,Robinson2012,,,^ m ə d i $,default,m 3 d i,3 d i m
25,teiwa-278_star-1,,teiwa,278_star,yif,yif,j i f,,Robinson2012,,,^ y i f $,default,y i f,f i y
26,abui-278_star-1,,abui,278_star,fir/fɪr,fir,f i r,,Robinson2012,,,^ f i r $,default,f i r,f i r
27,abui-278_star-2,,abui,278_star,fir/fɪr,fɪr,f ɪ r,,Robinson2012,,,^ f ɪ r $,default,f i r,f i r
28,blagar-278_star-1,,blagar,278_star,iid,iid,i i d,,Robinson2012,,,^ i i d $,default,i i d,d i
29,kamang-278_star-1,,kamang,278_star,atoibaai,atoibaai,a t o i b a a i,,Robinson2012,,,^ a t o i b a a i $,default,a t o i b a a i,a b i o t
