,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,meglenoromanian-42_i-1,,meglenoromanian,42_i,yo {i̯o} ~ yew {i̯eu̯} ~ iwə {iu̯ă},j.o,j o,,Saenko2015,,False,^ j . o $,default,y o,o y
1,istroromanian-42_i-1,,istroromanian,42_i,yo {ó},j.o,j o,,Saenko2015,,False,^ j . o $,default,y o,o y
2,aromanian-42_i-1,,aromanian,42_i,yo {ĭo},j.o,j o,,Saenko2015,,False,^ j . o $,default,y o,o y
3,romanian-42_i-1,,romanian,42_i,yew {eu},j.e.w,j e w,,Saenko2015,,False,^ j . e . w $,default,y e w,e w y
4,dalmatian-42_i-1,,dalmatian,42_i,yu {ju},j.u,j u,,Saenko2015,,False,^ j . u $,default,y u,u y
5,friulian-42_i-1,,friulian,42_i,yo {jo},j.o,j o,,Saenko2015,,False,^ j . o $,default,y o,o y
6,gardeneseladin-42_i-1,,gardeneseladin,42_i,ye {ie},j.e,j e,,Saenko2015,,False,^ j . e $,default,y e,e y
7,fassanoladin-42_i-1,,fassanoladin,42_i,ǯe {gé},dʒ.e,dʒ e,,Saenko2015,,False,^ dʒ . e $,default,dZ e,dZ e
8,rumantschgrischun-42_i-1,,rumantschgrischun,42_i,yaw {jau},j.a.w,j a w,,Saenko2015,,False,^ j . a . w $,default,y a w,a w y
9,sursilvanromansh-42_i-1,,sursilvanromansh,42_i,yew {jeu},j.e.w,j e w,,Saenko2015,,False,^ j . e . w $,default,y e w,e w y
10,surmiranromansh-42_i-1,,surmiranromansh,42_i,ˈiə {ia},ˈiə,ˈiə,,Saenko2015,,False,^ ˈiə $,default,i3,i3
11,valladerromansh-42_i-1,,valladerromansh,42_i,ɛw {eu},ˈɛ.w,ˈɛ w,,Saenko2015,,False,^ ˈɛ . w $,default,E w,E w
12,lanzotorinesepiemontese-42_i-1,,lanzotorinesepiemontese,42_i,mi {mi},m.i,m i,,Saenko2015,,False,^ m . i $,default,m i,i m
13,barbaniapiemontese-42_i-1,,barbaniapiemontese,42_i,mi {mi},m.i,m i,,Saenko2015,,False,^ m . i $,default,m i,i m
14,carmagnolapiemontese-42_i-1,,carmagnolapiemontese,42_i,mi {mi},m.i,m i,,Saenko2015,,False,^ m . i $,default,m i,i m
15,vercellesepiemontese-42_i-1,,vercellesepiemontese,42_i,miː,m.iː,m iː,,Saenko2015,,False,^ m . iː $,default,m i,i m
