,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,NorthAltai-1_fingernailn-1,3456,NorthAltai,1_fingernailn,tïrɣaḳ (Р),tɯrɣaq,t ɯ r ɣ a q,,baskakov1985,,,,,t u r x a q,a q r t u x
1,OldUyghur-1_fingernailn-1,3457,OldUyghur,1_fingernailn,"tïrŋaḳ, tïŋraḳ",tɯrŋaq,t ɯ r ŋ a q,,clauson1972,,,,,t u r N a q,N a q r t u
2,Azeri-1_fingernailn-1,3458,Azeri,1_fingernailn,dïrnaġ,dɯrnaɢ,d ɯ r n a ɢ,,gusejnov1941;sirliyev1951;tagiyev2006,,,,,d u r n a G,G a d n r u
3,Bashkir-1_fingernailn-1,3459,Bashkir,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,uraksin1996;uraksin2005,,,,,t u r n a q,a n q r t u
4,Chuvash-1_fingernailn-1,3460,Chuvash,1_fingernailn,čɘrne,ʨɘrne,tɕ ĭ r n e,,asmarin1928;savelyev2011,,,,,tS i r n e,e i n r tS
5,CrimeanTatar-1_fingernailn-1,3461,CrimeanTatar,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,useinov2007,,,,,t u r n a q,a n q r t u
6,Dolgan-1_fingernailn-1,3462,Dolgan,1_fingernailn,tïŋïrak,tɯŋɯrak,t ɯ ŋ ɯ r a k,,aksenova1992;stachowski1993,,,,,t u N u r a k,N a k r t u
7,Gagauz-1_fingernailn-1,3463,Gagauz,1_fingernailn,tïrnak,tɯrnak,t ɯ r n a k,,baskakov1973;radova-karanastas2016,,,,,t u r n a k,a k n r t u
8,KaraKalpak-1_fingernailn-1,3464,KaraKalpak,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,baskakov1958;baskakov1967,,,,,t u r n a q,a n q r t u
9,KarachayBalkar-1_fingernailn-1,3465,KarachayBalkar,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,tenisev1989;sujuncev1965,,,,,t u r n a q,a n q r t u
10,Karaim-1_fingernailn-1,3466,Karaim,1_fingernailn,tïrnak,tɯrnak,t ɯ r n a k,,baskakov1974,,,,,t u r n a k,a k n r t u
11,Kazakh-1_fingernailn-1,3467,Kazakh,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,bektaev1995;bekturov2001;sauranbaev1954,,,,,t u r n a q,a n q r t u
12,Khakas-1_fingernailn-1,3468,Khakas,1_fingernailn,tïrɣaχ,tɯrɣaχ,t ɯ r ɣ a χ,,baskakov1953;cankov1961;subrakova2006,,,,,t u r x a X,X a r t u x
13,Khalaj-1_fingernailn-1,3469,Khalaj,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,doerfer1980,,,,,t u r n a q,a n q r t u
14,Kumyk-1_fingernailn-1,3470,Kumyk,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,adzijev1992;bammatov1960;bammatov1969,,,,,t u r n a q,a n q r t u
15,MiddleChulym-1_fingernailn-1,3471,MiddleChulym,1_fingernailn,tərɣaḳ,tərɣaq,t ə r ɣ a q,,savelyev2015,,,,,t 3 r x a q,3 a q r t x
16,Nogai-1_fingernailn-1,3472,Nogai,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,baskakov1963;baskakov1956;kapajev2007,,,,,t u r n a q,a n q r t u
17,Salar-1_fingernailn-1,3473,Salar,1_fingernailn,tïrnaχ,tɯrnaχ,t ɯ r n a χ,,tenisev1976,,,,,t u r n a X,X a n r t u
18,Tatar-1_fingernailn-1,3474,Tatar,1_fingernailn,tïrnaḳ,tɯrnaq,t ɯ r n a q,,dmitrijev1955;osmanov1966,,,,,t u r n a q,a n q r t u
19,Turkish-1_fingernailn-1,3475,Turkish,1_fingernailn,tïrnak,tɯrnak,t ɯ r n a k,,baskakov1977;iz1992,,,,,t u r n a k,a k n r t u
20,Turkmen-1_fingernailn-1,3476,Turkmen,1_fingernailn,dïrnaḳ,dɯrnaq,d ɯ r n a q,,baskakov1968;khamzajev1968,,,,,d u r n a q,a d n q r u
21,Tuvan-1_fingernailn-1,3477,Tuvan,1_fingernailn,dïrɣaḳ,dɯrɣaq,d ɯ r ɣ a q,,harrison2002;mongus1988;tenisev1968,,,,,d u r x a q,a d q r u x
22,Uzbek-1_fingernailn-1,3478,Uzbek,1_fingernailn,tirnɔḳ,tirnɔq,t i r n ɔ q,,awde2002;kary-nijazov1941;koscanov1983,,,,,t i r n o q,i n o q r t
23,Yakut-1_fingernailn-1,3479,Yakut,1_fingernailn,tïŋïraχ,tɯŋɯraχ,t ɯ ŋ ɯ r a χ,,afanasjev1968;pekarskij1907;sleptsov1972,,,,,t u N u r a X,N X a r t u
24,CodexCumanicus-1_fingernailn-1,3480,CodexCumanicus,1_fingernailn,termac,termac,t e r m a c,,noauthor1880,,,,,t e r m a T,T a e m r t
25,NorthAltai-1_fingernailn-2,3481,NorthAltai,1_fingernailn,tïrbaḳ (Р),tɯrbaq,t ɯ r b a q,,baskakov1985,,,,,t u r b a q,a b q r t u
26,SouthAltai-1_fingernailn-1,3482,SouthAltai,1_fingernailn,tïrmaχ,tɯrmaχ,t ɯ r m a χ,,baskakov1947,,,,,t u r m a X,X a m r t u
27,Kirghiz-1_fingernailn-1,3483,Kirghiz,1_fingernailn,tïrmaḳ,tɯrmaq,t ɯ r m a q,,judakhin1985;judakhin1957,,,,,t u r m a q,a m q r t u
28,SarygYugur-1_fingernailn-1,3484,SarygYugur,1_fingernailn,"tarmaḳ, tïrmaḳ, tïrvaḳ","tarmaq, tɯrmaq, tɯrvaq",t a r m a q,,malov1957;tenisev1966,,,,,t a r m a q,a m q r t
29,Shor-1_fingernailn-1,3485,Shor,1_fingernailn,tïrbaḳ,tɯrbaq,t ɯ r b a q,,kurpesko-tannagaseva1993,,,,,t u r b a q,a b q r t u
30,Tofa-1_fingernailn-1,3486,Tofa,1_fingernailn,dïrbaḳ,dɯrbaq,d ɯ r b a q,,rassadin1971;rassadin2005,,,,,d u r b a q,a b d q r u
31,Uighur-1_fingernailn-1,3487,Uighur,1_fingernailn,tirmaḳ,tirmaq,t i r m a q,,nadzip1968,,,,,t i r m a q,a i m q r t
32,Baraba-2_1plpronoun-1,8151,Baraba,2_1plpronoun,biz,biz,b i z,,dmitrijeva1981,,,,,b i z,b i z
33,CodexCumanicus-2_1plpronoun-1,8152,CodexCumanicus,2_1plpronoun,bix,bix,b i x,,noauthor1880,,,,,b i x,b i x
34,NorthAltai-2_1plpronoun-1,8153,NorthAltai,2_1plpronoun,pis,pis,p i s,,baskakov1985,,,,,p i s,i p s
35,OldUyghur-2_1plpronoun-1,8154,OldUyghur,2_1plpronoun,biz,biz,b i z,,clauson1972,,,,,b i z,b i z
36,SouthAltai-2_1plpronoun-1,8155,SouthAltai,2_1plpronoun,bis,bis,b i s,,baskakov1947,,,,,b i s,b i s
37,Azeri-2_1plpronoun-1,8156,Azeri,2_1plpronoun,biz,biz,b i z,,gusejnov1941;sirliyev1951;tagiyev2006,,,,,b i z,b i z
38,Bashkir-2_1plpronoun-1,8157,Bashkir,2_1plpronoun,beδ,beð,b e ð,,uraksin1996;uraksin2005,,,,,b e 8,8 b e
39,Chuvash-2_1plpronoun-1,8158,Chuvash,2_1plpronoun,ebir,ebir,e b i r,,asmarin1928;savelyev2011,,,,,e b i r,b e i r
40,CrimeanTatar-2_1plpronoun-1,8159,CrimeanTatar,2_1plpronoun,biz,biz,b i z,,useinov2007,,,,,b i z,b i z
41,Dolgan-2_1plpronoun-1,8160,Dolgan,2_1plpronoun,bihigi,bihigi,b i h i g i,,aksenova1992;stachowski1993,,,,,b i h i g i,b g h i
42,Gagauz-2_1plpronoun-1,8161,Gagauz,2_1plpronoun,biz,biz,b i z,,baskakov1973;radova-karanastas2016,,,,,b i z,b i z
43,KaraKalpak-2_1plpronoun-1,8162,KaraKalpak,2_1plpronoun,biz,biz,b i z,,baskakov1958;baskakov1967,,,,,b i z,b i z
44,KarachayBalkar-2_1plpronoun-1,8163,KarachayBalkar,2_1plpronoun,biz,biz,b i z,,tenisev1989;sujuncev1965,,,,,b i z,b i z
45,Karaim-2_1plpronoun-1,8164,Karaim,2_1plpronoun,biz,biz,b i z,,baskakov1974,,,,,b i z,b i z
46,Kazakh-2_1plpronoun-1,8165,Kazakh,2_1plpronoun,bĭz,bɘz,b ĭ z,,bektaev1995;bekturov2001;sauranbaev1954,,,,,b i z,b i z
47,Khakas-2_1plpronoun-1,8166,Khakas,2_1plpronoun,pɘs,pɘs,p ĭ s,,baskakov1953;cankov1961;subrakova2006,,,,,p i s,i p s
48,Khalaj-2_1plpronoun-1,8167,Khalaj,2_1plpronoun,biz,biz,b i z,,doerfer1980,,,,,b i z,b i z
49,Kirghiz-2_1plpronoun-1,8168,Kirghiz,2_1plpronoun,biz,biz,b i z,,judakhin1985;judakhin1957,,,,,b i z,b i z
50,Kumyk-2_1plpronoun-1,8169,Kumyk,2_1plpronoun,biz,biz,b i z,,adzijev1992;bammatov1960;bammatov1969,,,,,b i z,b i z
51,MiddleChulym-2_1plpronoun-1,8170,MiddleChulym,2_1plpronoun,pɘs,pɘs,p ĭ s,,savelyev2015,,,,,p i s,i p s
52,Nogai-2_1plpronoun-1,8171,Nogai,2_1plpronoun,biz,biz,b i z,,baskakov1963;baskakov1956;kapajev2007,,,,,b i z,b i z
53,Salar-2_1plpronoun-1,8172,Salar,2_1plpronoun,piser,piser,p i s e r,,tenisev1976,,,,,p i s e r,e i p r s
54,SarygYugur-2_1plpronoun-1,8173,SarygYugur,2_1plpronoun,"mïs, mïster","mɯs, mɯster",m ɨ s,,malov1957;tenisev1966,,,,,m 3 s,3 m s
55,Shor-2_1plpronoun-1,8174,Shor,2_1plpronoun,pis,pis,p i s,,kurpesko-tannagaseva1993,,,,,p i s,i p s
56,Tatar-2_1plpronoun-1,8175,Tatar,2_1plpronoun,bez,bez,b e z,,dmitrijev1955;osmanov1966,,,,,b e z,b e z
57,Tofa-2_1plpronoun-1,8176,Tofa,2_1plpronoun,bister,bister,b i s t e r,,rassadin1971;rassadin2005,,,,,b i s t e r,b e i r s t
58,Turkish-2_1plpronoun-1,8177,Turkish,2_1plpronoun,biz,biz,b i z,,baskakov1977;iz1992,,,,,b i z,b i z
59,Turkmen-2_1plpronoun-1,8178,Turkmen,2_1plpronoun,biz,biz,b i z,,baskakov1968;khamzajev1968,,,,,b i z,b i z
60,Tuvan-2_1plpronoun-1,8179,Tuvan,2_1plpronoun,bis,bis,b i s,,harrison2002;mongus1988;tenisev1968,,,,,b i s,b i s
61,Uighur-2_1plpronoun-1,8180,Uighur,2_1plpronoun,biz,biz,b i z,,nadzip1968,,,,,b i z,b i z
62,Uzbek-2_1plpronoun-1,8181,Uzbek,2_1plpronoun,biz,biz,b i z,,awde2002;kary-nijazov1941;koscanov1983,,,,,b i z,b i z
63,Yakut-2_1plpronoun-1,8182,Yakut,2_1plpronoun,bihigi,bihigi,b i h i g i,,afanasjev1968;pekarskij1907;sleptsov1972,,,,,b i h i g i,b g h i
64,Baraba-3_1sg-1,437,Baraba,3_1sg,min,min,m i n,,dmitrijeva1981,,,,,m i n,i m n
65,CodexCumanicus-3_1sg-1,438,CodexCumanicus,3_1sg,men,men,m e n,,noauthor1880,,,,,m e n,e m n
66,NorthAltai-3_1sg-1,439,NorthAltai,3_1sg,men,men,m e n,,baskakov1985,,,,,m e n,e m n
67,OldUyghur-3_1sg-1,440,OldUyghur,3_1sg,ben,ben,b e n,,clauson1972,,,,,b e n,b e n
68,SouthAltai-3_1sg-1,441,SouthAltai,3_1sg,men,men,m e n,,baskakov1947,,,,,m e n,e m n
69,Azeri-3_1sg-1,442,Azeri,3_1sg,män,mɛn,m æ n,,gusejnov1941;sirliyev1951;tagiyev2006,,,,,m E n,E m n
70,Bashkir-3_1sg-1,443,Bashkir,3_1sg,min,min,m i n,,uraksin1996;uraksin2005,,,,,m i n,i m n
71,CrimeanTatar-3_1sg-1,444,CrimeanTatar,3_1sg,men,men,m e n,,useinov2007,,,,,m e n,e m n
72,Dolgan-3_1sg-1,445,Dolgan,3_1sg,min,min,m i n,,aksenova1992;stachowski1993,,,,,m i n,i m n
73,Gagauz-3_1sg-1,446,Gagauz,3_1sg,bän,bɛn,b æ n,,baskakov1973;radova-karanastas2016,,,,,b E n,E b n
74,KaraKalpak-3_1sg-1,447,KaraKalpak,3_1sg,men,men,m e n,,baskakov1958;baskakov1967,,,,,m e n,e m n
75,KarachayBalkar-3_1sg-1,448,KarachayBalkar,3_1sg,men,men,m e n,,tenisev1989;sujuncev1965,,,,,m e n,e m n
76,Karaim-3_1sg-1,449,Karaim,3_1sg,men,men,m e n,,baskakov1974,,,,,m e n,e m n
77,Kazakh-3_1sg-1,450,Kazakh,3_1sg,men,men,m e n,,bektaev1995;bekturov2001;sauranbaev1954,,,,,m e n,e m n
78,Khakas-3_1sg-1,451,Khakas,3_1sg,min,min,m i n,,baskakov1953;cankov1961;subrakova2006,,,,,m i n,i m n
79,Khalaj-3_1sg-1,452,Khalaj,3_1sg,män,mɛn,m æ n,,doerfer1980,,,,,m E n,E m n
80,Kirghiz-3_1sg-1,453,Kirghiz,3_1sg,men,men,m e n,,judakhin1985;judakhin1957,,,,,m e n,e m n
81,Kumyk-3_1sg-1,454,Kumyk,3_1sg,men,men,m e n,,adzijev1992;bammatov1960;bammatov1969,,,,,m e n,e m n
82,MiddleChulym-3_1sg-1,455,MiddleChulym,3_1sg,män,mɛn,m æ n,,savelyev2015,,,,,m E n,E m n
83,Nogai-3_1sg-1,456,Nogai,3_1sg,men,men,m e n,,baskakov1963;baskakov1956;kapajev2007,,,,,m e n,e m n
84,Salar-3_1sg-1,457,Salar,3_1sg,men,men,m e n,,tenisev1976,,,,,m e n,e m n
