,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,cua-63_ime-1,,cua,63_ime,go,ɡ.o,ɡ o,,Sidwell2015,,False,^ ɡ . o $,default,g o,g o
1,bahnarpleiku-63_ime-1,,bahnarpleiku,63_ime,ʔiɲ,ʔ.i.ɲ,ʔ i ɲ,,Sidwell2015,,False,^ ʔ . i . ɲ $,default,7 i 5,5 7 i
2,bunong-63_ime-1,,bunong,63_ime,kə̤p,k.ə̤.p,k ə̤ p,,Sidwell2015,,False,^ k . ə̤ . p $,default,k 3 p,3 k p
3,cheng-63_ime-1,,cheng,63_ime,ʔaɨ,ʔ.a.ɨ,ʔ a ɨ,,Sidwell2015,,False,^ ʔ . a . ɨ $,default,7 a 3,3 7 a
4,sre-63_ime-1,,sre,63_ime,ʔaɲ,ʔ.a.ɲ,ʔ a ɲ,,Sidwell2015,,False,^ ʔ . a . ɲ $,default,7 a 5,5 7 a
5,chrau-63_ime-1,,chrau,63_ime,ʔaɲ / ʔiɲ,ʔ.a.ɲ,ʔ a ɲ,,Sidwell2015,,False,^ ʔ . a . ɲ $,default,7 a 5,5 7 a
6,jeh-63_ime-1,,jeh,63_ime,ʔaw,ʔ.a.w,ʔ a w,,Sidwell2015,,False,^ ʔ . a . w $,default,7 a w,7 a w
7,tampuan-63_ime-1,,tampuan,63_ime,ʔaɲ,ʔ.a.ɲ,ʔ a ɲ,,Sidwell2015,,False,^ ʔ . a . ɲ $,default,7 a 5,5 7 a
8,alak-63_ime-1,,alak,63_ime,ʔal,ʔ.a.l,ʔ a l,,Sidwell2015,,False,^ ʔ . a . l $,default,7 a l,7 a l
9,bahnargolar-63_ime-1,,bahnargolar,63_ime,ʔiɲ,ʔ.i.ɲ,ʔ i ɲ,,Sidwell2015,,False,^ ʔ . i . ɲ $,default,7 i 5,5 7 i
10,bahnarkontum-63_ime-1,,bahnarkontum,63_ime,ʔiɲ,ʔ.i.ɲ,ʔ i ɲ,,Sidwell2015,,False,^ ʔ . i . ɲ $,default,7 i 5,5 7 i
11,halang-63_ime-1,,halang,63_ime,ʔau,ʔ.a.u,ʔ a u,,Sidwell2015,,False,^ ʔ . a . u $,default,7 a u,7 a u
12,mnongrlm-63_ime-1,,mnongrlm,63_ime,ʔaɲ,ʔ.a.ɲ,ʔ a ɲ,,Sidwell2015,,False,^ ʔ . a . ɲ $,default,7 a 5,5 7 a
13,rengao-63_ime-1,,rengao,63_ime,ʔaw,ʔ.a.w,ʔ a w,,Sidwell2015,,False,^ ʔ . a . w $,default,7 a w,7 a w
14,brao-63_ime-1,,brao,63_ime,ʔaj,ʔ.a.j,ʔ a j,,Sidwell2015,,False,^ ʔ . a . j $,default,7 a y,7 a y
15,jrulaven-63_ime-1,,jrulaven,63_ime,ʔaːj,ʔ.aː.j,ʔ aː j,,Sidwell2015,,False,^ ʔ . aː . j $,default,7 a y,7 a y
16,kasseng-63_ime-1,,kasseng,63_ime,ʔaɯ,ʔ.a.ɯ,ʔ a ɯ,,Sidwell2015,,False,^ ʔ . a . ɯ $,default,7 a u,7 a u
17,khaonh-63_ime-1,,khaonh,63_ime,ʔɡəp,ʔ.ɡ.ə.p,ʔ ɡ ə p,,Sidwell2015,,False,^ ʔ . ɡ . ə . p $,default,7 g 3 p,3 7 g p
18,mel-63_ime-1,,mel,63_ime,ʔɡəp,ʔ.ɡ.ə.p,ʔ ɡ ə p,,Sidwell2015,,False,^ ʔ . ɡ . ə . p $,default,7 g 3 p,3 7 g p
19,nyaheun-63_ime-1,,nyaheun,63_ime,ʔaː,ʔ.aː,ʔ aː,,Sidwell2015,,False,^ ʔ . aː $,default,7 a,7 a
20,ramam-63_ime-1,,ramam,63_ime,ʔaj,ʔ.a.j,ʔ a j,,Sidwell2015,,False,^ ʔ . a . j $,default,7 a y,7 a y
21,sapuan-63_ime-1,,sapuan,63_ime,ʔaj,ʔ.a.j,ʔ a j,,Sidwell2015,,False,^ ʔ . a . j $,default,7 a y,7 a y
22,sedang-63_ime-1,,sedang,63_ime,ʔaw,ʔ.a.w,ʔ a w,,Sidwell2015,,False,^ ʔ . a . w $,default,7 a w,7 a w
23,stieng-63_ime-1,,stieng,63_ime,hej,h.e.j,h e j,,Sidwell2015,,False,^ h . e . j $,default,h e y,e h y
24,bahnargolar-1_alcoholliquor-1,,bahnargolar,1_alcoholliquor,hədroː,h.ə.d.r.oː,h ə d r oː,,Sidwell2015,,False,^ h . ə . d . r . oː $,default,h 3 d r o,3 d h o r
25,bahnarkontum-1_alcoholliquor-1,,bahnarkontum,1_alcoholliquor,siːk,s.iː.k,s iː k,,Sidwell2015,,False,^ s . iː . k $,default,s i k,i k s
26,bahnarpleiku-1_alcoholliquor-1,,bahnarpleiku,1_alcoholliquor,siːk,s.iː.k,s iː k,,Sidwell2015,,False,^ s . iː . k $,default,s i k,i k s
27,jeh-1_alcoholliquor-1,,jeh,1_alcoholliquor,nnah,n.n.a.h,n n a h,,Sidwell2015,,False,^ n . n . a . h $,default,n n a h,a h n
28,khaonh-1_alcoholliquor-1,,khaonh,1_alcoholliquor,ɓɛ̤h,ɓ.ɛ̤.h,ɓ ɛ̤ h,,Sidwell2015,,False,^ ɓ . ɛ̤ . h $,default,b E h,E b h
29,mel-1_alcoholliquor-1,,mel,1_alcoholliquor,ɓe̤h,ɓ.e̤.h,ɓ e̤ h,,Sidwell2015,,False,^ ɓ . e̤ . h $,default,b e h,b e h
30,sre-1_alcoholliquor-1,,sre,1_alcoholliquor,tərnom,t.ə.r.n.o.m,t ə r n o m,,Sidwell2015,,False,^ t . ə . r . n . o . m $,default,t 3 r n o m,3 m n o r t
31,alak-2_alivelive-1,,alak,2_alivelive,pʻroːs,pʼ.r.oː.s,pʼ r oː s,,Sidwell2015,,False,^ pʼ . r . oː . s $,default,"p"" r o s","o p"" r s"
32,bahnargolar-2_alivelive-1,,bahnargolar,2_alivelive,hədrih,h.ə.d.r.i.h,h ə d r i h,,Sidwell2015,,False,^ h . ə . d . r . i . h $,default,h 3 d r i h,3 d h i r
33,bahnarkontum-2_alivelive-1,,bahnarkontum,2_alivelive,ʔadrih,ʔ.a.d.r.i.h,ʔ a d r i h,,Sidwell2015,,False,^ ʔ . a . d . r . i . h $,default,7 a d r i h,7 a d h i r
34,bahnarpleiku-2_alivelive-1,,bahnarpleiku,2_alivelive,ʔadrih,ʔ.a.d.r.i.h,ʔ a d r i h,,Sidwell2015,,False,^ ʔ . a . d . r . i . h $,default,7 a d r i h,7 a d h i r
35,brao-2_alivelive-1,,brao,2_alivelive,ɲiw,ɲ.i.w,ɲ i w,,Sidwell2015,,False,^ ɲ . i . w $,default,5 i w,5 i w
36,bunong-2_alivelive-1,,bunong,2_alivelive,reːh,r.eː.h,r eː h,,Sidwell2015,,False,^ r . eː . h $,default,r e h,e h r
37,chrau-2_alivelive-1,,chrau,2_alivelive,rih,r.i.h,r i h,,Sidwell2015,,False,^ r . i . h $,default,r i h,h i r
38,cua-2_alivelive-1,,cua,2_alivelive,rilh,r.i.lʰ,r i lʰ,,Sidwell2015,,False,^ r . i . lʰ $,default,r i lh~,i lh~ r
39,halang-2_alivelive-1,,halang,2_alivelive,pe̤ːn,p.e̤ː.n,p e̤ː n,,Sidwell2015,,False,^ p . e̤ː . n $,default,p e n,e n p
40,mnongrlm-2_alivelive-1,,mnongrlm,2_alivelive,breh / mbreh,b.r.e.h,b r e h,,Sidwell2015,,False,^ b . r . e . h $,default,b r e h,b e h r
41,nyaheun-2_alivelive-1,,nyaheun,2_alivelive,ɲiw,ɲ.i.w,ɲ i w,,Sidwell2015,,False,^ ɲ . i . w $,default,5 i w,5 i w
42,rengao-2_alivelive-1,,rengao,2_alivelive,həri̤h,h.ə.r.i̤.h,h ə r i̤ h,,Sidwell2015,,False,^ h . ə . r . i̤ . h $,default,h 3 r i h,3 h i r
43,sedang-2_alivelive-1,,sedang,2_alivelive,rɛh,r.ɛ.h,r ɛ h,,Sidwell2015,,False,^ r . ɛ . h $,default,r E h,E h r
44,sre-2_alivelive-1,,sre,2_alivelive,ris,r.i.s,r i s,,Sidwell2015,,False,^ r . i . s $,default,r i s,i r s
45,stieng-2_alivelive-1,,stieng,2_alivelive,reh,r.e.h,r e h,,Sidwell2015,,False,^ r . e . h $,default,r e h,e h r
46,jeh-2_alivelive-1,,jeh,2_alivelive,pe̤ːn,p.e̤ː.n,p e̤ː n,,Sidwell2015,,False,^ p . e̤ː . n $,default,p e n,e n p
47,jrulaven-2_alivelive-1,,jrulaven,2_alivelive,dɛj,d.ɛ.j,d ɛ j,,Sidwell2015,,False,^ d . ɛ . j $,default,d E y,E d y
48,tampuan-2_alivelive-1,,tampuan,2_alivelive,ʔŋrəis,ʔ.ŋ.r.ə.i.s,ʔ ŋ r ə i s,,Sidwell2015,,False,^ ʔ . ŋ . r . ə . i . s $,default,7 N r 3 i s,3 7 N i r s
49,alak-3_ant-1,,alak,3_ant,mboːc,m.b.oː.c,m b oː c,,Sidwell2015,,False,^ m . b . oː . c $,default,m b o T,T b m o
50,bahnargolar-3_ant-1,,bahnargolar,3_ant,hmoːc,h.m.oː.c,h m oː c,,Sidwell2015,,False,^ h . m . oː . c $,default,h m o T,T h m o
51,bahnarkontum-3_ant-1,,bahnarkontum,3_ant,hmoc,h.m.o.c,h m o c,,Sidwell2015,,False,^ h . m . o . c $,default,h m o T,T h m o
52,bahnarpleiku-3_ant-1,,bahnarpleiku,3_ant,hmoːc,h.m.oː.c,h m oː c,,Sidwell2015,,False,^ h . m . oː . c $,default,h m o T,T h m o
