,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,Taoping-253_year-1,,Taoping,253_year,pə³³,pə³³,p ə ³³,,Sims2020,,,^ p ə ³³ $,default,p 3 , 3 p
1,Longxi-253_year-1,,Longxi,253_year,pù,pù,p ù/u,,Sims2020,,,^ p ù $,default,p u u,p u
2,Mianchi-253_year-1,,Mianchi,253_year,pù,pù,p ù/u,,Sims2020,,,^ p ù $,default,p u u,p u
3,Yonghe-135_oneyear-1,,Yonghe,135_oneyear,ə́-pù,ə́-pù,ə́/ə + p ù/u,,Sims2020,,,^ ə́ - p ù $,default,3 3  p u u, 3 p u
4,Wadu-253_year-1,,Wadu,253_year,pʉ̀,pʉ̀,p ʉ̀/ʉ,,Sims2020,,,^ p ʉ̀ $,default,p 3 3,3 p
5,Dayang-253_year-1,,Dayang,253_year,pɨ̀,pɨ̀,p ɨ̆/ɨ,,Sims2020,,,^ p ɨ̀ $,default,p 3 3,3 p
6,Taoba-253_year-1,,Taoba,253_year,pu⁵³,pu⁵³,p u ⁵³,,Sims2020,,,^ p u ⁵³ $,default,p u , p u
7,Qinghua-253_year-1,,Qinghua,253_year,pə¹³,pə¹³,p ə ¹³,,Sims2020,,,^ p ə ¹³ $,default,p 3 , 3 p
8,Lanping-253_year-1,,Lanping,253_year,pə¹³,pə¹³,p ə ¹³,,Sims2020,,,^ p ə ¹³ $,default,p 3 , 3 p
9,Jiulong-253_year-1,,Jiulong,253_year,pi⁵³,pi⁵³,p i ⁵³,,Sims2020,,,^ p i ⁵³ $,default,p i , i p
10,Taoping-247_who-1,,Taoping,247_who,sɨ⁵⁵,sɨ⁵⁵,s ɨ ⁵⁵,,Sims2020,,,^ s ɨ ⁵⁵ $,default,s 3 , 3 s
11,Longxi-247_who-1,,Longxi,247_who,sɨ́,sɨ́,s ɨ́/ɨ,,Sims2020,,,^ s ɨ́ $,default,s 3 3,3 s
12,Mianchi-247_who-1,,Mianchi,247_who,ʂí lè,ʂí_lè,ʂ í/i + l è/e,,Sims2020,,,^ ʂ í _ l è $,default,S i i  l e e, S e i l
13,Yonghe-247_who-1,,Yonghe,247_who,sɨ́,sɨ́,s ɨ́/ɨ,,Sims2020,,,^ s ɨ́ $,default,s 3 3,3 s
14,Wadu-247_who-1,,Wadu,247_who,hĩ̂,hĩ̂,h ĩ̂/ĩ,,Sims2020,,,^ h ĩ̂ $,default,h i* i*,h i*
15,Niuwozi-247_who-1,,Niuwozi,247_who,xɜᴴ,xɜᴴ,x ɜ ᴴ/⁵,,Sims2020,,,^ x ɜᴴ $,default,x 3 , 3 x
16,Taoba-247_who-1,,Taoba,247_who,xɛ⁵⁵,xɛ⁵⁵,x ɛ ⁵⁵,,Sims2020,,,^ x ɛ ⁵⁵ $,default,x E , E x
17,Qinghua-247_who-1,,Qinghua,247_who,xɛ⁵⁵,xɛ⁵⁵,x ɛ ⁵⁵,,Sims2020,,,^ x ɛ ⁵⁵ $,default,x E , E x
18,Lanping-247_who-1,,Lanping,247_who,xɛ⁵⁵,xɛ⁵⁵,x ɛ ⁵⁵,,Sims2020,,,^ x ɛ ⁵⁵ $,default,x E , E x
19,Taoping-246_white-1,,Taoping,246_white,pʐi⁵⁵,pʐi⁵⁵,p ʐ i ⁵⁵,,Sims2020,,,^ pʐ i ⁵⁵ $,default,p Z i , Z i p
20,Longxi-246_white-1,,Longxi,246_white,pʰé,pʰé,pʰ é/e,,Sims2020,,,^ pʰ é $,default,ph~ e e,e ph~
21,Mianchi-246_white-1,,Mianchi,246_white,pʂí,pʂí,p ʂ í/i,,Sims2020,,,^ pʂ í $,default,p S i i,S i p
22,Yonghe-246_white-1,,Yonghe,246_white,pʰjí ~ pʰí,pʰjí,pʰ j í/i,,Sims2020,,,^ pʰ j í $,default,ph~ y i i,i ph~ y
23,Wadu-246_white-1,,Wadu,246_white,ʈʰṍ,ʈʰṍ,ʈʰ ṍ/õ,,Sims2020,,,^ ʈʰ ṍ $,default,th~ o* o*,o* th~
24,Niuwozi-246_white-1,,Niuwozi,246_white,pʰʴĩᴴ,pʰʴĩᴴ,pʰ ʴ/ɹ ĩ ᴴ/⁵,,Sims2020,,,^ pʰʴ ĩᴴ $,default,ph~ r i* , i* ph~ r
25,Dayang-246_white-1,,Dayang,246_white,pʰʂẽ́,pʰʂẽ́,pʰ ʂ ẽ́/ẽ,,Sims2020,,,^ pʰʂ ẽ́ $,default,ph~ S e* e*,S e* ph~
26,Taoba-246_white-1,,Taoba,246_white,pʰʐã⁵⁵ mə⁵³,pʰʐã⁵⁵_mə⁵³,pʰ ʐ ã ⁵⁵ + m ə ⁵³,,Sims2020,,,^ pʰʐ ã ⁵⁵ _ m ə ⁵³ $,default,ph~ Z a*   m 3 , 3 Z a* m ph~
27,Qinghua-246_white-1,,Qinghua,246_white,pʰʐə̃⁵⁵,pʰʐə̃⁵⁵,pʰ ʐ ə̃ ⁵⁵,,Sims2020,,,^ pʰʐ ə̃ ⁵⁵ $,default,ph~ Z 3* , 3* Z ph~
28,Lanping-246_white-1,,Lanping,246_white,pʰʂə̃⁵⁵,pʰʂə̃⁵⁵,pʰ ʂ ə̃ ⁵⁵,,Sims2020,,,^ pʰʂ ə̃ ⁵⁵ $,default,ph~ S 3* , 3* S ph~
29,Jiulong-246_white-1,,Jiulong,246_white,pʰʐĩ⁵⁵ lø⁵⁵ lø¹¹,pʰʐĩ⁵⁵_lø⁵⁵_lø¹¹,pʰ ʐ ĩ ⁵⁵ + l ø ⁵⁵ + l ø ¹¹,,Sims2020,,,^ pʰʐ ĩ ⁵⁵ _ l ø ⁵⁵ _ l ø ¹¹ $,default,ph~ Z i*   l e   l e , Z e i* l ph~
30,Taoping-242_weigh-1,,Taoping,242_weigh,tɕʰe⁵⁵,tɕʰe⁵⁵,tɕʰ e ⁵⁵,,Sims2020,,,^ tɕʰ e ⁵⁵ $,default,tSh~ e , e tSh~
31,Longxi-245_weightgrain-1,,Longxi,245_weightgrain,tɕʰì tɕʰí,tɕʰì_tɕʰí,tɕʰ ì/i + tɕʰ í/i,,Sims2020,,,^ tɕʰ ì _ tɕʰ í $,default,tSh~ i i  tSh~ i i, i tSh~
32,Mianchi-244_weighgrain-1,,Mianchi,244_weighgrain,tɕʰé,tɕʰé,tɕʰ é/e,,Sims2020,,,^ tɕʰ é $,default,tSh~ e e,e tSh~
33,Taoba-242_weigh-1,,Taoba,242_weigh,tə⁵⁵ tɕɛ⁵³,tə⁵⁵_tɕɛ⁵³,t ə ⁵⁵ + tɕ ɛ ⁵³,,Sims2020,,,^ t ə ⁵⁵ _ tɕ ɛ ⁵³ $,default,t 3   tS E , 3 E t tS
34,Lanping-243_weighfood-1,,Lanping,243_weighfood,tə⁵⁵ tɕi⁵⁵,tə⁵⁵_tɕi⁵⁵,t ə ⁵⁵ + tɕ i ⁵⁵,,Sims2020,,,^ t ə ⁵⁵ _ tɕ i ⁵⁵ $,default,t 3   tS i , 3 i t tS
35,Jiulong-243_weighfood-1,,Jiulong,243_weighfood,tɯ⁵⁵ ke⁵⁵,tɯ⁵⁵_ke⁵⁵,t ɯ ⁵⁵ + k e ⁵⁵,,Sims2020,,,^ t ɯ ⁵⁵ _ k e ⁵⁵ $,default,t u   k e , e k t u
36,Taoping-241_weep-1,,Taoping,241_weep,ŋə⁵⁵,ŋə⁵⁵,ŋ ə ⁵⁵,,Sims2020,,,^ ŋ ə ⁵⁵ $,default,N 3 , 3 N
37,Longxi-241_weep-1,,Longxi,241_weep,ŋú,ŋú,ŋ ú/u,,Sims2020,,,^ ŋ ú $,default,N u u,N u
38,Wadu-241_weep-1,,Wadu,241_weep,qwé,qwé,q w é/e,,Sims2020,,,^ qw é $,default,q w e e,e q w
39,Niuwozi-241_weep-1,,Niuwozi,241_weep,kwɜjᴴ,kwɜjᴴ,k w ɜj/ɜi ᴴ/⁵,,Sims2020,,,^ kwɜjᴴ $,default,k w 3y 3i , 3i 3y k w
40,Taoba-241_weep-1,,Taoba,241_weep,xue⁵⁵,xue⁵⁵,x u/w e ⁵⁵,,Sims2020,,,^ x ue ⁵⁵ $,default,x u w e , e u w x
41,Qinghua-241_weep-1,,Qinghua,241_weep,squa⁵⁵,squa⁵⁵,s q u/w a ⁵⁵,,Sims2020,,,^ s q ua ⁵⁵ $,default,s q u w a , a q s u w
42,Lanping-241_weep-1,,Lanping,241_weep,χquɑ⁵⁵,χquɑ⁵⁵,χ q u/w ɑ ⁵⁵,,Sims2020,,,^ χ q uɑ ⁵⁵ $,default,X q u w o , X o q u w
43,Jiulong-241_weep-1,,Jiulong,241_weep,kuɛ⁵⁵,kuɛ⁵⁵,k u ɛ ⁵⁵,,Sims2020,,,^ k u ɛ ⁵⁵ $,default,k u E , E k u
44,Taoping-240_weave-1,,Taoping,240_weave,tia³³,tia³³,t i/j a ³³,,Sims2020,,,^ t ia ³³ $,default,t i y a , a i t y
45,Longxi-240_weave-1,,Longxi,240_weave,tɕà,tɕà,tɕ à/a,,Sims2020,,,^ tɕ à $,default,tS a a,a tS
46,Mianchi-240_weave-1,,Mianchi,240_weave,tià,tià,t i/j à/a,,Sims2020,,,^ t ià $,default,t i y a a,a i t y
