ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
dutch-1_all-1-1,dutch-1_all-1,ɑ.l.ə,5,false,expert,Starostin2005,,,
swedish-1_all-1-1,swedish-1_all-1,a.lː,5,false,expert,Starostin2005,,,
english-1_all-1-1,english-1_all-1,ɔː.l,5,false,expert,Starostin2005,,,
german-1_all-1-1,german-1_all-1,a.l,5,false,expert,Starostin2005,,,
spanish-1_all-1-1,spanish-1_all-1,e.n.t.e.r.o,2,false,expert,Starostin2005,,,
danish-1_all-1-1,danish-1_all-1,æˀ.l,5,false,expert,Starostin2005,,,
bulgarian-1_all-1-1,bulgarian-1_all-1,v.s.i.ʧ.k.i,3,false,expert,Starostin2005,,,
greek-1_all-1-1,greek-1_all-1,k.a.θ.e,7,false,expert,Starostin2005,,,
romanian-1_all-1-1,romanian-1_all-1,t.o.t,6,false,expert,Starostin2005,,,
russian-1_all-1-1,russian-1_all-1,f.sʲ.e,3,false,expert,Starostin2005,,,
polish-1_all-1-1,polish-1_all-1,f.ʃ.ɨ.s.ʦ.ɨ,3,false,expert,Starostin2005,,,
norwegian-1_all-1-1,norwegian-1_all-1,ɑ.l.ə,5,false,expert,Starostin2005,,,
french-1_all-1-1,french-1_all-1,t.u,6,false,expert,Starostin2005,,,
czech-1_all-1-1,czech-1_all-1,f.ʃ.ɪ.x.nʲ.ɪ,3,false,expert,Starostin2005,,,
icelandic-1_all-1-1,icelandic-1_all-1,a.t͡l.i.r,5,false,expert,Starostin2005,,,
italian-1_all-1-1,italian-1_all-1,i.n.t.ɛ.r.o,2,false,expert,Starostin2005,,,
hindi-1_all-1-1,hindi-1_all-1,s.ə.b,4,false,expert,Starostin2005,,,
portuguese-1_all-1-1,portuguese-1_all-1,t.o.d.u,6,false,expert,Starostin2005,,,
spanish-1_all-2-1,spanish-1_all-2,t.o.ð.o,6,false,expert,Starostin2005,,,
romanian-1_all-2-1,romanian-1_all-2,ɨ.n.t.r.e.g,2,false,expert,Starostin2005,,,
french-1_all-2-1,french-1_all-2,ɑ̃.t.j.e,2,false,expert,Starostin2005,,,
italian-1_all-2-1,italian-1_all-2,t.u.tː.o,6,false,expert,Starostin2005,,,
hindi-1_all-2-1,hindi-1_all-2,s.aː.r.aː,1,false,expert,Starostin2005,,,
dutch-2_ashes-1-1,dutch-2_ashes-1,ɑ.s,10,false,expert,Starostin2005,,,
swedish-2_ashes-1-1,swedish-2_ashes-1,a.sː.k.a,10,false,expert,Starostin2005,,,
english-2_ashes-1-1,english-2_ashes-1,æ.ʃ,10,false,expert,Starostin2005,,,
german-2_ashes-1-1,german-2_ashes-1,a.ʃ.ə,10,false,expert,Starostin2005,,,
spanish-2_ashes-1-1,spanish-2_ashes-1,θ.e.n.i.θ.a,12,false,expert,Starostin2005,,,
danish-2_ashes-1-1,danish-2_ashes-1,a.s.g,10,false,expert,Starostin2005,,,
bulgarian-2_ashes-1-1,bulgarian-2_ashes-1,p.ɛ.p.ɛ.l,8,false,expert,Starostin2005,,,
greek-2_ashes-1-1,greek-2_ashes-1,s.t.a.x.t.i,14,false,expert,Starostin2005,,,
armenian-2_ashes-1-1,armenian-2_ashes-1,m.o.χ.i.ɾ,9,false,expert,Starostin2005,,,
romanian-2_ashes-1-1,romanian-2_ashes-1,ʧ.e.n.u.ʃ.ə,12,false,expert,Starostin2005,,,
russian-2_ashes-1-1,russian-2_ashes-1,z.ɐ.l.a,11,false,expert,Starostin2005,,,
polish-2_ashes-1-1,polish-2_ashes-1,p.ɔ.pʲ.u.w,8,false,expert,Starostin2005,,,
norwegian-2_ashes-1-1,norwegian-2_ashes-1,ɑ.s.k,-10,false,expert,Starostin2005,,,
french-2_ashes-1-1,french-2_ashes-1,s.ɑ̃.d.ʁ,12,false,expert,Starostin2005,,,
czech-2_ashes-1-1,czech-2_ashes-1,p.o.p.ɛ.l,8,false,expert,Starostin2005,,,
icelandic-2_ashes-1-1,icelandic-2_ashes-1,a.s.k.a,10,false,expert,Starostin2005,,,
italian-2_ashes-1-1,italian-2_ashes-1,ʧ.e.n.e.r.e,12,false,expert,Starostin2005,,,
hindi-2_ashes-1-1,hindi-2_ashes-1,r.aː.kʰ,13,false,expert,Starostin2005,,,
portuguese-2_ashes-1-1,portuguese-2_ashes-1,s.ĩ.z.ɐ,12,false,expert,Starostin2005,,,
russian-2_ashes-2-1,russian-2_ashes-2,pʲ.e.p.ɪ.lʲ,8,false,expert,Starostin2005,,,
dutch-3_bark-1-1,dutch-3_bark-1,b.ɑ.s.t,19,false,expert,Starostin2005,,,
swedish-3_bark-1-1,swedish-3_bark-1,b.a.rː.k,15,false,expert,Starostin2005,,,
english-3_bark-1-1,english-3_bark-1,b.ɑː.r.k,-15,false,expert,Starostin2005,,,
german-3_bark-1-1,german-3_bark-1,r.ɪ.n.d.ə,20,false,expert,Starostin2005,,,
spanish-3_bark-1-1,spanish-3_bark-1,k.o.ɾ.t.e.θ.a,18,false,expert,Starostin2005,,,
danish-3_bark-1-1,danish-3_bark-1,b.ɑː.g,15,false,expert,Starostin2005,,,
bulgarian-3_bark-1-1,bulgarian-3_bark-1,k.o.r.a,23,false,expert,Starostin2005,,,
greek-3_bark-1-1,greek-3_bark-1,f.l.io.s,16,false,expert,Starostin2005,,,
armenian-3_bark-1-1,armenian-3_bark-1,k.ɛ.ʁ.ɛ.v,22,false,expert,Starostin2005,,,
romanian-3_bark-1-1,romanian-3_bark-1,s.k.w.a.r.ʦ.ə,23,false,expert,Starostin2005,,,
russian-3_bark-1-1,russian-3_bark-1,k.ɐ.r.a,23,false,expert,Starostin2005,,,
polish-3_bark-1-1,polish-3_bark-1,k.ɔ.r.a,23,false,expert,Starostin2005,,,
norwegian-3_bark-1-1,norwegian-3_bark-1,b.ɑ.ɾ.k,-15,false,expert,Starostin2005,,,
french-3_bark-1-1,french-3_bark-1,e.k.ɔ.ʁ.s,23,false,expert,Starostin2005,,,
czech-3_bark-1-1,czech-3_bark-1,k.uː.r.a,23,false,expert,Starostin2005,,,
icelandic-3_bark-1-1,icelandic-3_bark-1,b.œ.r.k.ʏ.r,15,false,expert,Starostin2005,,,
italian-3_bark-1-1,italian-3_bark-1,k.o.r.t.e.ʧː.a,18,false,expert,Starostin2005,,,
hindi-3_bark-1-1,hindi-3_bark-1,ʧʰ.aː.l,21,false,expert,Starostin2005,,,
portuguese-3_bark-1-1,portuguese-3_bark-1,k.a.ʃ.k.ɐ,17,false,expert,Starostin2005,,,
dutch-4_belly-1-1,dutch-4_belly-1,b.œy.k,27,false,expert,Starostin2005,,,
swedish-4_belly-1-1,swedish-4_belly-1,m.aː.g.e,32,false,expert,Starostin2005,,,
english-4_belly-1-1,english-4_belly-1,b.ɛ.l.ɪ,28,false,expert,Starostin2005,,,
german-4_belly-1-1,german-4_belly-1,b.au.x,27,false,expert,Starostin2005,,,
spanish-4_belly-1-1,spanish-4_belly-1,b.j.e.n.t.r.e,26,false,expert,Starostin2005,,,
danish-4_belly-1-1,danish-4_belly-1,ɔ.n.ʌ.l.i.wˀ,34,false,expert,Starostin2005,,,
bulgarian-4_belly-1-1,bulgarian-4_belly-1,k.o.r.ɛ.m,-30,false,expert,Starostin2005,,,
greek-4_belly-1-1,greek-4_belly-1,c.i.ʎ.a,24,false,expert,Starostin2005,,,
