ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
dutch-1_all-1,,dutch,1_all,ɑlə,ɑ.l.ə,ɑ l ə,,Starostin2005,,false,^ ɑ . l . ə $,default
swedish-1_all-1,,swedish,1_all,alː,a.lː,a lː,,Starostin2005,,false,^ a . lː $,default
english-1_all-1,,english,1_all,ɔːl,ɔː.l,ɔː l,,Starostin2005,,false,^ ɔː . l $,default
german-1_all-1,,german,1_all,al,a.l,a l,,Starostin2005,,false,^ a . l $,default
spanish-1_all-1,,spanish,1_all,entero,e.n.t.e.r.o,e n t e r o,,Starostin2005,,false,^ e . n . t . e . r . o $,default
danish-1_all-1,,danish,1_all,æˀl,æˀ.l,æˀ/æ l,,Starostin2005,,false,^ æˀ . l $,default
bulgarian-1_all-1,,bulgarian,1_all,vsiʧki,v.s.i.ʧ.k.i,v s i tʃ k i,,Starostin2005,,false,^ v . s . i . ʧ . k . i $,default
greek-1_all-1,,greek,1_all,kaθe,k.a.θ.e,k a θ e,,Starostin2005,,false,^ k . a . θ . e $,default
romanian-1_all-1,,romanian,1_all,tot,t.o.t,t o t,,Starostin2005,,false,^ t . o . t $,default
russian-1_all-1,,russian,1_all,fsʲe,f.sʲ.e,f sʲ e,,Starostin2005,,false,^ f . sʲ . e $,default
polish-1_all-1,,polish,1_all,fʃɨsʦɨ,f.ʃ.ɨ.s.ʦ.ɨ,f ʃ ɨ s ts ɨ,,Starostin2005,,false,^ f . ʃ . ɨ . s . ʦ . ɨ $,default
norwegian-1_all-1,,norwegian,1_all,ɑlə,ɑ.l.ə,ɑ l ə,,Starostin2005,,false,^ ɑ . l . ə $,default
french-1_all-1,,french,1_all,tu,t.u,t u,,Starostin2005,,false,^ t . u $,default
czech-1_all-1,,czech,1_all,fʃɪxnʲɪ,f.ʃ.ɪ.x.nʲ.ɪ,f ʃ ɪ x nʲ ɪ,,Starostin2005,,false,^ f . ʃ . ɪ . x . nʲ . ɪ $,default
icelandic-1_all-1,,icelandic,1_all,at͡lir,a.t͡l.i.r,a tˡ i r,,Starostin2005,,false,^ a . t͡l . i . r $,default
italian-1_all-1,,italian,1_all,intɛro,i.n.t.ɛ.r.o,i n t ɛ r o,,Starostin2005,,false,^ i . n . t . ɛ . r . o $,default
hindi-1_all-1,,hindi,1_all,səb,s.ə.b,s ə b,,Starostin2005,,false,^ s . ə . b $,default
portuguese-1_all-1,,portuguese,1_all,todu,t.o.d.u,t o d u,,Starostin2005,,false,^ t . o . d . u $,default
spanish-1_all-2,,spanish,1_all,toðo,t.o.ð.o,t o ð o,,Starostin2005,,false,^ t . o . ð . o $,default
romanian-1_all-2,,romanian,1_all,ɨntreg,ɨ.n.t.r.e.g,ɨ n t r e g,,Starostin2005,,false,^ ɨ . n . t . r . e . g $,default
french-1_all-2,,french,1_all,ɑ̃tje,ɑ̃.t.j.e,ɑ̃ t j e,,Starostin2005,,false,^ ɑ̃ . t . j . e $,default
italian-1_all-2,,italian,1_all,tutto,t.u.tː.o,t u tː o,,Starostin2005,,false,^ t . u . tː . o $,default
hindi-1_all-2,,hindi,1_all,saːraː,s.aː.r.aː,s aː r aː,,Starostin2005,,false,^ s . aː . r . aː $,default
dutch-2_ashes-1,,dutch,2_ashes,ɑs,ɑ.s,ɑ s,,Starostin2005,,false,^ ɑ . s $,default
swedish-2_ashes-1,,swedish,2_ashes,asːka,a.sː.k.a,a sː k a,,Starostin2005,,false,^ a . sː . k . a $,default
english-2_ashes-1,,english,2_ashes,æʃ,æ.ʃ,æ ʃ,,Starostin2005,,false,^ æ . ʃ $,default
german-2_ashes-1,,german,2_ashes,aʃə,a.ʃ.ə,a ʃ ə,,Starostin2005,,false,^ a . ʃ . ə $,default
spanish-2_ashes-1,,spanish,2_ashes,θeniθa,θ.e.n.i.θ.a,θ e n i θ a,,Starostin2005,,false,^ θ . e . n . i . θ . a $,default
danish-2_ashes-1,,danish,2_ashes,asg,a.s.g,a s g,,Starostin2005,,false,^ a . s . g $,default
bulgarian-2_ashes-1,,bulgarian,2_ashes,pɛpɛl,p.ɛ.p.ɛ.l,p ɛ p ɛ l,,Starostin2005,,false,^ p . ɛ . p . ɛ . l $,default
greek-2_ashes-1,,greek,2_ashes,staxti,s.t.a.x.t.i,s t a x t i,,Starostin2005,,false,^ s . t . a . x . t . i $,default
armenian-2_ashes-1,,armenian,2_ashes,moχiɾ,m.o.χ.i.ɾ,m o χ i ɾ,,Starostin2005,,false,^ m . o . χ . i . ɾ $,default
romanian-2_ashes-1,,romanian,2_ashes,ʧenuʃə,ʧ.e.n.u.ʃ.ə,tʃ e n u ʃ ə,,Starostin2005,,false,^ ʧ . e . n . u . ʃ . ə $,default
russian-2_ashes-1,,russian,2_ashes,zɐla,z.ɐ.l.a,z ɐ l a,,Starostin2005,,false,^ z . ɐ . l . a $,default
polish-2_ashes-1,,polish,2_ashes,pɔpʲuw,p.ɔ.pʲ.u.w,p ɔ pʲ u w,,Starostin2005,,false,^ p . ɔ . pʲ . u . w $,default
norwegian-2_ashes-1,,norwegian,2_ashes,ɑsk,ɑ.s.k,ɑ s k,,Starostin2005,,true,^ ɑ . s . k $,default
french-2_ashes-1,,french,2_ashes,sɑ̃dʁ,s.ɑ̃.d.ʁ,s ɑ̃ d ʁ,,Starostin2005,,false,^ s . ɑ̃ . d . ʁ $,default
czech-2_ashes-1,,czech,2_ashes,popɛl,p.o.p.ɛ.l,p o p ɛ l,,Starostin2005,,false,^ p . o . p . ɛ . l $,default
icelandic-2_ashes-1,,icelandic,2_ashes,aska,a.s.k.a,a s k a,,Starostin2005,,false,^ a . s . k . a $,default
italian-2_ashes-1,,italian,2_ashes,ʧenere,ʧ.e.n.e.r.e,tʃ e n e r e,,Starostin2005,,false,^ ʧ . e . n . e . r . e $,default
hindi-2_ashes-1,,hindi,2_ashes,raːkʰ,r.aː.kʰ,r aː kʰ,,Starostin2005,,false,^ r . aː . kʰ $,default
portuguese-2_ashes-1,,portuguese,2_ashes,sĩzɐ,s.ĩ.z.ɐ,s ĩ z ɐ,,Starostin2005,,false,^ s . ĩ . z . ɐ $,default
russian-2_ashes-2,,russian,2_ashes,pʲepɪlʲ,pʲ.e.p.ɪ.lʲ,pʲ e p ɪ lʲ,,Starostin2005,,false,^ pʲ . e . p . ɪ . lʲ $,default
dutch-3_bark-1,,dutch,3_bark,bɑst,b.ɑ.s.t,b ɑ s t,,Starostin2005,,false,^ b . ɑ . s . t $,default
swedish-3_bark-1,,swedish,3_bark,barːk,b.a.rː.k,b a rː k,,Starostin2005,,false,^ b . a . rː . k $,default
english-3_bark-1,,english,3_bark,bɑːrk,b.ɑː.r.k,b ɑː r k,,Starostin2005,,true,^ b . ɑː . r . k $,default
german-3_bark-1,,german,3_bark,rɪndə,r.ɪ.n.d.ə,r ɪ n d ə,,Starostin2005,,false,^ r . ɪ . n . d . ə $,default
spanish-3_bark-1,,spanish,3_bark,koɾteθa,k.o.ɾ.t.e.θ.a,k o ɾ t e θ a,,Starostin2005,,false,^ k . o . ɾ . t . e . θ . a $,default
danish-3_bark-1,,danish,3_bark,bɑːg,b.ɑː.g,b ɑː g,,Starostin2005,,false,^ b . ɑː . g $,default
bulgarian-3_bark-1,,bulgarian,3_bark,kora,k.o.r.a,k o r a,,Starostin2005,,false,^ k . o . r . a $,default
greek-3_bark-1,,greek,3_bark,flios,f.l.io.s,f l i o s,,Starostin2005,,false,^ f . l . io . s $,default
armenian-3_bark-1,,armenian,3_bark,kɛʁɛv,k.ɛ.ʁ.ɛ.v,k ɛ ʁ ɛ v,,Starostin2005,,false,^ k . ɛ . ʁ . ɛ . v $,default
romanian-3_bark-1,,romanian,3_bark,skwarʦə,s.k.w.a.r.ʦ.ə,s k w a r ts ə,,Starostin2005,,false,^ s . k . w . a . r . ʦ . ə $,default
russian-3_bark-1,,russian,3_bark,kɐra,k.ɐ.r.a,k ɐ r a,,Starostin2005,,false,^ k . ɐ . r . a $,default
polish-3_bark-1,,polish,3_bark,kɔra,k.ɔ.r.a,k ɔ r a,,Starostin2005,,false,^ k . ɔ . r . a $,default
