,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,dutch-1_all-1,,dutch,1_all,ɑlə,ɑ.l.ə,ɑ l ə,,Starostin2005,,False,^ ɑ . l . ə $,default,o l 3,3 l o
1,swedish-1_all-1,,swedish,1_all,alː,a.lː,a lː,,Starostin2005,,False,^ a . lː $,default,a l,a l
2,english-1_all-1,,english,1_all,ɔːl,ɔː.l,ɔː l,,Starostin2005,,False,^ ɔː . l $,default,o l,l o
3,german-1_all-1,,german,1_all,al,a.l,a l,,Starostin2005,,False,^ a . l $,default,a l,a l
4,spanish-1_all-1,,spanish,1_all,entero,e.n.t.e.r.o,e n t e r o,,Starostin2005,,False,^ e . n . t . e . r . o $,default,e n t e r o,e n o r t
5,danish-1_all-1,,danish,1_all,æˀl,æˀ.l,æˀ/æ l,,Starostin2005,,False,^ æˀ . l $,default,E E l,E l
6,bulgarian-1_all-1,,bulgarian,1_all,vsiʧki,v.s.i.ʧ.k.i,v s i tʃ k i,,Starostin2005,,False,^ v . s . i . ʧ . k . i $,default,v s i tS k i,i k s tS v
7,greek-1_all-1,,greek,1_all,kaθe,k.a.θ.e,k a θ e,,Starostin2005,,False,^ k . a . θ . e $,default,k a 8 e,8 a e k
8,romanian-1_all-1,,romanian,1_all,tot,t.o.t,t o t,,Starostin2005,,False,^ t . o . t $,default,t o t,o t
9,russian-1_all-1,,russian,1_all,fsʲe,f.sʲ.e,f sʲ e,,Starostin2005,,False,^ f . sʲ . e $,default,f sy~ e,e f sy~
10,polish-1_all-1,,polish,1_all,fʃɨsʦɨ,f.ʃ.ɨ.s.ʦ.ɨ,f ʃ ɨ s ts ɨ,,Starostin2005,,False,^ f . ʃ . ɨ . s . ʦ . ɨ $,default,f S 3 s ts 3,3 S f s ts
11,norwegian-1_all-1,,norwegian,1_all,ɑlə,ɑ.l.ə,ɑ l ə,,Starostin2005,,False,^ ɑ . l . ə $,default,o l 3,3 l o
12,french-1_all-1,,french,1_all,tu,t.u,t u,,Starostin2005,,False,^ t . u $,default,t u,t u
13,czech-1_all-1,,czech,1_all,fʃɪxnʲɪ,f.ʃ.ɪ.x.nʲ.ɪ,f ʃ ɪ x nʲ ɪ,,Starostin2005,,False,^ f . ʃ . ɪ . x . nʲ . ɪ $,default,f S i x ny~ i,S f i ny~ x
14,icelandic-1_all-1,,icelandic,1_all,at͡lir,a.t͡l.i.r,a tˡ i r,,Starostin2005,,False,^ a . t͡l . i . r $,default,a t i r,a i r t
15,italian-1_all-1,,italian,1_all,intɛro,i.n.t.ɛ.r.o,i n t ɛ r o,,Starostin2005,,False,^ i . n . t . ɛ . r . o $,default,i n t E r o,E i n o r t
16,hindi-1_all-1,,hindi,1_all,səb,s.ə.b,s ə b,,Starostin2005,,False,^ s . ə . b $,default,s 3 b,3 b s
17,portuguese-1_all-1,,portuguese,1_all,todu,t.o.d.u,t o d u,,Starostin2005,,False,^ t . o . d . u $,default,t o d u,d o t u
18,spanish-1_all-2,,spanish,1_all,toðo,t.o.ð.o,t o ð o,,Starostin2005,,False,^ t . o . ð . o $,default,t o 8 o,8 o t
19,romanian-1_all-2,,romanian,1_all,ɨntreg,ɨ.n.t.r.e.g,ɨ n t r e g,,Starostin2005,,False,^ ɨ . n . t . r . e . g $,default,3 n t r e g,3 e g n r t
20,french-1_all-2,,french,1_all,ɑ̃tje,ɑ̃.t.j.e,ɑ̃ t j e,,Starostin2005,,False,^ ɑ̃ . t . j . e $,default,o* t y e,e o* t y
21,italian-1_all-2,,italian,1_all,tutto,t.u.tː.o,t u tː o,,Starostin2005,,False,^ t . u . tː . o $,default,t u t o,o t u
22,hindi-1_all-2,,hindi,1_all,saːraː,s.aː.r.aː,s aː r aː,,Starostin2005,,False,^ s . aː . r . aː $,default,s a r a,a r s
23,dutch-2_ashes-1,,dutch,2_ashes,ɑs,ɑ.s,ɑ s,,Starostin2005,,False,^ ɑ . s $,default,o s,o s
24,swedish-2_ashes-1,,swedish,2_ashes,asːka,a.sː.k.a,a sː k a,,Starostin2005,,False,^ a . sː . k . a $,default,a s k a,a k s
25,english-2_ashes-1,,english,2_ashes,æʃ,æ.ʃ,æ ʃ,,Starostin2005,,False,^ æ . ʃ $,default,E S,E S
26,german-2_ashes-1,,german,2_ashes,aʃə,a.ʃ.ə,a ʃ ə,,Starostin2005,,False,^ a . ʃ . ə $,default,a S 3,3 S a
27,spanish-2_ashes-1,,spanish,2_ashes,θeniθa,θ.e.n.i.θ.a,θ e n i θ a,,Starostin2005,,False,^ θ . e . n . i . θ . a $,default,8 e n i 8 a,8 a e i n
28,danish-2_ashes-1,,danish,2_ashes,asg,a.s.g,a s g,,Starostin2005,,False,^ a . s . g $,default,a s g,a g s
29,bulgarian-2_ashes-1,,bulgarian,2_ashes,pɛpɛl,p.ɛ.p.ɛ.l,p ɛ p ɛ l,,Starostin2005,,False,^ p . ɛ . p . ɛ . l $,default,p E p E l,E l p
30,greek-2_ashes-1,,greek,2_ashes,staxti,s.t.a.x.t.i,s t a x t i,,Starostin2005,,False,^ s . t . a . x . t . i $,default,s t a x t i,a i s t x
31,armenian-2_ashes-1,,armenian,2_ashes,moχiɾ,m.o.χ.i.ɾ,m o χ i ɾ,,Starostin2005,,False,^ m . o . χ . i . ɾ $,default,m o X i r,X i m o r
32,romanian-2_ashes-1,,romanian,2_ashes,ʧenuʃə,ʧ.e.n.u.ʃ.ə,tʃ e n u ʃ ə,,Starostin2005,,False,^ ʧ . e . n . u . ʃ . ə $,default,tS e n u S 3,3 S e n tS u
33,russian-2_ashes-1,,russian,2_ashes,zɐla,z.ɐ.l.a,z ɐ l a,,Starostin2005,,False,^ z . ɐ . l . a $,default,z a l a,a l z
34,polish-2_ashes-1,,polish,2_ashes,pɔpʲuw,p.ɔ.pʲ.u.w,p ɔ pʲ u w,,Starostin2005,,False,^ p . ɔ . pʲ . u . w $,default,p o py~ u w,o p py~ u w
35,norwegian-2_ashes-1,,norwegian,2_ashes,ɑsk,ɑ.s.k,ɑ s k,,Starostin2005,,True,^ ɑ . s . k $,default,o s k,k o s
36,french-2_ashes-1,,french,2_ashes,sɑ̃dʁ,s.ɑ̃.d.ʁ,s ɑ̃ d ʁ,,Starostin2005,,False,^ s . ɑ̃ . d . ʁ $,default,s o* d X,X d o* s
37,czech-2_ashes-1,,czech,2_ashes,popɛl,p.o.p.ɛ.l,p o p ɛ l,,Starostin2005,,False,^ p . o . p . ɛ . l $,default,p o p E l,E l o p
