,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,ingrian-82_i-1,,ingrian,82_i,miæ,m.i.æ,m i æ,,Syrjaenen2013,,False,^ m . i . æ $,default,m i E,E i m
1,komipermyak-82_i-1,,komipermyak,82_i,me,m.e,m e,,Syrjaenen2013,,False,^ m . e $,default,m e,e m
2,komizyrian-82_i-1,,komizyrian,82_i,me,m.e,m e,,Syrjaenen2013,,False,^ m . e $,default,m e,e m
3,nganasan-82_i-1,,nganasan,82_i,mənə,m.ə.n.ə,m ə n ə,,Syrjaenen2013,,False,^ m . ə . n . ə $,default,m 3 n 3,3 m n
4,selkup-82_i-1,,selkup,82_i,mɑn,m.ɑ.n,m ɑ n,,Syrjaenen2013,,False,^ m . ɑ . n $,default,m o n,m n o
5,udmurt-82_i-1,,udmurt,82_i,mon,m.o.n,m o n,,Syrjaenen2013,,False,^ m . o . n $,default,m o n,m n o
6,erzya-82_i-1,,erzya,82_i,mon,m.o.n,m o n,,Syrjaenen2013,,False,^ m . o . n $,default,m o n,m n o
7,erzya-1_all-1,,erzya,1_all,veɕe,v.e.ɕ.e,v e ɕ e,,Syrjaenen2013,,False,^ v . e . ɕ . e $,default,v e S e,S e v
8,ingrian-1_all-1,,ingrian,1_all,kɑi,k.ɑ.i,k ɑ i,,Syrjaenen2013,,False,^ k . ɑ . i $,default,k o i,i k o
9,komipermyak-1_all-1,,komipermyak,1_all,bɯdɤs,b.ɯ.d.ɤ.s,b ɯ d ɤ s,,Syrjaenen2013,,False,^ b . ɯ . d . ɤ . s $,default,b u d o s,b d o s u
10,komizyrian-1_all-1,,komizyrian,1_all,bɯd,b.ɯ.d,b ɯ d,,Syrjaenen2013,,False,^ b . ɯ . d $,default,b u d,b d u
11,komizyrian-1_all-2,,komizyrian,1_all,stɑv,s.t.ɑ.v,s t ɑ v,,Syrjaenen2013,,False,^ s . t . ɑ . v $,default,s t o v,o s t v
