,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Annotation,asjp_forms,asjp_segs
0,Mono-1_nonot-1,1,Mono,1_nonot,qatuʔu,qatuʔu,q a t u ʔ u,,Miller1984,1_nonot-1,False,^q a t u ʔ u$,default,,q a t u 7 u,7 a q t u
1,Mono-2_many-1,33,Mono,2_many,ewa,ewa,e w a,,Miller1984,2_many-1,False,^e w a$,default,,e w a,a e w
2,Mono-3_one-1,65,Mono,3_one,sɨmɨ,sɨmɨ,s ɨ m ɨ,,Miller1984,3_one-1,False,^s ɨ m ɨ$,default,,s 3 m 3,3 m s
3,Mono-4_two-1,97,Mono,4_two,waha,waha,w a h a,,Miller1984,4_two-3,False,^w a h a$,default,,w a h a,a h w
4,Mono-5_big-1,129,Mono,5_big,papa,papa,p a p a,,Miller1984,5_big-1,False,^p a p a$,default,,p a p a,a p
5,Mono-6_old-1,161,Mono,6_old,mua-,mua-,m u a,,Liljeblad1966,6_old-1,False,^m ua -$,default,(=Ft. Ind. dialect),m u a,a m u
6,Mono-7_small-1,193,Mono,7_small,ino-cicciʔ,ino-cicciʔ,i n o + c i tsː i ʔ,,Miller1984,7_small-2,False,^i n o - c i cc i ʔ$,default,JHH: The first element may be (16),i n o  T i ts i 7, 7 T i n o ts
7,Mono-8_short-1,225,Mono,8_short,toppo-ciccini,toppo-ciccini,t o pː o + c i tsː i n i,,Miller1984,8_short-4,False,^t o pp o - c i cc i n i$,default,,t o p o  T i ts i n i, T i n o p t ts
8,Mono-9_long-1,257,Mono,9_long,ɨti,ɨti,ɨ t i,,Miller1984,9_long-1,False,^ɨ t i$,default,,3 t i,3 i t
9,Mono-10_new-1,289,Mono,10_new,pɨtɨt-tɨ-ppɨ,pɨtɨt-tɨ-ppɨ,p ɨ t ɨ t + t ɨ + pː ɨ,,Miller1984,10_new-1,False,^p ɨ t ɨ t - t ɨ - pp ɨ$,default,,p 3 t 3 t  t 3  p 3, 3 p t
10,Mono-11_good-1,321,Mono,11_good,cawu,cawu,ts a w u,,Miller1984,11_good-1,False,^c a w u$,default,,ts a w u,a ts u w
11,Mono-12_round-1,353,Mono,12_round,attɨp-pono,attɨp-pono,a tː ɨ p + p o n o,,Miller1984,12_round-3,False,^a tt ɨ p - p o n o$,default,,a t 3 p  p o n o, 3 a n o p t
12,Mono-13_heavy-1,385,Mono,13_heavy,nɨʔnɨkkwɨ,nɨʔnɨkkwɨ,n ɨ ʔ n ɨ kː w ɨ,,Miller1984,13_heavy-1,False,^n ɨ ʔ n ɨ kk w ɨ$,default,,n 3 7 n 3 k w 3,3 7 k n w
