,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,VaeakauTaumako-210_onethousand-1,,VaeakauTaumako,210_onethousand,tupuangahulu,tupuangahulu,t u p u a + ŋ a h u l u,,Hovdhaugen-375-2009,5,False,,,t u p u a  N a h u l u, N a h l p t u
1,VaeakauTaumako-209_onehundred-1,,VaeakauTaumako,209_onehundred,vahiki,vahiki,v a h i k i,,Hovdhaugen-375-2009,518,False,,,v a h i k i,a h i k v
2,VaeakauTaumako-208_fifty-1,,VaeakauTaumako,208_fifty,gatoaelima,gatoaelima,g a + t o a + e + l i m a,,Hovdhaugen-375-2009,664,False,,,g a  t o a  e  l i m a, a e g i l m o t
3,VaeakauTaumako-207_twenty-1,,VaeakauTaumako,207_twenty,gatoaelua,gatoaelua,g a t o a e + l u a,,Hovdhaugen-375-2009,947,False,,,g a t o a e  l u a, a e g l o t u
4,VaeakauTaumako-206_ten-1,,VaeakauTaumako,206_ten,dumaa,dumaa,d u m aː,,Hovdhaugen-375-2009,946,False,,,d u m a,a d m u
5,VaeakauTaumako-206_ten-2,,VaeakauTaumako,206_ten,katoa,katoa,k a t o a,,Hovdhaugen-375-2009,114,False,,,k a t o a,a k o t
6,VaeakauTaumako-205_nine-1,,VaeakauTaumako,205_nine,iva,iva,i v a,,Hovdhaugen-375-2009,945,False,,,i v a,a i v
7,VaeakauTaumako-204_eight-1,,VaeakauTaumako,204_eight,valu,valu,v a l u,,Hovdhaugen-375-2009,663,False,,,v a l u,a l u v
8,VaeakauTaumako-203_seven-1,,VaeakauTaumako,203_seven,hitu,hitu,h i t u,,Hovdhaugen-375-2009,6,False,,,h i t u,h i t u
9,VaeakauTaumako-202_six-1,,VaeakauTaumako,202_six,ono,ono,o n o,,Hovdhaugen-375-2009,7,False,,,o n o,n o
10,VaeakauTaumako-201_five-1,,VaeakauTaumako,201_five,lima,lima,l i m a,,Hovdhaugen-375-2009,2,False,,,l i m a,a i l m
11,VaeakauTaumako-200_four-1,,VaeakauTaumako,200_four,haa,haa,h aː,,Hovdhaugen-375-2009,3,False,,,h a,a h
12,VaeakauTaumako-199_three-1,,VaeakauTaumako,199_three,tolu,tolu,t o l u,,Hovdhaugen-375-2009,8,False,,,t o l u,l o t u
13,VaeakauTaumako-198_two-1,,VaeakauTaumako,198_two,lua,lua,l u a,,Hovdhaugen-375-2009,9,False,,,l u a,a l u
14,VaeakauTaumako-197_one-1,,VaeakauTaumako,197_one,kotahi,kotahi,k o + t a h i,,Hovdhaugen-375-2009,335,False,,,k o  t a h i, a h i k o t
15,VaeakauTaumako-196_tocount-1,,VaeakauTaumako,196_tocount,phaua,phaua,p h a u a,,Hovdhaugen-375-2009,1330,False,,,p h a u a,a h p u
16,VaeakauTaumako-195_nonot-1,,VaeakauTaumako,195_nonot,siai,siai,s i + a i,,Hovdhaugen-375-2009,129,False,,,s i  a i, a i s
17,VaeakauTaumako-194_how-1,,VaeakauTaumako,194_how,huahea,huahea,h u a + h e a,,Hovdhaugen-375-2009,194,False,,,h u a  h e a, a e h u
18,VaeakauTaumako-193_if-1,,VaeakauTaumako,193_if,plā,plā,p l aː,if,Hovdhaugen-375-2009,476,False,,,p l a,a l p
19,VaeakauTaumako-192_and-1,,VaeakauTaumako,192_and,ia,ia,i a,,Hovdhaugen-375-2009,538,False,,,i a,a i
20,VaeakauTaumako-192_and-2,,VaeakauTaumako,192_and,ma,ma,m a,,Hovdhaugen-375-2009,520,False,,,m a,a m
21,VaeakauTaumako-192_and-3,,VaeakauTaumako,192_and,ioko,ioko,i o k o,,Hovdhaugen-375-2009,1447,False,,,i o k o,i k o
22,VaeakauTaumako-192_and-4,,VaeakauTaumako,192_and,o,o,o,,Hovdhaugen-375-2009,1383,False,,,o,o
23,VaeakauTaumako-191_all-1,,VaeakauTaumako,191_all,katoa,katoa,k a + t o a,,Hovdhaugen-375-2009,293,False,,,k a  t o a, a k o t
24,VaeakauTaumako-190_other-1,,VaeakauTaumako,190_other,haila,haila,h a i l a,,Hovdhaugen-375-2009,614,False,,,h a i l a,a h i l
25,VaeakauTaumako-189_who-1,,VaeakauTaumako,189_who,ai,ai,a i,,Hovdhaugen-375-2009,106,False,,,a i,a i
26,VaeakauTaumako-188_what-1,,VaeakauTaumako,188_what,aa,aa,aː,,Hovdhaugen-375-2009,104,False,,,a,a
27,VaeakauTaumako-187_they-1,,VaeakauTaumako,187_they,lhatou,lhatou,lʰ a + t o u,,Hovdhaugen-375-2009,73,False,,,lh~ a  t o u, a lh~ o t u
28,VaeakauTaumako-187_they-2,,VaeakauTaumako,187_they,lhaua,lhaua,lʰ a + u a,,Hovdhaugen-375-2009,1469,False,,,lh~ a  u a, a lh~ u
29,VaeakauTaumako-186_you-1,,VaeakauTaumako,186_you,koutou,koutou,k o u + t o u,,Hovdhaugen-375-2009,407,False,,,k o u  t o u, k o t u
30,VaeakauTaumako-186_you-2,,VaeakauTaumako,186_you,koulua,koulua,k o u + l u a,,Hovdhaugen-375-2009,1477,False,,,k o u  l u a, a k l o u
31,VaeakauTaumako-185_we-1,,VaeakauTaumako,185_we,thatou,thatou,tʰ a + t o u,1 pl. incl.,Hovdhaugen-375-2009,103,False,,,th~ a  t o u, a o t th~ u
32,VaeakauTaumako-185_we-2,,VaeakauTaumako,185_we,thaua,thaua,tʰ a + u a,,Hovdhaugen-375-2009,103,False,,,th~ a  u a, a th~ u
33,VaeakauTaumako-185_we-3,,VaeakauTaumako,185_we,mhatou,mhatou,m h a + t o u,,Hovdhaugen-375-2009,537,False,,,m h a  t o u, a h m o t u
34,VaeakauTaumako-185_we-4,,VaeakauTaumako,185_we,mhaua,mhaua,m h a + u a,,Hovdhaugen-375-2009,537,False,,,m h a  u a, a h m u
35,VaeakauTaumako-184_heshe-1,,VaeakauTaumako,184_heshe,na,na,n a,,Hovdhaugen-375-2009,954,False,,,n a,a n
36,VaeakauTaumako-184_heshe-2,,VaeakauTaumako,184_heshe,ia,ia,i a,,Hovdhaugen-375-2009,37,False,,,i a,a i
37,VaeakauTaumako-183_thou-1,,VaeakauTaumako,183_thou,koe,koe,k o e,,Hovdhaugen-375-2009,76,False,,,k o e,e k o
38,VaeakauTaumako-182_i-1,,VaeakauTaumako,182_i,au,au,a u,,Hovdhaugen-375-2009,4,False,,,a u,a u
39,VaeakauTaumako-181_where-1,,VaeakauTaumako,181_where,i hea,i hea,i + h e a,,Hovdhaugen-375-2009,679,False,,,i  h e a, a e h i
40,VaeakauTaumako-180_far-1,,VaeakauTaumako,180_far,mao,mao,m a o,,Hovdhaugen-375-2009,297,False,,,m a o,a m o
41,VaeakauTaumako-179_near-1,,VaeakauTaumako,179_near,leuethaki,leuethaki,l e u e + tʰ a k i,,Hovdhaugen-375-2009,863,False,,,l e u e  th~ a k i, a e i k l th~ u
42,VaeakauTaumako-178_that-1,,VaeakauTaumako,178_that,tena,tena,t e + n a,,Hovdhaugen-375-2009,71,False,,,t e  n a, a e n t
43,VaeakauTaumako-177_this-1,,VaeakauTaumako,177_this,tene,tene,t e + n e,,Hovdhaugen-375-2009,1224,False,,,t e  n e, e n t
44,VaeakauTaumako-177_this-2,,VaeakauTaumako,177_this,ne,ne,n e,,Hovdhaugen-375-2009,75,False,,,n e,e n
45,VaeakauTaumako-176_below-1,,VaeakauTaumako,176_below,lalo,lalo,l a l o,,Hovdhaugen-375-2009,1315,False,,,l a l o,a l o
46,VaeakauTaumako-175_above-1,,VaeakauTaumako,175_above,lunga,lunga,l u ŋ a,,Hovdhaugen-375-2009,1382,False,,,l u N a,N a l u
47,VaeakauTaumako-173_at-1,,VaeakauTaumako,173_at,i,i,i,,Hovdhaugen-375-2009,11,False,,,i,i
48,VaeakauTaumako-172_toclimb-1,,VaeakauTaumako,172_toclimb,kake,kake,k a k e,,Hovdhaugen-375-2009,707,False,,,k a k e,a e k
49,VaeakauTaumako-171_tohide-1,,VaeakauTaumako,171_tohide,muni,muni,m u n i,,Hovdhaugen-375-2009,91,False,,,m u n i,i m n u
50,VaeakauTaumako-170_when-1,,VaeakauTaumako,170_when,anahea,anahea,a n a + h e a,past,Hovdhaugen-375-2009,970,False,,,a n a  h e a, a e h n
51,VaeakauTaumako-169_year-1,,VaeakauTaumako,169_year,ngatae,ngatae,ŋ a t a e,,Hovdhaugen-375-2009,1004,False,,,N a t a e,N a e t
52,VaeakauTaumako-168_day-1,,VaeakauTaumako,168_day,langi,langi,l a ŋ i,,Hovdhaugen-375-2009,1087,False,,,l a N i,N a i l
53,VaeakauTaumako-167_night-1,,VaeakauTaumako,167_night,poo,poo,p oː,,Hovdhaugen-375-2009,54,False,,,p o,o p
54,VaeakauTaumako-166_correcttrue-1,,VaeakauTaumako,166_correcttrue,thonu,thonu,tʰ o n u,,Hovdhaugen-375-2009,1317,False,,,th~ o n u,n o th~ u
55,VaeakauTaumako-166_correcttrue-2,,VaeakauTaumako,166_correcttrue,maoli,maoli,m a o l i,,Hovdhaugen-375-2009,1043,False,,,m a o l i,a i l m o
56,VaeakauTaumako-165_badevil-1,,VaeakauTaumako,165_badevil,thapeo,thapeo,tʰ a p e o,,Hovdhaugen-375-2009,1061,False,,,th~ a p e o,a e o p th~
57,VaeakauTaumako-164_good-1,,VaeakauTaumako,164_good,lavoi,lavoi,l a v o i,,Hovdhaugen-375-2009,1068,False,,,l a v o i,a i l o v
58,VaeakauTaumako-163_new-1,,VaeakauTaumako,163_new,hou,hou,h o u,,Hovdhaugen-375-2009,53,False,,,h o u,h o u
59,VaeakauTaumako-162_old-1,,VaeakauTaumako,162_old,mathua,mathua,m a tʰ u a,,Hovdhaugen-375-2009,56,False,,,m a th~ u a,a m th~ u
60,VaeakauTaumako-161_shyashamed-1,,VaeakauTaumako,161_shyashamed,maa,maa,m aː,,Hovdhaugen-375-2009,64,False,,,m a,a m
61,VaeakauTaumako-160_painfulsick-1,,VaeakauTaumako,160_painfulsick,maki,maki,m a k i,,Hovdhaugen-375-2009,57,False,,,m a k i,a i k m
62,VaeakauTaumako-159_wide-1,,VaeakauTaumako,159_wide,laueha,laueha,l a u + e h a,,Hovdhaugen-375-2009,1420,False,,,l a u  e h a, a e h l u
63,VaeakauTaumako-158_narrow-1,,VaeakauTaumako,158_narrow,mdakiko,mdakiko,m d a + k i k o,,Hovdhaugen-375-2009,1159,False,,,m d a  k i k o, a d i k m o
64,VaeakauTaumako-158_narrow-2,,VaeakauTaumako,158_narrow,mdaliki,mdaliki,m d a + l i k i,,Hovdhaugen-375-2009,1355,False,,,m d a  l i k i, a d i k l m
65,VaeakauTaumako-157_thick-1,,VaeakauTaumako,157_thick,eha,eha,e h a,,Hovdhaugen-375-2009,1184,False,,,e h a,a e h
66,VaeakauTaumako-156_thin-1,,VaeakauTaumako,156_thin,manihi,manihi,m a + n i h i,,Hovdhaugen-375-2009,74,False,,,m a  n i h i, a h i m n
67,VaeakauTaumako-155_long-1,,VaeakauTaumako,155_long,loa,loa,l o a,,Hovdhaugen-375-2009,245,False,,,l o a,a l o
68,VaeakauTaumako-154_short-1,,VaeakauTaumako,154_short,popoto,popoto,p o + p o t o,,Hovdhaugen-375-2009,1397,False,,,p o  p o t o, o p t
