,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,NorthHighlandMixe-1_all-1,,NorthHighlandMixe,1_all,nəhυm,nəhυm,n ə h υ/ʊ m,,Schoenhals1965,1_all-1,,^ n ə h υ m $,default,n 3 h u m,3 h m n u
1,SouthHighlandMixe-1_all-1,,SouthHighlandMixe,1_all,tukəʔy,tukəʔy,t u k ə ʔ j,,Cysouw2006,1_all-2,,^ t u k ə ʔ y $,default,t u k 3 7 y,3 7 k t u y
2,LowlandMixe-1_all-1,,LowlandMixe,1_all,tuʔuk-ʔokəy,tuʔuk-ʔokəy,t u ʔ u k + ʔ o k ə j,,Hoogshagen1993,1_all-2,,^ t u ʔ u k - ʔ o k ə y $,default,t u 7 u k  7 o k 3 y, 3 7 k o t u y
3,SayulaPopoluca-1_all-1,,SayulaPopoluca,1_all,nu pəhən,nu pəhən,n u + p ə h ə n,,Clark1961,1_all-3,,^ n u + p ə h ə n $,default,n u  p 3 h 3 n, 3 h n p u
4,OlutaPopoluca-1_all-1,,OlutaPopoluca,1_all,niʔtiʔk,niʔtiʔk,n i ʔ t i ʔ k,,Clark1981,1_all-4,,^ n i ʔ t i ʔ k $,default,n i 7 t i 7 k,7 i k n t
5,TexistepecZoque-1_all-1,,TexistepecZoque,1_all,bumbe,bumbe,b u m b e,,Wichmann2002,1_all-5,,^ b u m b e $,default,b u m b e,b e m u
6,SoteapanZoque-1_all-1,,SoteapanZoque,1_all,ikuməh,ikuməh,i k u m ə h,,Elson1999,1_all-6,,^ i k u m ə h $,default,i k u m 3 h,3 h i k m u
7,SantaMariaChimalapaZoque-1_all-1,,SantaMariaChimalapaZoque,1_all,aŋteneʔ,aŋteneʔ,a ŋ t e n e ʔ,,Knudson1980,1_all-7,,^ a ŋ t e n e ʔ $,default,a N t e n e 7,7 N a e n t
8,SanMiguelChimalapaZoque-1_all-1,,SanMiguelChimalapaZoque,1_all,hemhiʔ,hemhiʔ,h e m h i ʔ,,Johnson1998,1_all-8,,^ h e mh i ʔ $,default,h e m h i 7,7 e h i m
9,ChiapasZoque-1_all-1,,ChiapasZoque,1_all,mumu,mumu,m u m u,,Harrison1981,1_all-5,,^ m u m u $,default,m u m u,m u
10,NorthHighlandMixe-2_ashes-1,,NorthHighlandMixe,2_ashes,haahm,haahm,h aː h m,,Schoenhals1965,2_ashes-2,,^ h aa h m $,default,h a h m,a h m
11,SouthHighlandMixe-2_ashes-1,,SouthHighlandMixe,2_ashes,haam,haam,h aː m,,Cysouw2006,2_ashes-2,,^ h aa m $,default,h a m,a h m
12,LowlandMixe-2_ashes-1,,LowlandMixe,2_ashes,kuy-haam,kuy-haam,k u j + h aː m,,Hoogshagen1993,2_ashes-1,,^ k u y - h aa m $,default,k u y  h a m, a h k m u y
13,SayulaPopoluca-2_ashes-1,,SayulaPopoluca,2_ashes,kuy-hahm,kuy-hahm,k u j + h a h m,,Clark1961,2_ashes-1,,^ k u y - h a h m $,default,k u y  h a h m, a h k m u y
14,OlutaPopoluca-2_ashes-1,,OlutaPopoluca,2_ashes,hamə,hamə,h a m ə,,Clark1981,2_ashes-2,,^ h a m ə $,default,h a m 3,3 a h m
15,TexistepecZoque-2_ashes-1,,TexistepecZoque,2_ashes,kuyam,kuyam,k u j a m,,Wichmann2002,2_ashes-1,,^ k u y a m $,default,k u y a m,a k m u y
16,SoteapanZoque-2_ashes-1,,SoteapanZoque,2_ashes,kuy-ham,kuy-ham,k u j + h a m,,Elson1999,2_ashes-1,,^ k u y - h a m $,default,k u y  h a m, a h k m u y
17,SantaMariaChimalapaZoque-2_ashes-1,,SantaMariaChimalapaZoque,2_ashes,kuy-ham,kuy-ham,k u j + h a m,,Knudson1980,2_ashes-1,,^ k u y - h a m $,default,k u y  h a m, a h k m u y
18,SanMiguelChimalapaZoque-2_ashes-1,,SanMiguelChimalapaZoque,2_ashes,kuy-ham,kuy-ham,k u j + h a m,,Johnson1998,2_ashes-1,,^ k u y - h a m $,default,k u y  h a m, a h k m u y
19,ChiapasZoque-2_ashes-1,,ChiapasZoque,2_ashes,kuy-ham,kuy-ham,k u j + h a m,,Harrison1981,2_ashes-1,,^ k u y - h a m $,default,k u y  h a m, a h k m u y
20,NorthHighlandMixe-3_bark-1,,NorthHighlandMixe,3_bark,kïp ak,kïp ak,k ɨ p + a k,,Schoenhals1965,3_bark-1,,^ k ï p + a k $,default,k 3 p  a k, 3 a k p
21,SouthHighlandMixe-3_bark-1,,SouthHighlandMixe,3_bark,ak,ak,a k,,Cysouw2006,3_bark-1,,^ a k $,default,a k,a k
