,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,ProtoLalo-758_fly-1,,ProtoLalo,758_fly,bjy¹,bjy¹,b j y ¹,,Yang2011Lalo,0,,^ b j y ¹$,default,b y i , b i y
1,Qingyun-758_fly-1,,Qingyun,758_fly,by⁵⁵,by⁵⁵,b y ⁵⁵,,Yang2011Lalo,0,,^ b y ⁵⁵$,default,b i , b i
2,Shuizhuping-758_fly-1,,Shuizhuping,758_fly,by²⁴,by²⁴,b y ²⁴,,Yang2011Lalo,0,,^ b y ²⁴$,default,b i , b i
3,Diaocao-758_fly-1,,Diaocao,758_fly,biɔ²⁴,biɔ²⁴,b i/j ɔ ²⁴,,Yang2011Lalo,0,,^ b iɔ ²⁴$,default,b i y o , b i o y
4,Xuzhang-758_fly-1,,Xuzhang,758_fly,by²⁴,by²⁴,b y ²⁴,,Yang2011Lalo,0,,^ b y ²⁴$,default,b i , b i
5,Mangdi-758_fly-1,,Mangdi,758_fly,bə⁵⁵,bə⁵⁵,b ə ⁵⁵,,Yang2011Lalo,0,,^ b ə ⁵⁵$,default,b 3 , 3 b
6,Yijiacun-758_fly-1,,Yijiacun,758_fly,bə²⁴,bə²⁴,b ə ²⁴,,Yang2011Lalo,0,,^ b ə ²⁴$,default,b 3 , 3 b
7,Yangliu-758_fly-1,,Yangliu,758_fly,bɨ³³,bɨ³³,b ɨ ³³,,Yang2011Lalo,0,,^ b ɨ ³³$,default,b 3 , 3 b
8,ProtoLalo-824_straight-1,,ProtoLalo,824_straight,dʒaŋ²,dʒaŋ²,dʒ a ŋ ²,,Yang2011Lalo,1,,^ dʒ a ŋ ²$,default,dZ a N , N a dZ
9,Qingyun-824_straight-1,,Qingyun,824_straight,tʂʅ¹³,tʂʅ¹³,ʈʂ ʅ ¹³,,Yang2011Lalo,1,,^ tʂ ʅ ¹³$,default,tS , tS
10,Shuizhuping-824_straight-1,,Shuizhuping,824_straight,dʑy³³,dʑy³³,dʑ y ³³,,Yang2011Lalo,1,,^ dʑ y ³³$,default,dZ i , dZ i
11,Diaocao-824_straight-1,,Diaocao,824_straight,dza²¹,dza²¹,dz a ²¹,,Yang2011Lalo,1,,^ dz a ²¹$,default,dz a , a dz
12,Xuzhang-824_straight-1,,Xuzhang,824_straight,dʐa²¹,dʐa²¹,ɖʐ a ²¹,,Yang2011Lalo,1,,^ dʐ a ²¹$,default,dZ a , a dZ
13,Yijiacun-824_straight-1,,Yijiacun,824_straight,dza²¹,dza²¹,dz a ²¹,,Yang2011Lalo,1,,^ dz a ²¹$,default,dz a , a dz
14,Yangliu-824_straight-1,,Yangliu,824_straight,tsɿ²⁴,tsɿ²⁴,ts ɿ ²⁴,,Yang2011Lalo,1,,^ ts ɿ ²⁴$,default,ts , ts
15,ProtoLalo-408_bracelet-1,,ProtoLalo,408_bracelet,le̠ᶫgoŋ¹,le̠ᶫgoŋ¹,l e̠ ᶫ/³ + g o ŋ ¹,,Yang2011Lalo,2,,^ l e̠ ᶫ g o ŋ ¹$,default,l e   g o N , N e g l o
16,Qingyun-408_bracelet-1,,Qingyun,408_bracelet,lɛ̠²¹a²¹wo⁵⁵,lɛ̠²¹a²¹wo⁵⁵,l ɛ̠ ²¹ + a ²¹ + w o ⁵⁵,,Yang2011Lalo,2,,^ l ɛ̠ ²¹ a ²¹ w o ⁵⁵$,default,l E   a   w o , E a l o w
17,Shuizhuping-408_bracelet-1,,Shuizhuping,408_bracelet,le⁵⁵wo³³,le⁵⁵wo³³,l e ⁵⁵ + w o ³³,,Yang2011Lalo,2,,^ l e ⁵⁵ w o ³³$,default,l e   w o , e l o w
