ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
northmansi-1_all-1-1,northmansi-1_all-1,p.u.s.ə.n,1,false,expert,Zhivlov2011,,,
middlelozvamansi-1_all-1-1,middlelozvamansi-1_all-1,p.u.ʃ.n,1,false,expert,Zhivlov2011,,,
lowerlozvamansi-1_all-1-1,lowerlozvamansi-1_all-1,ʃ.a.q,2,false,expert,Zhivlov2011,,,
pelymkamansi-1_all-1-1,pelymkamansi-1_all-1,ʃ.o.q,2,false,expert,Zhivlov2011,,,
kondamansi-1_all-1-1,kondamansi-1_all-1,s.o.q,2,false,expert,Zhivlov2011,,,
tavdamansi-1_all-1-1,tavdamansi-1_all-1,ʃ.ɔ.χ,2,false,expert,Zhivlov2011,,,
vakhkhanty-1_all-1-1,vakhkhanty-1_all-1,e.j.n.æː.m,3,false,expert,Zhivlov2011,,,
verkhnekalymskkhanty-1_all-1-1,verkhnekalymskkhanty-1_all-1,e.j.n.æː.m,3,false,expert,Zhivlov2011,,,
vartovskojekhanty-1_all-1-1,vartovskojekhanty-1_all-1,e.j.n.æː.m,3,false,expert,Zhivlov2011,,,
likrisovskojekhanty-1_all-1-1,likrisovskojekhanty-1_all-1,e.j.n.æː.m,3,false,expert,Zhivlov2011,,,
malyjjugankhanty-1_all-1-1,malyjjugankhanty-1_all-1,e.j.n.æː.m,3,false,expert,Zhivlov2011,,,
tremjugankhanty-1_all-1-1,tremjugankhanty-1_all-1,e.j.n.æː.m,3,false,expert,Zhivlov2011,,,
jugankhanty-1_all-1-1,jugankhanty-1_all-1,e.j.n.æː.m,3,false,expert,Zhivlov2011,,,
upperdemjankakhanty-1_all-1-1,upperdemjankakhanty-1_all-1,χ.a.r.n.aː,4,false,expert,Zhivlov2011,,,
kondakhanty-1_all-1-1,kondakhanty-1_all-1,p.e.r.t.æː,5,false,expert,Zhivlov2011,,,
nizjamkhanty-1_all-1-1,nizjamkhanty-1_all-1,i.s.a.χ.aː.t,6,false,expert,Zhivlov2011,,,
sherkalykhanty-1_all-1-1,sherkalykhanty-1_all-1,i.s.aː.t,6,false,expert,Zhivlov2011,,,
kazymkhanty-1_all-1-1,kazymkhanty-1_all-1,i.s.aː,6,false,expert,Zhivlov2011,,,
