ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
northmansi-1_all-1,,northmansi,1_all,pusən,p.u.s.ə.n,p u s ə n,,Zhivlov2011,,false,^ p . u . s . ə . n $,default
middlelozvamansi-1_all-1,,middlelozvamansi,1_all,puʃn,p.u.ʃ.n,p u ʃ n,,Zhivlov2011,,false,^ p . u . ʃ . n $,default
lowerlozvamansi-1_all-1,,lowerlozvamansi,1_all,ʃaq,ʃ.a.q,ʃ a q,,Zhivlov2011,,false,^ ʃ . a . q $,default
pelymkamansi-1_all-1,,pelymkamansi,1_all,ʃoq,ʃ.o.q,ʃ o q,,Zhivlov2011,,false,^ ʃ . o . q $,default
kondamansi-1_all-1,,kondamansi,1_all,soq,s.o.q,s o q,,Zhivlov2011,,false,^ s . o . q $,default
tavdamansi-1_all-1,,tavdamansi,1_all,ʃɔχ,ʃ.ɔ.χ,ʃ ɔ χ,,Zhivlov2011,,false,^ ʃ . ɔ . χ $,default
vakhkhanty-1_all-1,,vakhkhanty,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,,Zhivlov2011,,false,^ e . j . n . æː . m $,default
verkhnekalymskkhanty-1_all-1,,verkhnekalymskkhanty,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,,Zhivlov2011,,false,^ e . j . n . æː . m $,default
vartovskojekhanty-1_all-1,,vartovskojekhanty,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,,Zhivlov2011,,false,^ e . j . n . æː . m $,default
likrisovskojekhanty-1_all-1,,likrisovskojekhanty,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,,Zhivlov2011,,false,^ e . j . n . æː . m $,default
malyjjugankhanty-1_all-1,,malyjjugankhanty,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,,Zhivlov2011,,false,^ e . j . n . æː . m $,default
tremjugankhanty-1_all-1,,tremjugankhanty,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,,Zhivlov2011,,false,^ e . j . n . æː . m $,default
jugankhanty-1_all-1,,jugankhanty,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,,Zhivlov2011,,false,^ e . j . n . æː . m $,default
upperdemjankakhanty-1_all-1,,upperdemjankakhanty,1_all,χarnaː,χ.a.r.n.aː,χ a r n aː,,Zhivlov2011,,false,^ χ . a . r . n . aː $,default
kondakhanty-1_all-1,,kondakhanty,1_all,pertæː,p.e.r.t.æː,p e r t æː,,Zhivlov2011,,false,^ p . e . r . t . æː $,default
nizjamkhanty-1_all-1,,nizjamkhanty,1_all,isaχaːt,i.s.a.χ.aː.t,i s a χ aː t,,Zhivlov2011,,false,^ i . s . a . χ . aː . t $,default
sherkalykhanty-1_all-1,,sherkalykhanty,1_all,isaːt,i.s.aː.t,i s aː t,,Zhivlov2011,,false,^ i . s . aː . t $,default
kazymkhanty-1_all-1,,kazymkhanty,1_all,isaː,i.s.aː,i s aː,,Zhivlov2011,,false,^ i . s . aː $,default
synjakhanty-1_all-1,,synjakhanty,1_all,isaː,i.s.aː,i s aː,,Zhivlov2011,,false,^ i . s . aː $,default
northmansi-2_ashes-1,,northmansi,2_ashes,χuʎəm,χ.u.ʎ.ə.m,χ u ʎ ə m,,Zhivlov2011,,false,^ χ . u . ʎ . ə . m $,default
middlelozvamansi-2_ashes-1,,middlelozvamansi,2_ashes,quʎəm,q.u.ʎ.ə.m,q u ʎ ə m,,Zhivlov2011,,false,^ q . u . ʎ . ə . m $,default
lowerlozvamansi-2_ashes-1,,lowerlozvamansi,2_ashes,quʎəm,q.u.ʎ.ə.m,q u ʎ ə m,,Zhivlov2011,,false,^ q . u . ʎ . ə . m $,default
