,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,asjp_forms,asjp_segs
0,northmansi-1_all-1,,northmansi,1_all,pusən,p.u.s.ə.n,p u s ə n,,Zhivlov2011,,False,^ p . u . s . ə . n $,default,p u s 3 n,3 n p s u
1,middlelozvamansi-1_all-1,,middlelozvamansi,1_all,puʃn,p.u.ʃ.n,p u ʃ n,,Zhivlov2011,,False,^ p . u . ʃ . n $,default,p u S n,S n p u
2,lowerlozvamansi-1_all-1,,lowerlozvamansi,1_all,ʃaq,ʃ.a.q,ʃ a q,,Zhivlov2011,,False,^ ʃ . a . q $,default,S a q,S a q
3,pelymkamansi-1_all-1,,pelymkamansi,1_all,ʃoq,ʃ.o.q,ʃ o q,,Zhivlov2011,,False,^ ʃ . o . q $,default,S o q,S o q
4,kondamansi-1_all-1,,kondamansi,1_all,soq,s.o.q,s o q,,Zhivlov2011,,False,^ s . o . q $,default,s o q,o q s
5,tavdamansi-1_all-1,,tavdamansi,1_all,ʃɔχ,ʃ.ɔ.χ,ʃ ɔ χ,,Zhivlov2011,,False,^ ʃ . ɔ . χ $,default,S o X,S X o
6,vakhkhanty-1_all-1,,vakhkhanty,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,,Zhivlov2011,,False,^ e . j . n . æː . m $,default,e y n E m,E e m n y
7,verkhnekalymskkhanty-1_all-1,,verkhnekalymskkhanty,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,,Zhivlov2011,,False,^ e . j . n . æː . m $,default,e y n E m,E e m n y
8,vartovskojekhanty-1_all-1,,vartovskojekhanty,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,,Zhivlov2011,,False,^ e . j . n . æː . m $,default,e y n E m,E e m n y
9,likrisovskojekhanty-1_all-1,,likrisovskojekhanty,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,,Zhivlov2011,,False,^ e . j . n . æː . m $,default,e y n E m,E e m n y
10,malyjjugankhanty-1_all-1,,malyjjugankhanty,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,,Zhivlov2011,,False,^ e . j . n . æː . m $,default,e y n E m,E e m n y
11,tremjugankhanty-1_all-1,,tremjugankhanty,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,,Zhivlov2011,,False,^ e . j . n . æː . m $,default,e y n E m,E e m n y
12,jugankhanty-1_all-1,,jugankhanty,1_all,ejnæːm,e.j.n.æː.m,e j n æː m,,Zhivlov2011,,False,^ e . j . n . æː . m $,default,e y n E m,E e m n y
13,upperdemjankakhanty-1_all-1,,upperdemjankakhanty,1_all,χarnaː,χ.a.r.n.aː,χ a r n aː,,Zhivlov2011,,False,^ χ . a . r . n . aː $,default,X a r n a,X a n r
14,kondakhanty-1_all-1,,kondakhanty,1_all,pertæː,p.e.r.t.æː,p e r t æː,,Zhivlov2011,,False,^ p . e . r . t . æː $,default,p e r t E,E e p r t
15,nizjamkhanty-1_all-1,,nizjamkhanty,1_all,isaχaːt,i.s.a.χ.aː.t,i s a χ aː t,,Zhivlov2011,,False,^ i . s . a . χ . aː . t $,default,i s a X a t,X a i s t
16,sherkalykhanty-1_all-1,,sherkalykhanty,1_all,isaːt,i.s.aː.t,i s aː t,,Zhivlov2011,,False,^ i . s . aː . t $,default,i s a t,a i s t
17,kazymkhanty-1_all-1,,kazymkhanty,1_all,isaː,i.s.aː,i s aː,,Zhivlov2011,,False,^ i . s . aː $,default,i s a,a i s
18,synjakhanty-1_all-1,,synjakhanty,1_all,isaː,i.s.aː,i s aː,,Zhivlov2011,,False,^ i . s . aː $,default,i s a,a i s
19,northmansi-2_ashes-1,,northmansi,2_ashes,χuʎəm,χ.u.ʎ.ə.m,χ u ʎ ə m,,Zhivlov2011,,False,^ χ . u . ʎ . ə . m $,default,X u L 3 m,3 L X m u
20,middlelozvamansi-2_ashes-1,,middlelozvamansi,2_ashes,quʎəm,q.u.ʎ.ə.m,q u ʎ ə m,,Zhivlov2011,,False,^ q . u . ʎ . ə . m $,default,q u L 3 m,3 L m q u
21,lowerlozvamansi-2_ashes-1,,lowerlozvamansi,2_ashes,quʎəm,q.u.ʎ.ə.m,q u ʎ ə m,,Zhivlov2011,,False,^ q . u . ʎ . ə . m $,default,q u L 3 m,3 L m q u
22,kondamansi-2_ashes-1,,kondamansi,2_ashes,quʎəm,q.u.ʎ.ə.m,q u ʎ ə m,,Zhivlov2011,,False,^ q . u . ʎ . ə . m $,default,q u L 3 m,3 L m q u
23,tavdamansi-2_ashes-1,,tavdamansi,2_ashes,qoːʎəm,q.oː.ʎ.ə.m,q oː ʎ ə m,,Zhivlov2011,,False,^ q . oː . ʎ . ə . m $,default,q o L 3 m,3 L m o q
24,vakhkhanty-2_ashes-1,,vakhkhanty,2_ashes,pæːr,p.æː.r,p æː r,,Zhivlov2011,,False,^ p . æː . r $,default,p E r,E p r
25,vasjugankhanty-2_ashes-1,,vasjugankhanty,2_ashes,pæːr,p.æː.r,p æː r,,Zhivlov2011,,False,^ p . æː . r $,default,p E r,E p r
26,tremjugankhanty-2_ashes-1,,tremjugankhanty,2_ashes,næːjpæːr,n.æː.j.p.æː.r,n æː j p æː r,,Zhivlov2011,,False,^ n . æː . j . p . æː . r $,default,n E y p E r,E n p r y
27,jugankhanty-2_ashes-1,,jugankhanty,2_ashes,næːjpæːr,n.æː.j.p.æː.r,n æː j p æː r,,Zhivlov2011,,False,^ n . æː . j . p . æː . r $,default,n E y p E r,E n p r y
28,upperdemjankakhanty-2_ashes-1,,upperdemjankakhanty,2_ashes,χoːjəm,χ.oː.j.ə.m,χ oː j ə m,,Zhivlov2011,,False,^ χ . oː . j . ə . m $,default,X o y 3 m,3 X m o y
29,kondakhanty-2_ashes-1,,kondakhanty,2_ashes,χoːjəm,χ.oː.j.ə.m,χ oː j ə m,,Zhivlov2011,,False,^ χ . oː . j . ə . m $,default,X o y 3 m,3 X m o y
30,nizjamkhanty-2_ashes-1,,nizjamkhanty,2_ashes,χɔːjəm,χ.ɔː.j.ə.m,χ ɔː j ə m,,Zhivlov2011,,False,^ χ . ɔː . j . ə . m $,default,X o y 3 m,3 X m o y
31,sherkalykhanty-2_ashes-1,,sherkalykhanty,2_ashes,χɔːjəm,χ.ɔː.j.ə.m,χ ɔː j ə m,,Zhivlov2011,,False,^ χ . ɔː . j . ə . m $,default,X o y 3 m,3 X m o y
